id,page_id,position,block_type,text_body,image_asset_id,image_alt,video_asset_id,video_duration_sec,embed_url
50,12,2,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
51,12,3,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
52,12,4,image,,1387,Descriptive typography placeholder text for asset 1387,,,
53,13,1,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
54,13,2,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
55,13,3,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
56,13,4,embed,,,,,,https://www.youtube.com/embed/dQw4w9WgXcQ
57,14,1,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
58,14,2,embed,,,,,,https://slideshare.net/embed/123
59,14,3,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
60,14,4,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
61,14,5,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
62,14,6,embed,,,,,,https://www.youtube.com/embed/dQw4w9WgXcQ
63,14,7,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
64,15,1,image,,1036,Descriptive typography placeholder text for asset 1036,,,
65,15,2,image,,554,Descriptive typography placeholder text for asset 554,,,
66,15,3,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
67,15,4,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
68,15,5,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
69,15,6,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
70,15,7,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
71,16,1,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
72,16,2,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
73,16,3,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
74,16,4,image,,1745,Descriptive typography placeholder text for asset 1745,,,
75,16,5,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
76,17,1,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
77,17,2,image,,2623,Descriptive typography placeholder text for asset 2623,,,
78,17,3,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
79,17,4,image,,3860,Descriptive typography placeholder text for asset 3860,,,
80,17,5,image,,4651,Descriptive typography placeholder text for asset 4651,,,
81,17,6,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
82,18,1,image,,2616,Descriptive typography placeholder text for asset 2616,,,
83,18,2,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
84,18,3,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
85,19,1,video,,,,4991,371,
86,19,2,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
87,19,3,image,,4179,Descriptive typography placeholder text for asset 4179,,,
88,19,4,image,,4374,Descriptive typography placeholder text for asset 4374,,,
89,19,5,image,,1069,Descriptive typography placeholder text for asset 1069,,,
90,19,6,embed,,,,,,https://slideshare.net/embed/123
91,20,1,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
92,20,2,image,,2664,Descriptive typography placeholder text for asset 2664,,,
93,20,3,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
94,20,4,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
95,21,1,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
96,21,2,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
97,21,3,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
98,21,4,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
99,21,5,image,,464,Descriptive typography placeholder text for asset 464,,,
100,22,1,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
101,22,2,image,,4200,Descriptive typography placeholder text for asset 4200,,,
102,22,3,video,,,,4798,340,
103,22,4,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
104,23,1,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
105,23,2,video,,,,2589,191,
106,23,3,image,,1457,Descriptive typography placeholder text for asset 1457,,,
107,23,4,embed,,,,,,https://www.youtube.com/embed/dQw4w9WgXcQ
108,23,5,video,,,,2555,332,
109,24,1,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
110,24,2,image,,2776,Descriptive typography placeholder text for asset 2776,,,
111,24,3,image,,2475,Descriptive typography placeholder text for asset 2475,,,
112,24,4,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
113,24,5,image,,2578,Descriptive typography placeholder text for asset 2578,,,
114,24,6,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
115,25,1,video,,,,4838,581,
116,25,2,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
117,25,3,image,,4641,Descriptive typography placeholder text for asset 4641,,,
118,25,4,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
119,26,1,embed,,,,,,https://player.vimeo.com/video/76979870
120,26,2,video,,,,105,382,
121,26,3,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
122,27,1,video,,,,4677,433,
123,27,2,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
124,27,3,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
125,27,4,image,,481,Descriptive typography placeholder text for asset 481,,,
126,27,5,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
127,27,6,image,,250,Descriptive typography placeholder text for asset 250,,,
128,27,7,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
129,28,1,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
130,28,2,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
131,28,3,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
132,29,1,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
133,29,2,video,,,,3490,57,
134,29,3,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
135,29,4,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
136,30,1,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
137,30,2,image,,177,Descriptive typography placeholder text for asset 177,,,
138,30,3,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
139,30,4,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
140,30,5,image,,272,Descriptive typography placeholder text for asset 272,,,
141,30,6,embed,,,,,,https://player.vimeo.com/video/76979870
142,31,1,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
143,31,2,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
144,31,3,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
145,31,4,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
146,31,5,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
147,32,1,image,,1608,Descriptive typography placeholder text for asset 1608,,,
148,32,2,image,,1852,Descriptive typography placeholder text for asset 1852,,,
149,32,3,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
150,32,4,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
151,32,5,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
152,32,6,image,,1508,Descriptive typography placeholder text for asset 1508,,,
153,32,7,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
154,33,1,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
155,33,2,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
156,33,3,video,,,,2048,591,
157,33,4,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
158,34,1,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
159,34,2,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
160,34,3,embed,,,,,,https://www.youtube.com/embed/dQw4w9WgXcQ
161,34,4,image,,1310,Descriptive typography placeholder text for asset 1310,,,
162,34,5,image,,520,Descriptive typography placeholder text for asset 520,,,
163,34,6,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
164,34,7,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
165,35,1,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
166,35,2,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
167,35,3,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
168,35,4,embed,,,,,,https://slideshare.net/embed/123
169,35,5,image,,4389,Descriptive typography placeholder text for asset 4389,,,
170,35,6,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
171,36,1,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
172,36,2,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
173,36,3,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
174,36,4,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
175,37,1,embed,,,,,,https://player.vimeo.com/video/76979870
176,37,2,embed,,,,,,https://www.youtube.com/embed/dQw4w9WgXcQ
177,37,3,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
178,37,4,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
179,38,1,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
180,38,2,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
181,38,3,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
182,38,4,image,,4980,Descriptive typography placeholder text for asset 4980,,,
183,38,5,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
184,39,1,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
185,39,2,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
186,39,3,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
187,39,4,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
188,40,1,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
189,40,2,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
190,40,3,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
191,40,4,image,,4476,Descriptive typography placeholder text for asset 4476,,,
192,40,5,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
193,40,6,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
194,41,1,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
195,41,2,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
196,41,3,image,,3138,Descriptive typography placeholder text for asset 3138,,,
197,41,4,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
198,41,5,video,,,,1073,444,
199,41,6,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
200,41,7,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
201,42,1,image,,4546,Descriptive typography placeholder text for asset 4546,,,
202,42,2,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
203,42,3,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
204,42,4,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
205,42,5,image,,1788,Descriptive typography placeholder text for asset 1788,,,
206,42,6,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
207,42,7,image,,4022,Descriptive typography placeholder text for asset 4022,,,
208,43,1,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
209,43,2,video,,,,1245,369,
210,43,3,image,,1348,Descriptive typography placeholder text for asset 1348,,,
211,43,4,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
212,43,5,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
213,43,6,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
214,43,7,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
215,44,1,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
216,44,2,image,,1970,Descriptive typography placeholder text for asset 1970,,,
217,44,3,image,,2713,Descriptive typography placeholder text for asset 2713,,,
218,45,1,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
219,45,2,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
220,45,3,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
221,45,4,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
222,46,1,image,,2392,Descriptive typography placeholder text for asset 2392,,,
223,46,2,image,,326,Descriptive typography placeholder text for asset 326,,,
224,46,3,embed,,,,,,https://www.youtube.com/embed/dQw4w9WgXcQ
225,46,4,embed,,,,,,https://www.youtube.com/embed/dQw4w9WgXcQ
226,47,1,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
227,47,2,video,,,,4414,16,
228,47,3,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
229,47,4,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
230,47,5,image,,2766,Descriptive typography placeholder text for asset 2766,,,
231,47,6,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
232,47,7,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
233,48,1,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
234,48,2,video,,,,3423,515,
235,48,3,video,,,,595,512,
236,48,4,image,,4075,Descriptive typography placeholder text for asset 4075,,,
237,48,5,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
238,49,1,text,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,,,,,
239,49,2,embed,,,,,,https://www.youtube.com/embed/dQw4w9WgXcQ
240,49,3,embed,,,,,,https://player.vimeo.com/video/76979870
241,49,4,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
242,49,5,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
243,49,6,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
244,49,7,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
245,50,1,image,,1553,Descriptive typography placeholder text for asset 1553,,,
246,50,2,video,,,,4722,251,
247,50,3,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
248,50,4,video,,,,1583,222,
249,51,1,video,,,,2651,350,
250,51,2,image,,610,Descriptive typography placeholder text for asset 610,,,
251,51,3,image,,2579,Descriptive typography placeholder text for asset 2579,,,
252,51,4,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
253,51,5,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
254,51,6,embed,,,,,,https://slideshare.net/embed/123
255,52,1,video,,,,2573,267,
256,52,2,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
257,52,3,embed,,,,,,https://www.youtube.com/embed/dQw4w9WgXcQ
258,52,4,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
259,52,5,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
260,53,1,image,,3091,Descriptive typography placeholder text for asset 3091,,,
261,53,2,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
262,53,3,text,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,,
263,53,4,text,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam.",,,,,
264,54,1,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
265,54,2,image,,1987,Descriptive typography placeholder text for asset 1987,,,
266,54,3,video,,,,4796,447,
267,54,4,video,,,,1619,215,
268,54,5,text,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,
269,55,1,video,,,,4001,48,
270,55,2,image,,888,Descriptive typography placeholder text for asset 888,,,
271,55,3,text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,
