ticket_id,customer_id,assigned_employee_id,subject,status,priority,created_at
108,252,133,System Connection Interruption Ticket Reference Ref #108,CLOSED,LOW,2021-06-11 13:13:01
109,1825,851,System Connection Interruption Ticket Reference Ref #109,RESOLVED,LOW,2022-02-12 09:34:19
110,334,384,System Connection Interruption Ticket Reference Ref #110,IN_PROGRESS,CRITICAL,2024-12-31 17:12:02
111,1479,397,System Connection Interruption Ticket Reference Ref #111,RESOLVED,HIGH,2023-12-25 04:15:12
112,352,1140,System Connection Interruption Ticket Reference Ref #112,IN_PROGRESS,MEDIUM,2024-06-16 10:23:48
113,1974,232,System Connection Interruption Ticket Reference Ref #113,OPEN,LOW,2024-02-19 17:27:12
114,938,623,System Connection Interruption Ticket Reference Ref #114,IN_PROGRESS,MEDIUM,2023-09-04 02:08:07
115,2321,1054,System Connection Interruption Ticket Reference Ref #115,IN_PROGRESS,LOW,2021-03-25 22:23:04
116,1384,382,System Connection Interruption Ticket Reference Ref #116,OPEN,CRITICAL,2024-06-17 02:02:14
117,2091,781,System Connection Interruption Ticket Reference Ref #117,CLOSED,MEDIUM,2024-01-27 22:30:33
118,1402,1132,System Connection Interruption Ticket Reference Ref #118,IN_PROGRESS,MEDIUM,2024-06-20 07:52:15
119,1244,1059,System Connection Interruption Ticket Reference Ref #119,RESOLVED,HIGH,2024-01-18 21:14:18
120,2155,568,System Connection Interruption Ticket Reference Ref #120,RESOLVED,CRITICAL,2025-03-01 08:44:27
121,660,1193,System Connection Interruption Ticket Reference Ref #121,OPEN,CRITICAL,2022-02-06 13:06:46
122,702,783,System Connection Interruption Ticket Reference Ref #122,IN_PROGRESS,CRITICAL,2025-04-04 17:25:00
123,921,1187,System Connection Interruption Ticket Reference Ref #123,CLOSED,MEDIUM,2025-11-06 09:12:13
124,153,918,System Connection Interruption Ticket Reference Ref #124,IN_PROGRESS,LOW,2021-02-18 08:46:23
125,417,662,System Connection Interruption Ticket Reference Ref #125,OPEN,CRITICAL,2023-08-06 02:54:11
126,941,312,System Connection Interruption Ticket Reference Ref #126,CLOSED,HIGH,2021-01-19 01:50:11
127,1079,817,System Connection Interruption Ticket Reference Ref #127,OPEN,MEDIUM,2022-03-28 20:58:38
128,1328,629,System Connection Interruption Ticket Reference Ref #128,OPEN,HIGH,2025-12-26 18:40:46
129,385,361,System Connection Interruption Ticket Reference Ref #129,OPEN,HIGH,2022-04-09 22:56:08
130,1574,536,System Connection Interruption Ticket Reference Ref #130,CLOSED,MEDIUM,2025-05-20 18:08:40
131,1850,86,System Connection Interruption Ticket Reference Ref #131,RESOLVED,HIGH,2022-10-16 21:50:46
132,902,633,System Connection Interruption Ticket Reference Ref #132,CLOSED,LOW,2021-09-12 18:14:48
133,704,761,System Connection Interruption Ticket Reference Ref #133,RESOLVED,HIGH,2022-09-22 07:49:56
134,1339,39,System Connection Interruption Ticket Reference Ref #134,RESOLVED,HIGH,2025-07-23 19:35:49
135,1525,725,System Connection Interruption Ticket Reference Ref #135,OPEN,LOW,2023-06-23 02:28:44
136,2289,828,System Connection Interruption Ticket Reference Ref #136,OPEN,LOW,2025-10-12 19:16:52
137,2306,1060,System Connection Interruption Ticket Reference Ref #137,OPEN,CRITICAL,2022-08-31 03:39:44
138,1046,918,System Connection Interruption Ticket Reference Ref #138,IN_PROGRESS,CRITICAL,2025-09-08 21:45:24
139,1296,429,System Connection Interruption Ticket Reference Ref #139,CLOSED,HIGH,2021-09-19 14:31:52
140,674,397,System Connection Interruption Ticket Reference Ref #140,RESOLVED,HIGH,2021-03-06 13:12:46
141,1065,1035,System Connection Interruption Ticket Reference Ref #141,OPEN,MEDIUM,2025-07-28 18:56:03
142,1612,789,System Connection Interruption Ticket Reference Ref #142,CLOSED,MEDIUM,2025-10-28 10:58:25
143,1582,101,System Connection Interruption Ticket Reference Ref #143,RESOLVED,HIGH,2021-02-08 22:56:04
144,1565,296,System Connection Interruption Ticket Reference Ref #144,RESOLVED,LOW,2022-02-08 16:49:28
145,1265,676,System Connection Interruption Ticket Reference Ref #145,IN_PROGRESS,CRITICAL,2023-06-16 00:43:48
146,1575,982,System Connection Interruption Ticket Reference Ref #146,IN_PROGRESS,LOW,2021-10-05 06:06:29
147,1008,594,System Connection Interruption Ticket Reference Ref #147,IN_PROGRESS,CRITICAL,2021-06-20 11:44:50
148,1733,731,System Connection Interruption Ticket Reference Ref #148,CLOSED,LOW,2023-04-03 19:25:09
149,1425,656,System Connection Interruption Ticket Reference Ref #149,CLOSED,CRITICAL,2023-09-17 12:14:30
150,2256,601,System Connection Interruption Ticket Reference Ref #150,CLOSED,MEDIUM,2023-05-04 13:04:44
151,896,765,System Connection Interruption Ticket Reference Ref #151,CLOSED,LOW,2025-10-23 01:46:04
152,582,867,System Connection Interruption Ticket Reference Ref #152,CLOSED,LOW,2021-04-27 05:04:02
153,1268,295,System Connection Interruption Ticket Reference Ref #153,CLOSED,MEDIUM,2022-02-28 04:38:48
154,1067,67,System Connection Interruption Ticket Reference Ref #154,RESOLVED,CRITICAL,2022-10-11 12:20:19
155,1235,395,System Connection Interruption Ticket Reference Ref #155,OPEN,HIGH,2024-09-09 13:36:39
156,825,753,System Connection Interruption Ticket Reference Ref #156,CLOSED,HIGH,2021-07-30 03:36:47
157,743,404,System Connection Interruption Ticket Reference Ref #157,CLOSED,CRITICAL,2024-03-08 13:01:25
158,2354,846,System Connection Interruption Ticket Reference Ref #158,IN_PROGRESS,HIGH,2025-02-23 19:06:52
159,577,299,System Connection Interruption Ticket Reference Ref #159,RESOLVED,LOW,2023-06-14 12:03:14
160,670,460,System Connection Interruption Ticket Reference Ref #160,OPEN,CRITICAL,2024-10-21 22:50:17
161,676,159,System Connection Interruption Ticket Reference Ref #161,IN_PROGRESS,HIGH,2023-01-10 11:41:32
162,116,599,System Connection Interruption Ticket Reference Ref #162,IN_PROGRESS,LOW,2022-02-04 11:46:42
163,736,495,System Connection Interruption Ticket Reference Ref #163,CLOSED,HIGH,2023-01-28 03:13:12
164,843,418,System Connection Interruption Ticket Reference Ref #164,IN_PROGRESS,CRITICAL,2021-07-21 07:44:00
165,959,633,System Connection Interruption Ticket Reference Ref #165,OPEN,CRITICAL,2022-06-05 16:59:25
166,58,101,System Connection Interruption Ticket Reference Ref #166,RESOLVED,MEDIUM,2023-10-31 20:11:29
167,1549,682,System Connection Interruption Ticket Reference Ref #167,CLOSED,LOW,2025-07-25 18:31:58
168,1824,777,System Connection Interruption Ticket Reference Ref #168,CLOSED,MEDIUM,2023-12-10 22:11:40
169,2158,701,System Connection Interruption Ticket Reference Ref #169,RESOLVED,CRITICAL,2022-12-25 12:15:56
170,506,417,System Connection Interruption Ticket Reference Ref #170,RESOLVED,LOW,2025-04-20 19:05:28
171,738,969,System Connection Interruption Ticket Reference Ref #171,CLOSED,CRITICAL,2021-01-31 21:26:14
172,2451,412,System Connection Interruption Ticket Reference Ref #172,IN_PROGRESS,HIGH,2024-02-01 14:22:12
173,827,1071,System Connection Interruption Ticket Reference Ref #173,IN_PROGRESS,LOW,2025-07-17 17:47:52
174,2179,1070,System Connection Interruption Ticket Reference Ref #174,OPEN,CRITICAL,2025-10-08 00:15:59
175,334,506,System Connection Interruption Ticket Reference Ref #175,OPEN,HIGH,2023-02-24 02:51:31
176,240,1169,System Connection Interruption Ticket Reference Ref #176,RESOLVED,HIGH,2024-12-23 19:08:50
177,726,854,System Connection Interruption Ticket Reference Ref #177,CLOSED,HIGH,2022-08-23 04:05:19
178,1968,3,System Connection Interruption Ticket Reference Ref #178,OPEN,HIGH,2023-10-30 02:38:36
179,2350,899,System Connection Interruption Ticket Reference Ref #179,IN_PROGRESS,MEDIUM,2021-08-28 05:05:52
180,413,659,System Connection Interruption Ticket Reference Ref #180,RESOLVED,MEDIUM,2023-08-06 11:19:35
181,1373,334,System Connection Interruption Ticket Reference Ref #181,RESOLVED,CRITICAL,2022-07-23 16:53:12
182,1250,163,System Connection Interruption Ticket Reference Ref #182,RESOLVED,LOW,2023-05-01 11:01:33
183,1186,847,System Connection Interruption Ticket Reference Ref #183,OPEN,HIGH,2023-08-12 05:32:29
184,104,979,System Connection Interruption Ticket Reference Ref #184,CLOSED,CRITICAL,2024-01-12 02:05:14
185,697,466,System Connection Interruption Ticket Reference Ref #185,OPEN,CRITICAL,2022-06-11 07:07:55
186,955,896,System Connection Interruption Ticket Reference Ref #186,RESOLVED,HIGH,2024-09-23 02:54:40
187,623,113,System Connection Interruption Ticket Reference Ref #187,IN_PROGRESS,MEDIUM,2021-07-03 16:16:06
188,470,230,System Connection Interruption Ticket Reference Ref #188,IN_PROGRESS,HIGH,2025-06-13 12:41:12
189,1954,1177,System Connection Interruption Ticket Reference Ref #189,CLOSED,MEDIUM,2023-09-02 13:32:29
190,1695,885,System Connection Interruption Ticket Reference Ref #190,OPEN,LOW,2024-12-13 12:05:17
191,2066,851,System Connection Interruption Ticket Reference Ref #191,CLOSED,MEDIUM,2024-07-30 04:29:11
192,655,500,System Connection Interruption Ticket Reference Ref #192,OPEN,MEDIUM,2025-11-17 13:50:13
193,2432,134,System Connection Interruption Ticket Reference Ref #193,RESOLVED,MEDIUM,2021-07-07 04:41:31
194,740,308,System Connection Interruption Ticket Reference Ref #194,IN_PROGRESS,MEDIUM,2023-09-17 12:00:07
195,511,652,System Connection Interruption Ticket Reference Ref #195,RESOLVED,LOW,2021-12-31 11:42:55
196,1680,1113,System Connection Interruption Ticket Reference Ref #196,IN_PROGRESS,HIGH,2023-11-14 18:39:18
197,2461,1194,System Connection Interruption Ticket Reference Ref #197,CLOSED,HIGH,2023-07-08 02:55:11
198,392,1104,System Connection Interruption Ticket Reference Ref #198,CLOSED,MEDIUM,2022-12-08 14:16:01
199,2306,574,System Connection Interruption Ticket Reference Ref #199,IN_PROGRESS,CRITICAL,2022-07-15 00:28:29
200,770,483,System Connection Interruption Ticket Reference Ref #200,IN_PROGRESS,LOW,2025-10-28 11:50:46
201,2443,933,System Connection Interruption Ticket Reference Ref #201,IN_PROGRESS,CRITICAL,2021-06-28 09:19:12
202,1563,912,System Connection Interruption Ticket Reference Ref #202,IN_PROGRESS,HIGH,2024-12-21 19:04:12
203,2088,592,System Connection Interruption Ticket Reference Ref #203,IN_PROGRESS,LOW,2023-12-22 04:08:46
204,1289,1190,System Connection Interruption Ticket Reference Ref #204,CLOSED,CRITICAL,2025-08-25 13:59:27
205,1001,686,System Connection Interruption Ticket Reference Ref #205,CLOSED,HIGH,2023-12-02 16:13:28
206,1021,135,System Connection Interruption Ticket Reference Ref #206,CLOSED,HIGH,2024-01-17 13:44:57
207,873,1028,System Connection Interruption Ticket Reference Ref #207,RESOLVED,HIGH,2023-10-03 03:34:02
208,2339,156,System Connection Interruption Ticket Reference Ref #208,OPEN,LOW,2024-06-10 13:50:35
209,2333,1144,System Connection Interruption Ticket Reference Ref #209,RESOLVED,MEDIUM,2021-03-11 19:05:27
210,950,1032,System Connection Interruption Ticket Reference Ref #210,OPEN,MEDIUM,2021-07-12 12:01:24
211,786,101,System Connection Interruption Ticket Reference Ref #211,CLOSED,MEDIUM,2024-06-10 18:25:23
212,875,208,System Connection Interruption Ticket Reference Ref #212,RESOLVED,MEDIUM,2021-06-05 05:48:07
213,444,24,System Connection Interruption Ticket Reference Ref #213,IN_PROGRESS,LOW,2023-10-27 12:35:19
214,1494,596,System Connection Interruption Ticket Reference Ref #214,IN_PROGRESS,HIGH,2021-07-03 14:21:37
215,451,818,System Connection Interruption Ticket Reference Ref #215,OPEN,CRITICAL,2023-06-26 13:41:50
216,715,765,System Connection Interruption Ticket Reference Ref #216,RESOLVED,CRITICAL,2025-10-13 10:16:08
217,1469,447,System Connection Interruption Ticket Reference Ref #217,IN_PROGRESS,HIGH,2025-01-08 08:29:41
218,232,116,System Connection Interruption Ticket Reference Ref #218,CLOSED,HIGH,2022-03-23 08:24:34
219,659,943,System Connection Interruption Ticket Reference Ref #219,IN_PROGRESS,LOW,2023-11-16 00:45:58
220,520,191,System Connection Interruption Ticket Reference Ref #220,RESOLVED,LOW,2022-04-23 18:50:37
221,2095,1077,System Connection Interruption Ticket Reference Ref #221,OPEN,LOW,2025-09-24 06:35:16
222,1946,189,System Connection Interruption Ticket Reference Ref #222,RESOLVED,LOW,2023-01-09 04:08:23
223,876,622,System Connection Interruption Ticket Reference Ref #223,CLOSED,HIGH,2022-11-30 21:20:54
224,1962,865,System Connection Interruption Ticket Reference Ref #224,CLOSED,HIGH,2022-10-06 10:39:35
225,626,717,System Connection Interruption Ticket Reference Ref #225,IN_PROGRESS,LOW,2021-05-14 18:14:22
226,801,922,System Connection Interruption Ticket Reference Ref #226,RESOLVED,MEDIUM,2021-08-29 16:37:44
227,1150,282,System Connection Interruption Ticket Reference Ref #227,OPEN,MEDIUM,2025-08-01 22:27:27
228,1902,1190,System Connection Interruption Ticket Reference Ref #228,IN_PROGRESS,LOW,2023-11-09 11:19:53
229,1377,750,System Connection Interruption Ticket Reference Ref #229,IN_PROGRESS,LOW,2021-11-12 08:27:02
230,232,535,System Connection Interruption Ticket Reference Ref #230,OPEN,HIGH,2022-01-29 23:30:50
231,1914,331,System Connection Interruption Ticket Reference Ref #231,CLOSED,CRITICAL,2025-09-20 06:48:32
232,1169,904,System Connection Interruption Ticket Reference Ref #232,RESOLVED,MEDIUM,2021-12-17 06:35:43
233,626,14,System Connection Interruption Ticket Reference Ref #233,RESOLVED,CRITICAL,2021-10-25 05:14:47
234,2420,452,System Connection Interruption Ticket Reference Ref #234,OPEN,MEDIUM,2022-04-23 19:53:32
235,1303,688,System Connection Interruption Ticket Reference Ref #235,RESOLVED,MEDIUM,2025-08-12 23:13:22
236,160,211,System Connection Interruption Ticket Reference Ref #236,CLOSED,LOW,2023-08-15 09:03:36
237,1758,964,System Connection Interruption Ticket Reference Ref #237,RESOLVED,HIGH,2022-09-30 05:57:59
238,1141,176,System Connection Interruption Ticket Reference Ref #238,RESOLVED,HIGH,2022-05-02 05:27:24
239,1924,679,System Connection Interruption Ticket Reference Ref #239,CLOSED,HIGH,2023-02-03 02:16:21
240,1423,125,System Connection Interruption Ticket Reference Ref #240,RESOLVED,CRITICAL,2023-03-13 21:56:02
241,1362,813,System Connection Interruption Ticket Reference Ref #241,OPEN,MEDIUM,2022-02-11 02:10:35
242,51,764,System Connection Interruption Ticket Reference Ref #242,CLOSED,LOW,2025-10-09 14:34:50
243,1598,90,System Connection Interruption Ticket Reference Ref #243,OPEN,HIGH,2023-07-17 18:32:24
244,1080,524,System Connection Interruption Ticket Reference Ref #244,CLOSED,MEDIUM,2025-02-14 00:54:19
245,1485,737,System Connection Interruption Ticket Reference Ref #245,RESOLVED,CRITICAL,2024-09-30 22:44:52
246,250,412,System Connection Interruption Ticket Reference Ref #246,RESOLVED,LOW,2025-05-13 10:13:50
247,571,735,System Connection Interruption Ticket Reference Ref #247,IN_PROGRESS,HIGH,2023-11-11 20:07:48
248,426,928,System Connection Interruption Ticket Reference Ref #248,RESOLVED,HIGH,2021-12-20 06:41:56
249,1585,641,System Connection Interruption Ticket Reference Ref #249,CLOSED,LOW,2023-02-02 23:27:25
250,1356,868,System Connection Interruption Ticket Reference Ref #250,OPEN,CRITICAL,2021-08-29 19:45:24
251,1581,520,System Connection Interruption Ticket Reference Ref #251,RESOLVED,LOW,2022-08-19 07:58:36
252,1391,500,System Connection Interruption Ticket Reference Ref #252,CLOSED,LOW,2021-09-03 07:15:35
253,1140,1060,System Connection Interruption Ticket Reference Ref #253,RESOLVED,MEDIUM,2023-12-02 17:02:37
254,348,911,System Connection Interruption Ticket Reference Ref #254,IN_PROGRESS,HIGH,2021-04-10 21:39:31
255,514,310,System Connection Interruption Ticket Reference Ref #255,RESOLVED,CRITICAL,2022-11-28 10:10:18
256,1316,679,System Connection Interruption Ticket Reference Ref #256,CLOSED,CRITICAL,2021-06-06 11:57:20
257,184,441,System Connection Interruption Ticket Reference Ref #257,OPEN,CRITICAL,2024-02-23 02:20:03
258,2125,823,System Connection Interruption Ticket Reference Ref #258,RESOLVED,CRITICAL,2025-01-11 18:55:41
259,2249,89,System Connection Interruption Ticket Reference Ref #259,CLOSED,MEDIUM,2025-09-21 15:12:53
260,728,37,System Connection Interruption Ticket Reference Ref #260,RESOLVED,CRITICAL,2023-08-22 02:17:19
