order_id,customer_id,employee_id,channel_id,order_date,status,total_amount
50,2120,1161,3,2021-09-24 12:29:25,SHIPPED,4218.8
51,1163,65,3,2021-05-06 17:37:42,CANCELLED,6362.72
52,933,833,1,2025-02-15 14:54:58,PROCESSING,1704.32
53,2319,813,1,2023-01-25 03:22:44,PROCESSING,3970.07
54,1665,1139,3,2025-05-02 05:41:43,PENDING,6764.32
55,12,644,3,2025-10-23 20:48:47,CANCELLED,12360.08
56,2479,339,1,2021-03-12 20:25:16,PENDING,5751.33
57,889,949,3,2021-06-01 03:33:13,PROCESSING,7562.81
58,761,520,4,2025-10-25 17:39:14,CANCELLED,3240.65
59,420,415,4,2023-03-10 09:06:03,COMPLETED,14305.09
60,1110,1190,2,2021-08-23 07:47:36,PENDING,7004.29
61,892,703,4,2025-07-07 01:16:54,SHIPPED,7544.71
62,2194,824,1,2023-10-27 02:31:29,CANCELLED,9388.01
63,2289,1044,4,2021-12-23 18:55:26,PROCESSING,650.8
64,1947,878,1,2023-01-17 14:38:34,PROCESSING,8425.92
65,2052,1103,4,2023-01-10 05:47:15,CANCELLED,18000.22
66,2400,548,1,2021-07-11 13:36:43,PENDING,8478.1
67,993,303,3,2024-10-31 09:19:51,CANCELLED,4757.81
68,505,178,2,2025-01-20 00:43:34,COMPLETED,18557.49
69,2184,37,4,2024-08-13 09:36:41,PROCESSING,5412.81
70,1445,57,2,2022-06-18 07:37:57,CANCELLED,4336.03
71,2313,621,3,2021-08-26 09:11:05,CANCELLED,25522.44
72,227,359,4,2024-02-06 03:01:03,PROCESSING,1325.49
73,191,436,1,2023-05-27 17:54:33,PROCESSING,9539.34
74,2346,727,3,2021-04-23 13:04:57,SHIPPED,9894.25
75,2077,1185,3,2025-10-18 23:26:21,PROCESSING,2442.55
76,1825,1003,4,2023-07-29 17:59:09,SHIPPED,2354.19
77,951,542,4,2021-08-08 07:08:47,PENDING,7323.44
78,2369,841,3,2025-09-03 22:36:43,SHIPPED,10756.28
79,627,870,4,2021-01-18 18:23:05,PENDING,16497.08
80,212,483,1,2024-12-04 19:11:52,SHIPPED,11484.7
81,2437,543,4,2024-04-03 21:33:43,CANCELLED,4243.36
82,581,437,3,2022-05-20 07:25:35,CANCELLED,19567.55
83,2013,474,3,2023-04-21 01:19:55,SHIPPED,9256.05
84,2340,647,2,2021-10-20 13:09:00,PENDING,18239.79
85,1323,580,4,2021-06-26 09:13:24,PENDING,7231.54
86,1045,480,1,2022-12-04 07:33:03,SHIPPED,7454.94
87,684,266,3,2022-03-14 15:18:57,COMPLETED,6628.36
88,620,731,1,2021-09-05 22:37:16,CANCELLED,8199.55
89,748,165,3,2022-03-03 15:00:02,SHIPPED,8231.62
90,178,367,2,2022-05-25 19:37:05,CANCELLED,5359.1
91,1238,1023,4,2022-01-23 22:44:24,CANCELLED,6523.61
92,499,738,3,2021-04-05 17:58:04,CANCELLED,14964.97
93,803,1092,1,2024-07-18 00:05:05,PENDING,9939.58
94,1591,774,1,2021-12-11 21:33:19,PROCESSING,7725.31
95,208,255,2,2025-01-03 14:24:48,PROCESSING,4015.62
96,1255,685,3,2023-06-09 02:10:25,PENDING,9304.38
97,684,457,2,2024-08-22 14:51:53,PROCESSING,4653.67
98,1535,1028,1,2025-07-02 21:13:27,PROCESSING,14135.06
99,1857,502,2,2022-07-14 03:33:45,SHIPPED,529.16
100,1861,1196,1,2023-04-01 23:12:32,PROCESSING,1194.21
101,1995,405,1,2023-02-27 15:55:00,SHIPPED,9474.08
102,1438,1160,4,2025-08-31 10:20:44,PENDING,6973.3
103,1285,144,2,2025-07-26 03:53:38,PENDING,7241.62
104,1008,1009,1,2023-02-09 22:38:26,COMPLETED,3752.35
105,561,800,2,2023-06-03 04:43:37,PROCESSING,188.82
106,1363,304,1,2022-05-16 21:45:12,PENDING,11008.02
107,434,1077,1,2021-03-29 17:54:29,CANCELLED,3848.36
108,341,484,1,2023-10-17 16:30:09,CANCELLED,1757.88
109,227,1080,4,2024-01-24 15:18:12,COMPLETED,14858.63
110,2235,133,4,2022-03-16 00:36:37,SHIPPED,9561.15
111,1108,907,3,2021-04-02 09:43:36,SHIPPED,2074.59
112,2425,412,3,2022-05-02 17:33:10,CANCELLED,2221.43
113,1957,642,4,2024-10-02 12:34:06,COMPLETED,3205.44
114,1924,361,2,2021-12-05 05:16:10,PROCESSING,18687.51
115,1456,1146,3,2024-06-15 20:03:31,PENDING,2759.96
116,2280,540,3,2021-01-01 15:00:52,PROCESSING,1796.64
117,2195,200,4,2021-12-09 19:48:35,PENDING,524.02
118,543,447,2,2025-11-22 04:32:55,PENDING,6823.24
119,1843,634,4,2023-09-11 08:04:27,SHIPPED,15046.36
120,1762,728,4,2023-06-25 06:26:14,PROCESSING,588.7
121,870,1123,2,2022-03-18 06:42:26,COMPLETED,1643.05
122,1074,832,2,2023-08-22 05:32:35,COMPLETED,11491.68
123,1839,267,3,2021-07-11 22:38:37,PENDING,4467.05
124,929,842,2,2025-05-22 01:50:49,PROCESSING,972.66
125,690,884,2,2025-01-24 12:59:00,PENDING,1752.67
126,2432,420,1,2024-10-25 17:03:17,SHIPPED,6194.19
127,574,1074,4,2021-03-01 22:10:17,CANCELLED,8741.63
128,2362,689,3,2021-04-26 15:15:57,PENDING,13284.34
129,2377,258,4,2021-10-09 03:35:36,CANCELLED,13077.8
130,2223,276,2,2021-06-13 15:19:52,CANCELLED,2338.82
131,1585,1017,3,2021-11-17 05:08:58,PENDING,2993.15
132,2320,976,4,2024-10-24 10:30:10,PENDING,373.83
133,1859,15,3,2022-12-14 21:22:26,PENDING,7494.98
134,2006,1069,2,2023-04-16 20:22:33,SHIPPED,6060.02
135,1850,571,3,2022-05-27 04:32:49,CANCELLED,14794.74
136,1803,635,3,2021-07-14 19:11:30,PENDING,9106.0
137,1364,594,3,2023-07-01 03:40:46,SHIPPED,4567.4
138,592,955,1,2025-10-19 15:33:37,CANCELLED,11710.4
139,1743,606,1,2021-02-05 09:03:38,PENDING,566.01
140,1723,163,2,2021-06-26 03:32:36,SHIPPED,7929.57
141,1897,1116,2,2022-01-29 19:21:55,CANCELLED,7894.05
142,1111,562,4,2021-03-29 13:39:10,PROCESSING,6931.45
143,2277,1147,1,2023-10-16 21:02:16,PROCESSING,1600.83
144,2247,647,4,2022-01-15 06:38:53,PROCESSING,12637.75
145,7,1153,4,2021-07-15 19:48:19,PENDING,753.98
146,39,190,2,2025-03-13 09:52:54,PENDING,1956.97
147,1182,982,4,2022-12-25 09:36:29,COMPLETED,8618.3
148,928,87,1,2021-01-23 10:12:55,SHIPPED,9054.75
149,1653,653,1,2024-04-19 15:55:42,PENDING,19436.3
150,1342,384,3,2021-09-21 07:01:57,PROCESSING,741.18
151,909,329,1,2023-07-06 04:34:30,PENDING,4928.84
152,1348,167,4,2025-07-11 14:48:49,PROCESSING,5039.98
153,1992,982,4,2021-06-16 20:55:59,SHIPPED,5786.17
154,1463,903,4,2021-09-11 04:29:29,PENDING,2072.39
155,1256,584,1,2023-11-12 02:23:16,PROCESSING,10747.9
156,1061,267,3,2022-01-11 12:53:25,PROCESSING,13516.2
157,1141,1128,3,2022-11-17 08:36:57,PROCESSING,11109.21
158,196,771,4,2025-04-30 10:14:21,CANCELLED,9579.56
159,787,1192,2,2024-05-19 15:20:32,PROCESSING,4323.52
160,1693,587,1,2025-05-22 19:43:53,PROCESSING,1944.56
161,1513,646,1,2023-06-16 03:17:08,PENDING,13131.54
162,2310,391,3,2025-12-25 07:29:41,PENDING,6261.35
163,231,1195,2,2021-06-21 05:47:18,PENDING,7329.14
164,2405,1043,1,2021-03-02 13:39:14,SHIPPED,2912.91
165,382,566,2,2021-07-10 12:06:06,SHIPPED,3696.34
166,1559,16,4,2025-08-04 16:45:20,PENDING,3497.58
167,2405,699,3,2023-12-17 17:20:44,COMPLETED,13583.75
168,224,62,2,2024-05-17 13:47:13,SHIPPED,9177.78
169,940,213,3,2021-08-10 18:11:52,PENDING,3556.3
170,1256,749,1,2023-07-12 09:39:50,PROCESSING,7158.94
171,1319,495,3,2022-05-08 11:24:22,COMPLETED,7364.65
172,951,897,1,2022-11-06 11:47:19,PROCESSING,10002.4
173,1019,601,1,2023-10-27 10:21:09,CANCELLED,3884.23
174,1516,473,3,2025-01-24 17:31:40,SHIPPED,3909.83
175,1010,1120,1,2021-03-29 20:39:58,PENDING,1522.7
176,1344,307,2,2022-10-15 06:44:54,PENDING,2041.26
177,705,1072,3,2021-02-03 08:37:48,CANCELLED,11501.41
178,1707,690,2,2021-08-28 05:53:40,CANCELLED,9520.29
179,950,136,4,2024-04-21 14:07:07,CANCELLED,2257.87
180,1373,419,2,2021-01-01 18:49:09,CANCELLED,1121.92
181,1511,231,2,2021-11-14 06:07:58,PENDING,825.06
182,871,176,2,2022-06-08 07:06:45,PENDING,5675.4
183,1814,1064,3,2025-09-27 15:35:38,CANCELLED,16496.0
184,631,390,4,2025-02-19 10:09:54,PROCESSING,5282.53
185,667,384,3,2022-11-06 23:02:02,COMPLETED,4750.08
186,439,114,2,2022-08-13 09:13:42,CANCELLED,4483.36
187,149,155,1,2024-01-31 10:57:49,COMPLETED,4481.66
188,1903,1131,3,2021-01-01 10:17:15,PROCESSING,12043.9
189,732,213,4,2024-06-13 05:12:02,COMPLETED,372.82
190,1920,190,4,2021-09-22 05:38:24,CANCELLED,5858.61
191,2477,282,2,2022-06-06 23:32:42,COMPLETED,9736.87
192,1396,163,2,2021-08-07 06:54:05,COMPLETED,496.45
193,1447,1073,3,2023-05-20 01:50:20,COMPLETED,17756.35
194,976,945,1,2023-12-13 06:24:39,COMPLETED,5203.39
195,1087,958,2,2021-08-25 16:03:27,CANCELLED,6424.0
196,27,236,2,2021-07-26 03:23:26,SHIPPED,10001.01
197,1205,465,1,2025-09-14 21:04:52,PROCESSING,9281.22
198,1954,1159,1,2022-09-21 17:04:09,PROCESSING,13450.88
199,637,684,1,2025-05-22 20:16:23,PENDING,4775.77
200,879,858,3,2025-08-25 19:21:27,COMPLETED,4188.23
201,1509,112,2,2022-04-07 02:54:13,PROCESSING,27232.87
202,1016,651,4,2022-08-02 01:18:56,CANCELLED,16357.74
203,197,123,2,2023-04-30 07:49:48,PENDING,11160.56
204,48,510,3,2022-03-11 00:30:50,PROCESSING,9428.4
205,1116,799,3,2024-11-18 23:38:40,CANCELLED,13780.79
206,1436,420,4,2021-10-20 12:24:08,PROCESSING,11035.1
207,1003,876,1,2024-07-14 00:33:56,PENDING,7198.99
208,367,534,4,2023-06-18 13:15:12,COMPLETED,7836.19
209,138,524,3,2024-02-09 23:09:00,PENDING,9237.85
210,1388,923,2,2022-12-28 08:41:25,PROCESSING,2908.78
211,340,834,1,2025-01-03 11:11:19,SHIPPED,5139.75
212,384,1173,4,2025-05-23 12:41:41,PROCESSING,10562.53
213,2447,987,3,2024-04-04 12:45:51,COMPLETED,5655.95
214,880,466,3,2022-01-16 00:41:11,SHIPPED,5969.45
215,491,206,4,2024-01-04 12:27:52,PROCESSING,4809.75
216,370,957,2,2024-11-21 03:31:09,COMPLETED,5539.57
217,242,1010,2,2024-05-30 09:02:59,CANCELLED,14113.08
218,1661,886,4,2024-02-26 22:33:37,SHIPPED,2620.1
219,1027,123,2,2024-03-14 10:14:11,PENDING,1444.32
220,1921,916,4,2022-06-26 06:57:33,SHIPPED,12492.2
221,1769,1074,4,2023-06-04 09:50:13,COMPLETED,5002.55
222,658,629,4,2023-09-22 05:57:35,COMPLETED,3253.88
223,1163,1083,4,2023-06-14 23:35:49,PENDING,743.3
224,2120,282,1,2025-08-30 16:30:46,SHIPPED,16129.55
225,444,56,1,2025-03-19 10:52:28,CANCELLED,13871.25
226,516,504,4,2023-01-26 06:20:45,CANCELLED,4686.35
227,553,908,2,2021-04-11 16:28:56,SHIPPED,11405.13
228,159,150,4,2021-01-14 09:12:32,SHIPPED,3580.09
229,1490,650,4,2021-10-16 05:27:08,CANCELLED,16956.28
230,1175,348,1,2025-11-27 14:56:56,PROCESSING,11631.87
231,1,631,4,2021-04-20 15:09:05,SHIPPED,5271.96
232,1953,1137,1,2023-07-11 00:00:12,PROCESSING,12823.37
233,587,116,2,2021-08-21 08:00:49,PROCESSING,22377.99
234,2195,193,2,2021-08-18 08:45:27,PROCESSING,11321.69
235,2122,406,2,2023-02-26 06:02:36,PENDING,2673.31
236,1516,836,3,2024-09-12 23:42:46,PROCESSING,6269.06
237,427,1117,3,2025-09-25 11:06:13,SHIPPED,5206.97
238,1303,286,1,2022-11-07 17:43:22,SHIPPED,3107.22
239,472,1004,1,2023-04-13 16:41:14,COMPLETED,19278.78
240,1172,197,3,2021-08-30 04:21:03,CANCELLED,213.21
241,984,379,2,2022-01-18 12:00:27,SHIPPED,1155.12
242,1846,842,4,2024-09-24 16:57:27,COMPLETED,8014.22
243,141,910,1,2024-10-24 09:55:44,PROCESSING,7718.35
244,736,1123,1,2022-07-31 14:36:33,SHIPPED,13374.71
245,1481,516,2,2021-10-13 13:15:27,PROCESSING,2044.11
246,1433,1012,1,2022-07-05 08:42:06,PROCESSING,21393.82
247,1522,240,1,2024-01-28 00:54:17,PENDING,741.68
248,1457,951,1,2025-11-21 12:37:52,COMPLETED,2710.65
249,77,436,4,2024-04-10 03:13:50,CANCELLED,3141.83
250,927,228,3,2022-04-03 19:00:53,PROCESSING,5353.62
251,1758,851,4,2025-01-01 18:25:59,PENDING,2817.27
252,1318,735,2,2025-10-22 09:51:58,SHIPPED,7307.9
253,542,979,3,2023-08-26 20:21:48,COMPLETED,3464.84
254,43,381,4,2021-02-17 01:30:57,PROCESSING,1006.86
255,1481,752,4,2022-11-14 15:40:22,SHIPPED,583.74
256,564,136,4,2024-04-23 20:01:51,PROCESSING,1090.56
257,18,1022,3,2025-04-11 18:04:10,CANCELLED,414.62
258,1347,202,1,2023-12-02 18:06:14,PENDING,4335.23
259,979,59,3,2021-05-23 23:53:11,SHIPPED,5769.88
260,1489,587,4,2023-09-19 01:53:13,PROCESSING,13499.98
261,2318,825,1,2023-01-19 09:31:59,SHIPPED,9141.89
262,1850,148,1,2021-09-09 19:59:08,COMPLETED,8385.05
263,2264,389,1,2023-01-26 17:34:15,PENDING,22009.94
264,2414,583,2,2025-02-22 19:36:59,PROCESSING,1154.68
265,431,300,4,2023-05-08 21:14:23,PROCESSING,4973.94
266,1462,248,4,2025-07-08 20:35:56,CANCELLED,14587.61
267,962,260,1,2022-04-04 01:07:28,SHIPPED,16814.9
268,1114,225,3,2021-01-22 20:25:33,CANCELLED,7392.45
269,394,623,4,2022-05-29 14:57:51,CANCELLED,8072.7
270,2377,1171,2,2024-03-30 12:56:00,PROCESSING,12180.83
271,1081,455,3,2024-05-07 15:48:55,CANCELLED,14509.76
272,1649,312,3,2023-07-08 21:36:18,SHIPPED,525.33
273,297,41,4,2021-01-12 01:41:29,PROCESSING,13816.5
274,2278,824,3,2024-08-29 04:45:05,COMPLETED,344.31
275,386,122,2,2021-11-18 11:59:33,CANCELLED,8334.54
276,1959,448,2,2021-12-20 10:03:47,COMPLETED,17700.04
277,639,390,1,2025-09-14 06:50:41,SHIPPED,7936.64
278,40,987,4,2025-06-06 18:32:07,PENDING,9258.97
279,129,1142,1,2021-06-12 10:09:07,SHIPPED,8632.05
280,33,438,4,2024-01-04 07:00:30,CANCELLED,3076.7
281,629,578,2,2023-02-17 23:25:02,CANCELLED,9849.96
282,1952,1078,4,2021-06-24 13:31:14,PROCESSING,2236.94
283,1346,1053,2,2025-10-19 19:02:08,PROCESSING,9238.97
284,282,132,3,2024-12-07 20:23:12,PROCESSING,7019.76
285,2002,1095,4,2023-09-15 00:22:37,PROCESSING,7109.52
286,1696,1082,2,2021-04-30 01:11:01,CANCELLED,10042.42
287,2120,254,3,2025-08-10 20:32:10,SHIPPED,11664.54
288,1102,230,1,2021-06-23 06:23:42,COMPLETED,4458.2
289,1154,999,3,2024-01-16 10:26:20,PROCESSING,3034.48
290,36,1145,1,2023-06-10 22:46:22,PROCESSING,7308.67
291,527,958,3,2021-10-26 21:22:13,PENDING,24147.91
292,1327,235,1,2023-02-01 02:08:19,PROCESSING,3918.83
293,2046,1072,4,2025-12-02 15:02:51,CANCELLED,11015.33
294,611,166,1,2022-10-24 00:23:27,CANCELLED,966.3
295,2380,629,1,2023-12-19 21:58:44,COMPLETED,3234.76
296,2141,1172,2,2024-04-28 19:31:07,CANCELLED,14045.55
297,1821,236,1,2022-12-18 11:13:59,CANCELLED,6421.04
298,229,451,4,2024-03-16 10:32:40,CANCELLED,8251.89
299,1350,89,3,2022-06-27 21:46:52,CANCELLED,5112.94
300,2080,787,3,2023-05-13 13:03:36,PROCESSING,772.75
301,1191,1157,1,2022-12-13 14:14:40,SHIPPED,9829.03
302,1789,1042,2,2023-10-03 07:48:53,CANCELLED,924.15
303,1927,10,4,2022-12-14 21:20:50,PENDING,16278.72
304,875,279,2,2025-02-22 14:37:18,PROCESSING,7361.76
305,2469,485,4,2025-07-24 00:11:30,SHIPPED,488.51
306,1204,948,1,2024-06-24 23:23:29,SHIPPED,11585.2
307,411,468,2,2022-12-26 13:13:28,SHIPPED,11984.06
308,2500,706,2,2024-12-03 13:05:54,COMPLETED,6753.36
309,460,942,3,2023-01-15 16:57:05,PENDING,6379.44
310,2083,886,1,2022-04-03 02:29:42,PROCESSING,17978.69
311,2096,381,4,2025-02-18 13:44:02,COMPLETED,12466.24
312,1559,341,1,2022-12-13 17:29:49,CANCELLED,18175.61
313,55,465,1,2025-06-12 09:47:38,CANCELLED,5380.81
314,1786,87,4,2023-02-06 08:52:35,PENDING,9319.59
315,1285,537,3,2024-04-26 09:16:19,PROCESSING,5211.65
316,310,732,1,2024-07-23 06:25:52,COMPLETED,5625.09
317,1380,851,4,2022-02-04 20:26:12,SHIPPED,4129.15
318,1634,1093,2,2025-12-19 01:20:22,PENDING,2375.07
319,1753,206,2,2024-01-10 17:59:13,PENDING,10839.2
320,1835,600,1,2023-11-30 02:22:35,SHIPPED,11788.54
321,1716,833,4,2024-11-29 16:35:49,COMPLETED,4444.97
322,1214,163,2,2023-05-17 10:51:43,PROCESSING,4660.27
323,89,69,4,2022-12-04 08:17:28,CANCELLED,2161.76
324,955,697,1,2022-12-12 21:28:13,COMPLETED,3156.16
325,1665,555,3,2025-07-17 10:17:51,PROCESSING,5345.87
326,137,46,2,2021-04-15 03:51:57,SHIPPED,4876.67
327,2044,412,1,2023-07-05 04:34:05,SHIPPED,3429.55
328,265,357,2,2021-08-30 13:04:28,PROCESSING,17441.96
329,1175,871,2,2023-09-06 12:48:50,COMPLETED,7462.1
330,705,1117,4,2025-09-07 17:57:50,PENDING,10496.24
331,1693,350,2,2021-09-26 12:47:26,CANCELLED,12195.19
332,97,1055,3,2023-08-31 00:42:21,PROCESSING,9430.33
333,1473,823,4,2022-04-30 19:21:28,SHIPPED,810.13
334,2148,80,2,2025-03-05 07:31:49,SHIPPED,1990.59
335,1797,216,2,2024-07-25 15:00:19,PENDING,1145.57
336,1880,984,3,2023-01-13 01:03:13,COMPLETED,5766.09
337,2405,285,2,2024-04-26 17:33:46,SHIPPED,7812.24
338,2045,622,4,2022-01-30 17:21:48,PROCESSING,9739.62
339,1397,855,2,2023-08-24 12:19:47,CANCELLED,4987.15
340,2388,587,4,2024-04-06 04:33:13,PENDING,7010.47
341,1647,11,2,2022-03-19 18:47:42,PENDING,9660.69
342,1710,724,1,2021-09-05 16:34:17,PROCESSING,8795.23
343,144,863,3,2021-11-16 12:31:46,PROCESSING,14097.74
344,1254,226,4,2023-02-24 15:05:37,PROCESSING,4780.07
345,2010,546,2,2025-07-04 12:23:01,PENDING,12517.96
346,2496,1061,2,2023-05-09 08:02:41,PENDING,1851.93
347,429,463,1,2021-07-01 12:44:33,CANCELLED,5821.58
348,1590,729,4,2024-09-10 13:19:33,COMPLETED,3147.11
349,126,427,3,2022-06-25 16:36:52,PENDING,4430.79
350,60,24,2,2025-01-17 16:44:05,COMPLETED,2593.55
351,789,131,1,2023-02-09 17:24:28,COMPLETED,1148.4
352,89,299,4,2022-12-27 05:39:20,PENDING,2054.62
353,336,767,2,2025-01-18 14:42:11,SHIPPED,5963.14
354,1123,62,3,2024-02-17 23:40:55,CANCELLED,3495.05
355,1353,53,2,2021-05-28 08:52:28,CANCELLED,10658.51
356,1451,426,1,2021-10-30 03:30:34,SHIPPED,3509.63
357,1025,357,1,2023-03-07 09:00:17,SHIPPED,3828.6
358,798,149,3,2024-09-06 20:10:10,SHIPPED,17406.19
359,1168,879,3,2025-07-22 05:43:03,PENDING,7729.37
360,1423,184,2,2021-03-12 13:32:10,PENDING,3810.98
361,1968,689,2,2021-02-05 20:23:53,SHIPPED,945.98
362,261,303,4,2022-12-14 07:08:54,COMPLETED,7533.57
363,846,138,2,2024-06-27 23:59:16,PENDING,5490.65
364,1114,964,1,2024-02-17 12:52:20,CANCELLED,11484.93
365,1534,1029,4,2023-07-26 12:51:50,PENDING,4704.3
366,1196,370,4,2021-07-18 23:14:11,COMPLETED,1430.04
367,1695,1077,1,2021-06-19 08:34:45,CANCELLED,13169.58
368,981,630,2,2022-11-05 21:22:56,CANCELLED,5106.13
369,369,431,4,2022-01-06 08:01:49,PROCESSING,6200.34
370,79,556,2,2025-08-23 03:43:51,SHIPPED,2903.96
371,1758,1128,4,2025-07-19 05:57:18,COMPLETED,7855.96
372,670,1098,1,2025-10-20 11:59:29,CANCELLED,23130.69
373,2041,935,4,2021-07-17 06:54:29,PROCESSING,6981.31
374,267,46,4,2024-12-03 02:41:20,PROCESSING,2633.53
375,327,874,4,2024-03-14 01:29:42,PROCESSING,10045.24
376,554,609,1,2023-09-19 19:52:05,SHIPPED,2355.59
377,2232,604,4,2024-03-07 00:16:18,PROCESSING,17390.92
378,1651,755,4,2022-03-08 10:49:38,PROCESSING,2124.64
379,1881,807,3,2021-11-30 07:47:28,PROCESSING,2917.08
380,22,1045,1,2025-05-31 20:19:10,PROCESSING,4300.8
381,1325,770,3,2022-10-21 07:36:41,CANCELLED,5755.64
382,1522,735,3,2025-08-19 20:01:33,SHIPPED,4742.78
383,2006,725,3,2022-06-14 19:36:22,PENDING,13720.55
384,1698,1087,4,2021-01-11 06:45:48,PENDING,7411.27
385,1483,297,3,2021-09-15 20:12:19,COMPLETED,17360.67
386,867,281,4,2021-02-20 11:16:02,CANCELLED,557.38
387,523,17,4,2021-02-26 17:46:49,COMPLETED,10752.56
388,2225,1061,1,2021-12-10 08:39:39,SHIPPED,4356.08
389,572,487,2,2024-12-14 17:45:01,COMPLETED,7082.57
390,1673,1180,2,2023-07-26 02:57:52,SHIPPED,5105.88
391,2336,263,4,2023-03-05 11:57:31,SHIPPED,2272.59
392,1037,1117,4,2022-04-03 12:34:46,CANCELLED,3124.94
393,982,414,1,2022-10-22 10:43:07,PENDING,295.3
394,1870,549,4,2025-11-18 17:51:04,CANCELLED,3158.2
395,1013,1120,1,2025-08-22 22:36:28,SHIPPED,10658.2
396,772,661,4,2025-08-27 12:13:54,PROCESSING,6126.91
397,1916,135,2,2021-05-19 22:44:29,PENDING,454.45
398,1260,314,3,2021-09-17 22:04:25,PROCESSING,549.71
399,53,512,3,2023-09-26 17:07:35,CANCELLED,1346.9
400,647,729,2,2024-11-13 05:22:20,PROCESSING,21283.77
401,1726,846,3,2024-11-01 16:47:05,PROCESSING,5459.86
402,2380,54,1,2025-04-17 18:17:41,PENDING,12149.31
403,1843,828,4,2022-03-19 11:51:20,CANCELLED,3057.49
404,977,1105,1,2025-05-27 22:56:13,PROCESSING,4707.63
405,1414,689,2,2021-12-20 19:40:49,PROCESSING,1394.13
406,1587,963,3,2023-11-16 02:24:14,COMPLETED,6016.25
407,1550,382,4,2025-01-10 02:05:38,COMPLETED,13393.03
408,222,202,2,2023-04-26 14:12:51,PROCESSING,4438.81
409,2436,49,1,2022-05-16 04:41:14,CANCELLED,10927.7
410,1838,1113,3,2022-03-12 23:19:09,PROCESSING,1667.53
411,418,137,4,2021-01-24 11:37:29,PROCESSING,8765.42
412,310,771,1,2023-09-02 22:57:47,CANCELLED,9586.85
413,1894,151,4,2025-01-31 09:42:53,PENDING,13779.12
414,2210,1168,3,2023-10-26 23:32:39,PENDING,1104.41
415,613,76,4,2024-11-28 11:14:46,COMPLETED,1554.07
416,2401,471,4,2022-10-17 08:33:53,PROCESSING,9378.58
417,906,555,3,2023-01-26 08:05:25,CANCELLED,5178.46
418,1683,199,3,2022-06-18 09:38:41,COMPLETED,10267.79
