id,site_id,name,utm_code,started_at,ended_at
55,28,Campaign Partner AFFILIATE Q4,utm_source=partner&utm_medium=affiliate&utm_campaign=run_28_1,2026-05-31 05:10:39,
56,28,Campaign Newsletter AFFILIATE Q4,utm_source=newsletter&utm_medium=affiliate&utm_campaign=run_28_2,2026-06-08 05:55:33,2026-06-15 04:18:24
57,29,Campaign Facebook SOCIAL Q1,utm_source=facebook&utm_medium=social&utm_campaign=run_29_1,2026-05-31 21:06:09,2026-06-08 12:16:09
58,29,Campaign Linkedin SOCIAL Q3,utm_source=linkedin&utm_medium=social&utm_campaign=run_29_2,2026-05-28 20:21:41,
59,30,Campaign Partner DISPLAY Q1,utm_source=partner&utm_medium=display&utm_campaign=run_30_1,2026-06-05 20:28:27,2026-06-15 17:27:49
60,30,Campaign Newsletter SOCIAL Q2,utm_source=newsletter&utm_medium=social&utm_campaign=run_30_2,2026-06-06 10:22:39,2026-06-14 00:01:35
61,31,Campaign Google CPC Q4,utm_source=google&utm_medium=cpc&utm_campaign=run_31_1,2026-06-01 20:19:46,
62,31,Campaign Facebook AFFILIATE Q2,utm_source=facebook&utm_medium=affiliate&utm_campaign=run_31_2,2026-06-01 03:29:10,2026-06-08 12:03:41
63,32,Campaign Google EMAIL Q3,utm_source=google&utm_medium=email&utm_campaign=run_32_1,2026-06-04 20:47:47,2026-06-14 04:37:14
64,32,Campaign Google SOCIAL Q1,utm_source=google&utm_medium=social&utm_campaign=run_32_2,2026-06-07 01:44:31,2026-06-13 20:49:32
65,33,Campaign Twitter CPC Q1,utm_source=twitter&utm_medium=cpc&utm_campaign=run_33_1,2026-06-05 03:08:34,2026-06-11 06:15:39
66,33,Campaign Newsletter AFFILIATE Q2,utm_source=newsletter&utm_medium=affiliate&utm_campaign=run_33_2,2026-06-02 04:39:50,2026-06-09 09:36:36
67,34,Campaign Linkedin CPC Q1,utm_source=linkedin&utm_medium=cpc&utm_campaign=run_34_1,2026-06-04 12:33:34,2026-06-12 09:54:33
68,34,Campaign Linkedin CPC Q3,utm_source=linkedin&utm_medium=cpc&utm_campaign=run_34_2,2026-06-09 10:58:42,
69,35,Campaign Linkedin AFFILIATE Q3,utm_source=linkedin&utm_medium=affiliate&utm_campaign=run_35_1,2026-06-08 06:30:08,
70,35,Campaign Google SOCIAL Q3,utm_source=google&utm_medium=social&utm_campaign=run_35_2,2026-05-31 09:17:54,2026-06-08 01:19:59
71,36,Campaign Partner SOCIAL Q2,utm_source=partner&utm_medium=social&utm_campaign=run_36_1,2026-05-28 18:50:35,2026-06-03 07:29:34
72,36,Campaign Twitter CPC Q3,utm_source=twitter&utm_medium=cpc&utm_campaign=run_36_2,2026-06-02 07:38:33,2026-06-09 13:25:54
73,37,Campaign Facebook AFFILIATE Q4,utm_source=facebook&utm_medium=affiliate&utm_campaign=run_37_1,2026-06-04 06:26:42,2026-06-07 21:14:26
74,37,Campaign Google AFFILIATE Q1,utm_source=google&utm_medium=affiliate&utm_campaign=run_37_2,2026-06-03 01:56:43,2026-06-10 05:46:06
75,38,Campaign Twitter AFFILIATE Q2,utm_source=twitter&utm_medium=affiliate&utm_campaign=run_38_1,2026-06-01 22:34:22,2026-06-08 17:19:03
76,38,Campaign Facebook SOCIAL Q2,utm_source=facebook&utm_medium=social&utm_campaign=run_38_2,2026-06-02 18:53:10,2026-06-08 20:40:22
77,39,Campaign Google DISPLAY Q1,utm_source=google&utm_medium=display&utm_campaign=run_39_1,2026-05-29 20:48:39,
78,39,Campaign Facebook CPC Q1,utm_source=facebook&utm_medium=cpc&utm_campaign=run_39_2,2026-06-03 15:07:03,2026-06-06 19:07:47
79,40,Campaign Facebook CPC Q3,utm_source=facebook&utm_medium=cpc&utm_campaign=run_40_1,2026-05-29 10:22:41,2026-06-05 08:11:14
80,40,Campaign Twitter EMAIL Q2,utm_source=twitter&utm_medium=email&utm_campaign=run_40_2,2026-06-06 01:02:05,2026-06-13 11:00:54
81,41,Campaign Facebook DISPLAY Q2,utm_source=facebook&utm_medium=display&utm_campaign=run_41_1,2026-06-01 05:16:49,2026-06-10 07:35:31
82,41,Campaign Facebook SOCIAL Q1,utm_source=facebook&utm_medium=social&utm_campaign=run_41_2,2026-06-05 10:47:55,
83,42,Campaign Linkedin AFFILIATE Q4,utm_source=linkedin&utm_medium=affiliate&utm_campaign=run_42_1,2026-05-29 05:53:54,
84,42,Campaign Google DISPLAY Q3,utm_source=google&utm_medium=display&utm_campaign=run_42_2,2026-06-04 01:41:28,
85,43,Campaign Facebook AFFILIATE Q4,utm_source=facebook&utm_medium=affiliate&utm_campaign=run_43_1,2026-06-05 10:02:29,
86,43,Campaign Google SOCIAL Q1,utm_source=google&utm_medium=social&utm_campaign=run_43_2,2026-06-01 06:27:53,2026-06-06 20:28:19
87,44,Campaign Newsletter AFFILIATE Q1,utm_source=newsletter&utm_medium=affiliate&utm_campaign=run_44_1,2026-06-04 15:11:09,
88,44,Campaign Linkedin AFFILIATE Q2,utm_source=linkedin&utm_medium=affiliate&utm_campaign=run_44_2,2026-05-31 07:18:02,2026-06-05 20:01:44
89,45,Campaign Google CPC Q2,utm_source=google&utm_medium=cpc&utm_campaign=run_45_1,2026-06-01 05:23:00,
90,45,Campaign Newsletter AFFILIATE Q2,utm_source=newsletter&utm_medium=affiliate&utm_campaign=run_45_2,2026-06-09 03:03:11,
91,46,Campaign Google SOCIAL Q2,utm_source=google&utm_medium=social&utm_campaign=run_46_1,2026-05-29 05:17:46,2026-06-05 21:15:03
92,46,Campaign Newsletter CPC Q1,utm_source=newsletter&utm_medium=cpc&utm_campaign=run_46_2,2026-06-03 03:19:03,2026-06-09 04:38:22
93,47,Campaign Newsletter SOCIAL Q1,utm_source=newsletter&utm_medium=social&utm_campaign=run_47_1,2026-05-30 22:53:48,2026-06-08 13:31:47
94,47,Campaign Newsletter DISPLAY Q2,utm_source=newsletter&utm_medium=display&utm_campaign=run_47_2,2026-06-07 06:13:22,
95,48,Campaign Facebook CPC Q1,utm_source=facebook&utm_medium=cpc&utm_campaign=run_48_1,2026-06-05 01:28:27,
96,48,Campaign Linkedin DISPLAY Q2,utm_source=linkedin&utm_medium=display&utm_campaign=run_48_2,2026-06-07 05:53:55,2026-06-14 10:44:44
97,49,Campaign Partner AFFILIATE Q4,utm_source=partner&utm_medium=affiliate&utm_campaign=run_49_1,2026-06-05 08:03:34,
98,49,Campaign Twitter AFFILIATE Q4,utm_source=twitter&utm_medium=affiliate&utm_campaign=run_49_2,2026-06-03 14:04:27,2026-06-12 22:16:08
99,50,Campaign Twitter EMAIL Q4,utm_source=twitter&utm_medium=email&utm_campaign=run_50_1,2026-05-31 00:24:27,
100,50,Campaign Twitter SOCIAL Q3,utm_source=twitter&utm_medium=social&utm_campaign=run_50_2,2026-06-01 11:29:19,
101,51,Campaign Google CPC Q1,utm_source=google&utm_medium=cpc&utm_campaign=run_51_1,2026-05-28 17:53:08,
102,51,Campaign Google CPC Q3,utm_source=google&utm_medium=cpc&utm_campaign=run_51_2,2026-06-04 00:39:05,
103,52,Campaign Partner AFFILIATE Q3,utm_source=partner&utm_medium=affiliate&utm_campaign=run_52_1,2026-06-05 15:26:04,2026-06-12 09:33:22
104,52,Campaign Google EMAIL Q3,utm_source=google&utm_medium=email&utm_campaign=run_52_2,2026-06-06 18:31:05,2026-06-14 22:33:05
105,53,Campaign Newsletter SOCIAL Q1,utm_source=newsletter&utm_medium=social&utm_campaign=run_53_1,2026-06-07 15:31:06,
106,53,Campaign Facebook DISPLAY Q3,utm_source=facebook&utm_medium=display&utm_campaign=run_53_2,2026-06-06 02:40:00,2026-06-10 23:12:32
107,54,Campaign Google EMAIL Q2,utm_source=google&utm_medium=email&utm_campaign=run_54_1,2026-06-03 16:18:49,
108,54,Campaign Google AFFILIATE Q1,utm_source=google&utm_medium=affiliate&utm_campaign=run_54_2,2026-06-05 23:37:18,2026-06-09 10:03:02
109,55,Campaign Newsletter EMAIL Q1,utm_source=newsletter&utm_medium=email&utm_campaign=run_55_1,2026-05-28 19:29:00,2026-06-04 22:24:18
110,55,Campaign Google AFFILIATE Q4,utm_source=google&utm_medium=affiliate&utm_campaign=run_55_2,2026-06-08 07:20:37,
111,56,Campaign Partner DISPLAY Q1,utm_source=partner&utm_medium=display&utm_campaign=run_56_1,2026-05-30 20:24:11,2026-06-04 17:45:21
112,56,Campaign Google CPC Q2,utm_source=google&utm_medium=cpc&utm_campaign=run_56_2,2026-06-04 01:14:06,2026-06-12 15:12:59
113,57,Campaign Linkedin SOCIAL Q2,utm_source=linkedin&utm_medium=social&utm_campaign=run_57_1,2026-06-04 03:42:48,2026-06-11 07:47:49
114,57,Campaign Google CPC Q4,utm_source=google&utm_medium=cpc&utm_campaign=run_57_2,2026-06-05 06:29:44,2026-06-14 04:35:37
115,58,Campaign Linkedin CPC Q3,utm_source=linkedin&utm_medium=cpc&utm_campaign=run_58_1,2026-06-03 05:39:24,2026-06-12 14:10:43
116,58,Campaign Linkedin CPC Q1,utm_source=linkedin&utm_medium=cpc&utm_campaign=run_58_2,2026-06-02 22:12:11,
117,59,Campaign Facebook AFFILIATE Q1,utm_source=facebook&utm_medium=affiliate&utm_campaign=run_59_1,2026-06-04 19:19:38,
118,59,Campaign Newsletter AFFILIATE Q2,utm_source=newsletter&utm_medium=affiliate&utm_campaign=run_59_2,2026-06-01 12:14:43,
119,60,Campaign Twitter EMAIL Q1,utm_source=twitter&utm_medium=email&utm_campaign=run_60_1,2026-06-08 06:13:50,
120,60,Campaign Google AFFILIATE Q3,utm_source=google&utm_medium=affiliate&utm_campaign=run_60_2,2026-06-02 15:05:32,
121,61,Campaign Linkedin EMAIL Q3,utm_source=linkedin&utm_medium=email&utm_campaign=run_61_1,2026-06-07 13:24:14,
122,61,Campaign Twitter EMAIL Q4,utm_source=twitter&utm_medium=email&utm_campaign=run_61_2,2026-06-06 21:30:07,2026-06-11 16:24:20
123,62,Campaign Linkedin AFFILIATE Q1,utm_source=linkedin&utm_medium=affiliate&utm_campaign=run_62_1,2026-05-31 09:14:54,2026-06-09 13:27:25
124,62,Campaign Google AFFILIATE Q3,utm_source=google&utm_medium=affiliate&utm_campaign=run_62_2,2026-05-30 21:54:14,
125,63,Campaign Google EMAIL Q2,utm_source=google&utm_medium=email&utm_campaign=run_63_1,2026-06-03 02:45:57,2026-06-08 13:49:34
126,63,Campaign Twitter EMAIL Q4,utm_source=twitter&utm_medium=email&utm_campaign=run_63_2,2026-06-03 04:56:31,
127,64,Campaign Google AFFILIATE Q3,utm_source=google&utm_medium=affiliate&utm_campaign=run_64_1,2026-06-07 14:39:15,2026-06-14 03:32:45
128,64,Campaign Partner SOCIAL Q1,utm_source=partner&utm_medium=social&utm_campaign=run_64_2,2026-06-07 02:51:03,2026-06-15 03:33:04
129,65,Campaign Facebook SOCIAL Q2,utm_source=facebook&utm_medium=social&utm_campaign=run_65_1,2026-06-08 05:52:26,
130,65,Campaign Google SOCIAL Q4,utm_source=google&utm_medium=social&utm_campaign=run_65_2,2026-05-30 20:32:11,
131,66,Campaign Partner SOCIAL Q2,utm_source=partner&utm_medium=social&utm_campaign=run_66_1,2026-05-31 23:51:51,2026-06-07 15:18:04
132,66,Campaign Newsletter EMAIL Q4,utm_source=newsletter&utm_medium=email&utm_campaign=run_66_2,2026-06-06 22:10:42,2026-06-15 12:34:52
133,67,Campaign Google EMAIL Q3,utm_source=google&utm_medium=email&utm_campaign=run_67_1,2026-06-05 01:42:18,2026-06-12 14:32:53
134,67,Campaign Twitter SOCIAL Q2,utm_source=twitter&utm_medium=social&utm_campaign=run_67_2,2026-05-30 21:21:07,
135,68,Campaign Linkedin DISPLAY Q3,utm_source=linkedin&utm_medium=display&utm_campaign=run_68_1,2026-06-06 13:44:02,
136,68,Campaign Partner SOCIAL Q3,utm_source=partner&utm_medium=social&utm_campaign=run_68_2,2026-06-01 22:33:28,2026-06-05 04:39:02
137,69,Campaign Linkedin EMAIL Q3,utm_source=linkedin&utm_medium=email&utm_campaign=run_69_1,2026-06-04 18:54:41,2026-06-11 09:14:38
138,69,Campaign Facebook SOCIAL Q2,utm_source=facebook&utm_medium=social&utm_campaign=run_69_2,2026-05-31 21:40:14,2026-06-07 03:05:47
139,70,Campaign Partner DISPLAY Q4,utm_source=partner&utm_medium=display&utm_campaign=run_70_1,2026-06-09 14:38:27,
140,70,Campaign Google AFFILIATE Q1,utm_source=google&utm_medium=affiliate&utm_campaign=run_70_2,2026-06-06 04:35:44,
141,71,Campaign Google SOCIAL Q2,utm_source=google&utm_medium=social&utm_campaign=run_71_1,2026-06-01 11:57:58,2026-06-09 13:05:30
142,71,Campaign Google CPC Q2,utm_source=google&utm_medium=cpc&utm_campaign=run_71_2,2026-06-03 18:47:37,
143,72,Campaign Partner EMAIL Q2,utm_source=partner&utm_medium=email&utm_campaign=run_72_1,2026-05-29 08:42:38,
144,72,Campaign Newsletter CPC Q3,utm_source=newsletter&utm_medium=cpc&utm_campaign=run_72_2,2026-06-08 09:16:01,2026-06-12 13:39:41
145,73,Campaign Facebook AFFILIATE Q1,utm_source=facebook&utm_medium=affiliate&utm_campaign=run_73_1,2026-06-06 01:53:38,2026-06-10 03:23:57
146,73,Campaign Twitter DISPLAY Q4,utm_source=twitter&utm_medium=display&utm_campaign=run_73_2,2026-06-08 08:25:55,2026-06-13 02:37:04
147,74,Campaign Partner EMAIL Q1,utm_source=partner&utm_medium=email&utm_campaign=run_74_1,2026-06-07 06:54:07,2026-06-15 20:04:55
148,74,Campaign Partner DISPLAY Q3,utm_source=partner&utm_medium=display&utm_campaign=run_74_2,2026-06-09 10:05:54,2026-06-19 06:24:58
149,75,Campaign Partner AFFILIATE Q4,utm_source=partner&utm_medium=affiliate&utm_campaign=run_75_1,2026-05-30 16:35:25,2026-06-07 12:50:12
150,75,Campaign Google AFFILIATE Q2,utm_source=google&utm_medium=affiliate&utm_campaign=run_75_2,2026-06-03 16:50:49,2026-06-13 08:11:29
151,76,Campaign Twitter SOCIAL Q2,utm_source=twitter&utm_medium=social&utm_campaign=run_76_1,2026-06-04 15:23:25,2026-06-13 12:49:18
152,76,Campaign Twitter AFFILIATE Q1,utm_source=twitter&utm_medium=affiliate&utm_campaign=run_76_2,2026-06-07 20:04:46,
153,77,Campaign Linkedin DISPLAY Q4,utm_source=linkedin&utm_medium=display&utm_campaign=run_77_1,2026-05-31 20:23:48,
154,77,Campaign Partner CPC Q4,utm_source=partner&utm_medium=cpc&utm_campaign=run_77_2,2026-06-04 21:32:08,2026-06-08 09:28:16
155,78,Campaign Newsletter DISPLAY Q2,utm_source=newsletter&utm_medium=display&utm_campaign=run_78_1,2026-06-02 00:16:16,2026-06-10 18:58:40
156,78,Campaign Google AFFILIATE Q3,utm_source=google&utm_medium=affiliate&utm_campaign=run_78_2,2026-06-03 14:08:57,
157,79,Campaign Google EMAIL Q4,utm_source=google&utm_medium=email&utm_campaign=run_79_1,2026-06-02 21:48:43,2026-06-06 07:49:22
158,79,Campaign Google DISPLAY Q2,utm_source=google&utm_medium=display&utm_campaign=run_79_2,2026-06-08 06:41:16,
159,80,Campaign Google SOCIAL Q1,utm_source=google&utm_medium=social&utm_campaign=run_80_1,2026-06-03 17:57:34,2026-06-10 04:51:23
160,80,Campaign Google CPC Q1,utm_source=google&utm_medium=cpc&utm_campaign=run_80_2,2026-06-01 06:57:49,2026-06-06 20:27:15
161,81,Campaign Facebook EMAIL Q4,utm_source=facebook&utm_medium=email&utm_campaign=run_81_1,2026-05-28 17:49:13,
162,81,Campaign Newsletter SOCIAL Q2,utm_source=newsletter&utm_medium=social&utm_campaign=run_81_2,2026-05-31 13:24:18,
163,82,Campaign Twitter AFFILIATE Q4,utm_source=twitter&utm_medium=affiliate&utm_campaign=run_82_1,2026-06-05 00:37:33,2026-06-08 20:17:05
164,82,Campaign Linkedin AFFILIATE Q4,utm_source=linkedin&utm_medium=affiliate&utm_campaign=run_82_2,2026-06-08 22:26:26,2026-06-14 13:53:53
165,83,Campaign Facebook EMAIL Q4,utm_source=facebook&utm_medium=email&utm_campaign=run_83_1,2026-06-07 15:21:31,2026-06-11 00:49:50
166,83,Campaign Twitter CPC Q1,utm_source=twitter&utm_medium=cpc&utm_campaign=run_83_2,2026-06-02 10:46:18,2026-06-10 02:00:38
167,84,Campaign Linkedin SOCIAL Q4,utm_source=linkedin&utm_medium=social&utm_campaign=run_84_1,2026-05-31 21:40:30,
168,84,Campaign Facebook CPC Q2,utm_source=facebook&utm_medium=cpc&utm_campaign=run_84_2,2026-06-02 07:18:59,2026-06-08 17:25:09
169,85,Campaign Linkedin AFFILIATE Q4,utm_source=linkedin&utm_medium=affiliate&utm_campaign=run_85_1,2026-06-09 01:12:43,2026-06-13 15:58:36
170,85,Campaign Newsletter CPC Q2,utm_source=newsletter&utm_medium=cpc&utm_campaign=run_85_2,2026-06-04 16:40:44,2026-06-13 01:46:45
171,86,Campaign Twitter AFFILIATE Q1,utm_source=twitter&utm_medium=affiliate&utm_campaign=run_86_1,2026-05-30 21:56:50,
172,86,Campaign Facebook SOCIAL Q4,utm_source=facebook&utm_medium=social&utm_campaign=run_86_2,2026-06-09 08:31:12,2026-06-12 23:05:46
173,87,Campaign Facebook AFFILIATE Q1,utm_source=facebook&utm_medium=affiliate&utm_campaign=run_87_1,2026-06-03 01:06:12,2026-06-09 13:55:32
174,87,Campaign Linkedin DISPLAY Q2,utm_source=linkedin&utm_medium=display&utm_campaign=run_87_2,2026-05-30 01:25:24,2026-06-09 00:44:50
175,88,Campaign Google AFFILIATE Q4,utm_source=google&utm_medium=affiliate&utm_campaign=run_88_1,2026-05-30 22:24:29,2026-06-05 21:50:12
176,88,Campaign Twitter DISPLAY Q1,utm_source=twitter&utm_medium=display&utm_campaign=run_88_2,2026-06-08 15:35:00,2026-06-15 21:42:07
177,89,Campaign Linkedin CPC Q4,utm_source=linkedin&utm_medium=cpc&utm_campaign=run_89_1,2026-06-08 11:22:36,2026-06-18 10:58:22
178,89,Campaign Facebook AFFILIATE Q4,utm_source=facebook&utm_medium=affiliate&utm_campaign=run_89_2,2026-05-29 11:25:15,2026-06-07 06:35:06
179,90,Campaign Google EMAIL Q4,utm_source=google&utm_medium=email&utm_campaign=run_90_1,2026-06-05 10:25:19,
180,90,Campaign Partner SOCIAL Q4,utm_source=partner&utm_medium=social&utm_campaign=run_90_2,2026-06-05 22:28:09,
181,91,Campaign Google DISPLAY Q4,utm_source=google&utm_medium=display&utm_campaign=run_91_1,2026-06-02 14:14:44,
182,91,Campaign Linkedin AFFILIATE Q1,utm_source=linkedin&utm_medium=affiliate&utm_campaign=run_91_2,2026-05-29 22:08:20,
183,92,Campaign Newsletter AFFILIATE Q2,utm_source=newsletter&utm_medium=affiliate&utm_campaign=run_92_1,2026-06-07 03:56:49,
184,92,Campaign Partner SOCIAL Q1,utm_source=partner&utm_medium=social&utm_campaign=run_92_2,2026-05-28 19:23:50,2026-06-03 03:52:43
185,93,Campaign Google CPC Q4,utm_source=google&utm_medium=cpc&utm_campaign=run_93_1,2026-05-28 18:44:11,
186,93,Campaign Newsletter DISPLAY Q3,utm_source=newsletter&utm_medium=display&utm_campaign=run_93_2,2026-06-08 02:50:27,
187,94,Campaign Twitter EMAIL Q2,utm_source=twitter&utm_medium=email&utm_campaign=run_94_1,2026-06-06 21:58:14,
188,94,Campaign Linkedin SOCIAL Q2,utm_source=linkedin&utm_medium=social&utm_campaign=run_94_2,2026-06-04 06:53:29,2026-06-13 05:12:59
189,95,Campaign Linkedin EMAIL Q2,utm_source=linkedin&utm_medium=email&utm_campaign=run_95_1,2026-06-02 19:53:11,2026-06-08 05:48:23
190,95,Campaign Twitter EMAIL Q2,utm_source=twitter&utm_medium=email&utm_campaign=run_95_2,2026-06-08 20:05:41,2026-06-14 07:17:42
