id,product_id,variant_sku,color,size,price_cents,weight_grams
270,76,PROD-538-0076-VAR1,Navy Blue,XL,4577,3219
271,76,PROD-538-0076-VAR2,White,XS,6077,3860
272,76,PROD-538-0076-VAR3,White,XS,6077,2025
273,77,PROD-183-0077-VAR1,Silver,One-Size,7577,2391
274,77,PROD-183-0077-VAR2,Navy Blue,XL,7577,2165
275,77,PROD-183-0077-VAR3,White,One-Size,9077,1951
276,77,PROD-183-0077-VAR4,Olive Green,S,9077,4105
277,78,PROD-555-0078-VAR1,Silver,M,11879,1198
278,78,PROD-555-0078-VAR2,Silver,XXL,13379,3925
279,78,PROD-555-0078-VAR3,Olive Green,M,12379,1823
280,79,PROD-982-0079-VAR1,Black,XXL,1243,1509
281,79,PROD-982-0079-VAR2,White,M,1243,2825
282,79,PROD-982-0079-VAR3,White,M,2743,1892
283,79,PROD-982-0079-VAR4,Black,XS,1243,4197
284,80,PROD-402-0080-VAR1,Navy Blue,S,24923,165
285,80,PROD-402-0080-VAR2,Slate Gray,L,27423,3489
286,80,PROD-402-0080-VAR3,White,M,24923,1178
287,80,PROD-402-0080-VAR4,Navy Blue,XXL,27423,2033
288,80,PROD-402-0080-VAR5,Black,M,27423,2826
289,81,PROD-770-0081-VAR1,Silver,M,23354,4402
290,81,PROD-770-0081-VAR2,Slate Gray,XS,24354,1942
291,81,PROD-770-0081-VAR3,White,XL,22854,2595
292,81,PROD-770-0081-VAR4,Crimson,XL,24354,684
293,81,PROD-770-0081-VAR5,Slate Gray,M,25854,309
294,82,PROD-628-0082-VAR1,Crimson,M,3661,4036
295,82,PROD-628-0082-VAR2,Slate Gray,One-Size,5161,1216
296,83,PROD-731-0083-VAR1,Crimson,XS,5485,1175
297,83,PROD-731-0083-VAR2,White,S,8485,966
298,83,PROD-731-0083-VAR3,Black,One-Size,8485,1840
299,83,PROD-731-0083-VAR4,Olive Green,XL,5985,3486
300,83,PROD-731-0083-VAR5,Black,L,5485,1908
301,84,PROD-104-0084-VAR1,White,L,21582,198
302,84,PROD-104-0084-VAR2,Crimson,L,23082,208
303,84,PROD-104-0084-VAR3,White,XL,20082,1362
304,84,PROD-104-0084-VAR4,Crimson,L,20082,1974
305,85,PROD-781-0085-VAR1,Black,L,8863,727
306,85,PROD-781-0085-VAR2,Silver,XS,10363,179
307,85,PROD-781-0085-VAR3,White,XL,9363,2163
308,85,PROD-781-0085-VAR4,White,XS,10363,832
309,85,PROD-781-0085-VAR5,Crimson,S,11863,4321
310,86,PROD-529-0086-VAR1,White,M,10226,316
311,86,PROD-529-0086-VAR2,Silver,XS,7726,3223
312,86,PROD-529-0086-VAR3,Navy Blue,L,8726,2201
313,86,PROD-529-0086-VAR4,Navy Blue,One-Size,7726,4297
314,86,PROD-529-0086-VAR5,Olive Green,XXL,10226,4171
315,87,PROD-102-0087-VAR1,Navy Blue,One-Size,10618,1021
316,87,PROD-102-0087-VAR2,Silver,S,10618,186
317,87,PROD-102-0087-VAR3,Black,S,7618,2227
318,88,PROD-295-0088-VAR1,Navy Blue,L,10723,2465
319,88,PROD-295-0088-VAR2,Silver,One-Size,9223,244
320,88,PROD-295-0088-VAR3,Crimson,XS,9223,4251
321,88,PROD-295-0088-VAR4,Silver,XL,9723,905
322,88,PROD-295-0088-VAR5,Silver,One-Size,9223,2450
323,89,PROD-837-0089-VAR1,Slate Gray,One-Size,7351,179
324,89,PROD-837-0089-VAR2,White,L,8351,3076
325,90,PROD-453-0090-VAR1,Crimson,One-Size,10447,3254
326,90,PROD-453-0090-VAR2,Navy Blue,S,11947,3000
327,90,PROD-453-0090-VAR3,Navy Blue,S,11947,2005
328,90,PROD-453-0090-VAR4,Slate Gray,One-Size,8947,2059
329,91,PROD-199-0091-VAR1,Olive Green,XL,15028,1812
330,91,PROD-199-0091-VAR2,Olive Green,One-Size,16528,2680
331,92,PROD-429-0092-VAR1,Navy Blue,XS,19131,3411
332,92,PROD-429-0092-VAR2,Slate Gray,One-Size,19131,1721
333,93,PROD-785-0093-VAR1,Olive Green,XXL,12543,1460
334,93,PROD-785-0093-VAR2,Navy Blue,One-Size,15043,3370
335,93,PROD-785-0093-VAR3,Navy Blue,L,12543,1242
336,93,PROD-785-0093-VAR4,Slate Gray,XL,12043,1815
337,93,PROD-785-0093-VAR5,Slate Gray,XL,15043,292
338,94,PROD-539-0094-VAR1,Navy Blue,L,3525,3348
339,94,PROD-539-0094-VAR2,Slate Gray,XS,6525,2755
340,94,PROD-539-0094-VAR3,Crimson,L,4025,3873
341,94,PROD-539-0094-VAR4,Slate Gray,XL,3525,3900
342,95,PROD-526-0095-VAR1,Olive Green,XS,22422,525
343,95,PROD-526-0095-VAR2,Crimson,One-Size,22422,2984
344,96,PROD-128-0096-VAR1,Silver,XS,18424,1903
345,96,PROD-128-0096-VAR2,Crimson,One-Size,16924,4193
346,96,PROD-128-0096-VAR3,Black,L,15924,3479
347,96,PROD-128-0096-VAR4,White,M,15424,4263
348,97,PROD-800-0097-VAR1,White,XXL,20829,3399
349,97,PROD-800-0097-VAR2,Olive Green,One-Size,20329,1571
350,98,PROD-216-0098-VAR1,Crimson,L,8265,263
351,98,PROD-216-0098-VAR2,Black,M,11265,1370
352,98,PROD-216-0098-VAR3,Slate Gray,L,9765,2233
353,98,PROD-216-0098-VAR4,Silver,One-Size,8265,504
354,98,PROD-216-0098-VAR5,Silver,L,9765,589
355,99,PROD-565-0099-VAR1,Crimson,XS,8279,2023
356,99,PROD-565-0099-VAR2,Crimson,L,6779,3240
357,99,PROD-565-0099-VAR3,Navy Blue,XXL,5779,2827
358,99,PROD-565-0099-VAR4,Olive Green,XXL,8279,2504
359,99,PROD-565-0099-VAR5,Olive Green,XL,8279,790
360,100,PROD-141-0100-VAR1,Black,L,24910,2798
361,100,PROD-141-0100-VAR2,Silver,M,27410,3713
362,100,PROD-141-0100-VAR3,White,XS,24910,2632
363,101,PROD-743-0101-VAR1,Olive Green,One-Size,12283,2202
364,101,PROD-743-0101-VAR2,Crimson,S,13283,1456
365,101,PROD-743-0101-VAR3,Silver,S,11783,1546
366,102,PROD-107-0102-VAR1,Black,One-Size,23684,393
367,102,PROD-107-0102-VAR2,Crimson,L,21184,248
368,102,PROD-107-0102-VAR3,Black,XS,23684,267
369,103,PROD-661-0103-VAR1,Navy Blue,M,9829,1954
370,103,PROD-661-0103-VAR2,Crimson,L,8329,1611
371,103,PROD-661-0103-VAR3,White,M,8329,3908
372,103,PROD-661-0103-VAR4,Silver,M,7329,1871
373,104,PROD-560-0104-VAR1,Silver,One-Size,22029,4471
374,104,PROD-560-0104-VAR2,Navy Blue,One-Size,21029,4138
375,105,PROD-385-0105-VAR1,White,S,17323,719
376,105,PROD-385-0105-VAR2,Slate Gray,One-Size,20323,3895
377,105,PROD-385-0105-VAR3,Silver,XL,20323,2698
378,105,PROD-385-0105-VAR4,Olive Green,XXL,17323,3881
379,106,PROD-859-0106-VAR1,Silver,XL,9389,2717
380,106,PROD-859-0106-VAR2,Olive Green,XL,8889,3591
381,106,PROD-859-0106-VAR3,White,XS,10389,3967
382,106,PROD-859-0106-VAR4,Navy Blue,M,9389,2346
383,107,PROD-620-0107-VAR1,Navy Blue,XXL,9254,2692
384,107,PROD-620-0107-VAR2,Crimson,XS,11754,2924
385,107,PROD-620-0107-VAR3,Silver,S,10254,948
386,107,PROD-620-0107-VAR4,Slate Gray,XS,8754,632
387,107,PROD-620-0107-VAR5,Black,L,10254,659
388,108,PROD-369-0108-VAR1,Silver,XS,15243,3122
389,108,PROD-369-0108-VAR2,Olive Green,XS,16243,4084
390,109,PROD-865-0109-VAR1,Olive Green,XXL,21804,689
391,109,PROD-865-0109-VAR2,Olive Green,XL,21804,2858
392,110,PROD-852-0110-VAR1,Navy Blue,One-Size,17672,1821
393,110,PROD-852-0110-VAR2,Silver,One-Size,17672,1292
394,110,PROD-852-0110-VAR3,White,XXL,17672,1310
395,111,PROD-523-0111-VAR1,Crimson,M,24545,2686
396,111,PROD-523-0111-VAR2,Olive Green,L,25545,1897
397,111,PROD-523-0111-VAR3,Silver,One-Size,27045,593
398,112,PROD-249-0112-VAR1,Olive Green,M,14990,2073
399,112,PROD-249-0112-VAR2,Slate Gray,One-Size,13490,3523
400,113,PROD-763-0113-VAR1,Crimson,L,6950,2737
401,113,PROD-763-0113-VAR2,Navy Blue,One-Size,5450,738
402,113,PROD-763-0113-VAR3,White,L,6950,1385
403,114,PROD-810-0114-VAR1,Slate Gray,L,20786,914
404,114,PROD-810-0114-VAR2,White,L,19286,3015
405,114,PROD-810-0114-VAR3,Silver,XS,19286,1022
406,115,PROD-507-0115-VAR1,Black,XL,5669,4463
407,115,PROD-507-0115-VAR2,Navy Blue,XS,5669,422
408,116,PROD-375-0116-VAR1,Black,XL,9731,4410
409,116,PROD-375-0116-VAR2,Silver,One-Size,10231,2370
410,116,PROD-375-0116-VAR3,Black,One-Size,12731,281
411,116,PROD-375-0116-VAR4,Navy Blue,One-Size,12731,3463
412,117,PROD-509-0117-VAR1,Crimson,S,3084,3926
413,117,PROD-509-0117-VAR2,Silver,One-Size,6084,342
414,117,PROD-509-0117-VAR3,Silver,XL,3084,1454
415,117,PROD-509-0117-VAR4,Slate Gray,S,6084,187
416,118,PROD-895-0118-VAR1,Olive Green,XL,21640,2321
417,118,PROD-895-0118-VAR2,Black,One-Size,23140,3319
418,118,PROD-895-0118-VAR3,Crimson,XS,20640,1708
419,118,PROD-895-0118-VAR4,White,XXL,21640,2437
420,119,PROD-623-0119-VAR1,White,XXL,26987,2550
421,119,PROD-623-0119-VAR2,White,S,24487,1590
422,120,PROD-469-0120-VAR1,Slate Gray,One-Size,21012,2512
423,120,PROD-469-0120-VAR2,Slate Gray,XS,22012,3745
424,121,PROD-538-0121-VAR1,Olive Green,S,10525,1546
425,121,PROD-538-0121-VAR2,Crimson,One-Size,12025,2648
426,121,PROD-538-0121-VAR3,Black,XXL,11025,829
427,121,PROD-538-0121-VAR4,Olive Green,M,11025,3904
428,121,PROD-538-0121-VAR5,Slate Gray,M,11025,2246
429,122,PROD-752-0122-VAR1,Navy Blue,XL,3822,4386
430,122,PROD-752-0122-VAR2,Slate Gray,S,6322,1815
431,123,PROD-433-0123-VAR1,Navy Blue,M,5861,1218
432,123,PROD-433-0123-VAR2,Silver,XXL,7361,1782
433,123,PROD-433-0123-VAR3,White,M,7361,2425
434,123,PROD-433-0123-VAR4,Navy Blue,XL,7361,3556
435,123,PROD-433-0123-VAR5,Crimson,XS,7361,1929
436,124,PROD-335-0124-VAR1,Silver,S,20743,962
437,124,PROD-335-0124-VAR2,White,XXL,17743,3677
438,124,PROD-335-0124-VAR3,Black,XXL,19243,1140
439,124,PROD-335-0124-VAR4,Crimson,XL,18243,3423
440,124,PROD-335-0124-VAR5,Crimson,XL,19243,2267
441,125,PROD-833-0125-VAR1,Crimson,One-Size,3942,953
