id,variant_id,warehouse_code,quantity_on_hand,updated_at
15,15,WH-CENTRAL,114,2026-06-12 04:54:25
16,16,WH-EAST,41,2026-06-11 08:54:25
16,16,WH-WEST,90,2026-06-10 03:54:25
16,16,WH-CENTRAL,59,2026-06-11 20:54:25
17,17,WH-EAST,0,2026-06-12 02:54:25
17,17,WH-WEST,92,2026-06-09 19:54:25
17,17,WH-CENTRAL,115,2026-06-11 06:54:25
18,18,WH-EAST,64,2026-06-11 06:54:25
18,18,WH-WEST,114,2026-06-10 00:54:25
18,18,WH-CENTRAL,62,2026-06-11 13:54:25
19,19,WH-EAST,103,2026-06-11 16:54:25
19,19,WH-WEST,8,2026-06-10 22:54:25
19,19,WH-CENTRAL,52,2026-06-12 03:54:25
20,20,WH-EAST,76,2026-06-10 07:54:25
20,20,WH-WEST,71,2026-06-10 08:54:25
20,20,WH-CENTRAL,111,2026-06-11 05:54:25
21,21,WH-EAST,85,2026-06-10 22:54:25
21,21,WH-WEST,0,2026-06-12 07:54:25
21,21,WH-CENTRAL,109,2026-06-12 06:54:25
22,22,WH-EAST,116,2026-06-11 18:54:25
22,22,WH-WEST,0,2026-06-12 05:54:25
22,22,WH-CENTRAL,83,2026-06-10 03:54:25
23,23,WH-EAST,107,2026-06-11 01:54:25
23,23,WH-WEST,59,2026-06-10 06:54:25
23,23,WH-CENTRAL,40,2026-06-11 23:54:25
24,24,WH-EAST,119,2026-06-11 10:54:25
24,24,WH-WEST,116,2026-06-11 23:54:25
24,24,WH-CENTRAL,44,2026-06-11 06:54:25
25,25,WH-EAST,35,2026-06-12 10:54:25
25,25,WH-WEST,25,2026-06-10 00:54:25
25,25,WH-CENTRAL,52,2026-06-11 19:54:25
26,26,WH-EAST,35,2026-06-11 12:54:25
26,26,WH-WEST,112,2026-06-12 13:54:25
26,26,WH-CENTRAL,92,2026-06-11 03:54:25
27,27,WH-EAST,82,2026-06-10 15:54:25
27,27,WH-WEST,109,2026-06-11 04:54:25
27,27,WH-CENTRAL,111,2026-06-11 16:54:25
28,28,WH-EAST,60,2026-06-12 12:54:25
28,28,WH-WEST,7,2026-06-09 18:54:25
28,28,WH-CENTRAL,16,2026-06-12 05:54:25
29,29,WH-EAST,77,2026-06-10 11:54:25
29,29,WH-WEST,94,2026-06-12 13:54:25
29,29,WH-CENTRAL,21,2026-06-12 04:54:25
30,30,WH-EAST,102,2026-06-12 13:54:25
30,30,WH-WEST,89,2026-06-10 17:54:25
30,30,WH-CENTRAL,117,2026-06-10 02:54:25
31,31,WH-EAST,7,2026-06-10 10:54:25
31,31,WH-WEST,21,2026-06-12 12:54:25
31,31,WH-CENTRAL,0,2026-06-10 02:54:25
32,32,WH-EAST,89,2026-06-11 18:54:25
32,32,WH-WEST,0,2026-06-11 18:54:25
32,32,WH-CENTRAL,57,2026-06-12 05:54:25
33,33,WH-EAST,85,2026-06-11 14:54:25
33,33,WH-WEST,28,2026-06-12 08:54:25
33,33,WH-CENTRAL,0,2026-06-11 17:54:25
34,34,WH-EAST,104,2026-06-10 13:54:25
34,34,WH-WEST,51,2026-06-09 18:54:25
34,34,WH-CENTRAL,31,2026-06-12 12:54:25
35,35,WH-EAST,118,2026-06-12 10:54:25
35,35,WH-WEST,107,2026-06-10 02:54:25
35,35,WH-CENTRAL,54,2026-06-11 03:54:25
36,36,WH-EAST,87,2026-06-11 00:54:25
36,36,WH-WEST,0,2026-06-11 18:54:25
36,36,WH-CENTRAL,16,2026-06-12 13:54:25
37,37,WH-EAST,28,2026-06-10 22:54:25
37,37,WH-WEST,0,2026-06-10 15:54:25
37,37,WH-CENTRAL,105,2026-06-11 07:54:25
38,38,WH-EAST,57,2026-06-10 16:54:25
38,38,WH-WEST,79,2026-06-11 14:54:25
38,38,WH-CENTRAL,0,2026-06-12 05:54:25
39,39,WH-EAST,13,2026-06-11 04:54:25
39,39,WH-WEST,8,2026-06-12 02:54:25
39,39,WH-CENTRAL,41,2026-06-09 21:54:25
40,40,WH-EAST,69,2026-06-09 22:54:25
40,40,WH-WEST,32,2026-06-10 21:54:25
40,40,WH-CENTRAL,90,2026-06-12 00:54:25
41,41,WH-EAST,48,2026-06-12 02:54:25
41,41,WH-WEST,22,2026-06-09 19:54:25
41,41,WH-CENTRAL,70,2026-06-11 14:54:25
42,42,WH-EAST,107,2026-06-10 09:54:25
42,42,WH-WEST,62,2026-06-12 11:54:25
42,42,WH-CENTRAL,110,2026-06-10 11:54:25
43,43,WH-EAST,24,2026-06-12 01:54:25
43,43,WH-WEST,88,2026-06-10 14:54:25
43,43,WH-CENTRAL,71,2026-06-09 19:54:25
44,44,WH-EAST,18,2026-06-12 14:54:25
44,44,WH-WEST,35,2026-06-11 15:54:25
44,44,WH-CENTRAL,109,2026-06-12 14:54:25
45,45,WH-EAST,113,2026-06-12 04:54:25
45,45,WH-WEST,8,2026-06-11 08:54:25
45,45,WH-CENTRAL,110,2026-06-09 18:54:25
46,46,WH-EAST,120,2026-06-10 00:54:25
46,46,WH-WEST,37,2026-06-09 20:54:25
46,46,WH-CENTRAL,38,2026-06-12 08:54:25
47,47,WH-EAST,39,2026-06-12 11:54:25
47,47,WH-WEST,30,2026-06-11 12:54:25
47,47,WH-CENTRAL,0,2026-06-10 22:54:25
48,48,WH-EAST,99,2026-06-11 19:54:25
48,48,WH-WEST,85,2026-06-10 20:54:25
48,48,WH-CENTRAL,101,2026-06-11 20:54:25
49,49,WH-EAST,10,2026-06-10 09:54:25
49,49,WH-WEST,25,2026-06-11 05:54:25
49,49,WH-CENTRAL,52,2026-06-09 22:54:25
50,50,WH-EAST,65,2026-06-10 08:54:25
50,50,WH-WEST,86,2026-06-09 23:54:25
50,50,WH-CENTRAL,77,2026-06-10 13:54:25
51,51,WH-EAST,58,2026-06-10 18:54:25
51,51,WH-WEST,52,2026-06-11 05:54:25
51,51,WH-CENTRAL,28,2026-06-12 10:54:25
52,52,WH-EAST,75,2026-06-11 19:54:25
52,52,WH-WEST,0,2026-06-10 20:54:25
52,52,WH-CENTRAL,103,2026-06-11 05:54:25
53,53,WH-EAST,99,2026-06-09 23:54:25
53,53,WH-WEST,112,2026-06-10 05:54:25
53,53,WH-CENTRAL,45,2026-06-10 06:54:25
54,54,WH-EAST,23,2026-06-09 18:54:25
54,54,WH-WEST,17,2026-06-09 16:54:25
54,54,WH-CENTRAL,6,2026-06-10 01:54:25
55,55,WH-EAST,82,2026-06-09 22:54:25
55,55,WH-WEST,92,2026-06-12 03:54:25
55,55,WH-CENTRAL,8,2026-06-10 08:54:25
56,56,WH-EAST,113,2026-06-09 15:54:25
56,56,WH-WEST,40,2026-06-10 19:54:25
56,56,WH-CENTRAL,5,2026-06-11 03:54:25
57,57,WH-EAST,47,2026-06-10 04:54:25
57,57,WH-WEST,113,2026-06-10 05:54:25
57,57,WH-CENTRAL,89,2026-06-11 07:54:25
58,58,WH-EAST,40,2026-06-10 04:54:25
58,58,WH-WEST,9,2026-06-10 06:54:25
58,58,WH-CENTRAL,78,2026-06-11 23:54:25
59,59,WH-EAST,75,2026-06-12 03:54:25
59,59,WH-WEST,28,2026-06-11 19:54:25
59,59,WH-CENTRAL,111,2026-06-12 06:54:25
60,60,WH-EAST,76,2026-06-10 22:54:25
60,60,WH-WEST,60,2026-06-11 17:54:25
60,60,WH-CENTRAL,0,2026-06-11 05:54:25
61,61,WH-EAST,19,2026-06-10 13:54:25
61,61,WH-WEST,19,2026-06-11 20:54:25
61,61,WH-CENTRAL,37,2026-06-10 23:54:25
62,62,WH-EAST,64,2026-06-10 15:54:25
62,62,WH-WEST,54,2026-06-10 01:54:25
62,62,WH-CENTRAL,57,2026-06-11 03:54:25
63,63,WH-EAST,94,2026-06-11 08:54:25
63,63,WH-WEST,91,2026-06-10 17:54:25
63,63,WH-CENTRAL,5,2026-06-10 23:54:25
64,64,WH-EAST,0,2026-06-10 06:54:25
64,64,WH-WEST,11,2026-06-11 23:54:25
64,64,WH-CENTRAL,92,2026-06-10 04:54:25
65,65,WH-EAST,79,2026-06-12 00:54:25
65,65,WH-WEST,0,2026-06-11 22:54:25
65,65,WH-CENTRAL,11,2026-06-12 04:54:25
66,66,WH-EAST,0,2026-06-12 03:54:25
66,66,WH-WEST,23,2026-06-12 03:54:25
66,66,WH-CENTRAL,52,2026-06-11 17:54:25
67,67,WH-EAST,24,2026-06-10 02:54:25
67,67,WH-WEST,112,2026-06-09 16:54:25
67,67,WH-CENTRAL,32,2026-06-11 14:54:25
68,68,WH-EAST,0,2026-06-10 07:54:25
68,68,WH-WEST,61,2026-06-12 03:54:25
68,68,WH-CENTRAL,74,2026-06-11 22:54:25
69,69,WH-EAST,30,2026-06-12 09:54:25
69,69,WH-WEST,38,2026-06-12 01:54:25
69,69,WH-CENTRAL,43,2026-06-12 03:54:25
70,70,WH-EAST,78,2026-06-11 17:54:25
70,70,WH-WEST,77,2026-06-11 23:54:25
70,70,WH-CENTRAL,49,2026-06-10 13:54:25
71,71,WH-EAST,21,2026-06-10 17:54:25
71,71,WH-WEST,0,2026-06-09 23:54:25
71,71,WH-CENTRAL,106,2026-06-09 20:54:25
72,72,WH-EAST,0,2026-06-12 07:54:25
72,72,WH-WEST,25,2026-06-10 16:54:25
72,72,WH-CENTRAL,87,2026-06-12 04:54:25
73,73,WH-EAST,17,2026-06-09 19:54:25
73,73,WH-WEST,110,2026-06-10 08:54:25
73,73,WH-CENTRAL,26,2026-06-12 05:54:25
74,74,WH-EAST,106,2026-06-11 15:54:25
74,74,WH-WEST,83,2026-06-10 00:54:25
74,74,WH-CENTRAL,119,2026-06-12 07:54:25
75,75,WH-EAST,67,2026-06-10 18:54:25
75,75,WH-WEST,26,2026-06-10 15:54:25
75,75,WH-CENTRAL,36,2026-06-11 00:54:25
76,76,WH-EAST,78,2026-06-11 09:54:25
76,76,WH-WEST,95,2026-06-12 00:54:25
76,76,WH-CENTRAL,26,2026-06-10 12:54:25
77,77,WH-EAST,24,2026-06-11 16:54:25
77,77,WH-WEST,0,2026-06-11 19:54:25
77,77,WH-CENTRAL,12,2026-06-11 05:54:25
78,78,WH-EAST,118,2026-06-10 16:54:25
78,78,WH-WEST,74,2026-06-10 20:54:25
78,78,WH-CENTRAL,118,2026-06-12 09:54:25
79,79,WH-EAST,0,2026-06-11 04:54:25
79,79,WH-WEST,0,2026-06-10 00:54:25
79,79,WH-CENTRAL,6,2026-06-09 16:54:25
80,80,WH-EAST,0,2026-06-11 17:54:25
80,80,WH-WEST,96,2026-06-11 08:54:25
80,80,WH-CENTRAL,57,2026-06-11 02:54:25
81,81,WH-EAST,42,2026-06-10 18:54:25
81,81,WH-WEST,45,2026-06-10 10:54:25
81,81,WH-CENTRAL,38,2026-06-12 10:54:25
82,82,WH-EAST,78,2026-06-12 14:54:25
82,82,WH-WEST,25,2026-06-11 09:54:25
82,82,WH-CENTRAL,69,2026-06-10 08:54:25
83,83,WH-EAST,60,2026-06-11 21:54:25
83,83,WH-WEST,67,2026-06-11 12:54:25
83,83,WH-CENTRAL,107,2026-06-12 05:54:25
84,84,WH-EAST,35,2026-06-09 23:54:25
84,84,WH-WEST,112,2026-06-10 21:54:25
84,84,WH-CENTRAL,57,2026-06-10 01:54:25
85,85,WH-EAST,23,2026-06-09 17:54:25
85,85,WH-WEST,37,2026-06-11 18:54:25
85,85,WH-CENTRAL,33,2026-06-11 01:54:25
86,86,WH-EAST,0,2026-06-10 20:54:25
86,86,WH-WEST,82,2026-06-12 12:54:25
86,86,WH-CENTRAL,80,2026-06-10 21:54:25
87,87,WH-EAST,77,2026-06-10 22:54:25
87,87,WH-WEST,26,2026-06-11 13:54:25
87,87,WH-CENTRAL,18,2026-06-09 22:54:25
88,88,WH-EAST,116,2026-06-11 16:54:25
88,88,WH-WEST,108,2026-06-09 22:54:25
88,88,WH-CENTRAL,47,2026-06-11 19:54:25
89,89,WH-EAST,0,2026-06-10 03:54:25
89,89,WH-WEST,92,2026-06-10 08:54:25
89,89,WH-CENTRAL,25,2026-06-11 20:54:25
90,90,WH-EAST,76,2026-06-11 08:54:25
90,90,WH-WEST,85,2026-06-12 04:54:25
90,90,WH-CENTRAL,56,2026-06-10 05:54:25
91,91,WH-EAST,27,2026-06-10 15:54:25
91,91,WH-WEST,6,2026-06-10 01:54:25
91,91,WH-CENTRAL,74,2026-06-11 09:54:25
92,92,WH-EAST,111,2026-06-09 20:54:25
92,92,WH-WEST,46,2026-06-11 15:54:25
92,92,WH-CENTRAL,23,2026-06-12 03:54:25
93,93,WH-EAST,0,2026-06-10 08:54:25
93,93,WH-WEST,31,2026-06-11 04:54:25
93,93,WH-CENTRAL,19,2026-06-09 16:54:25
94,94,WH-EAST,82,2026-06-09 23:54:25
94,94,WH-WEST,111,2026-06-12 08:54:25
94,94,WH-CENTRAL,40,2026-06-12 13:54:25
95,95,WH-EAST,50,2026-06-11 00:54:25
95,95,WH-WEST,41,2026-06-10 22:54:25
95,95,WH-CENTRAL,44,2026-06-11 06:54:25
96,96,WH-EAST,0,2026-06-09 18:54:25
96,96,WH-WEST,0,2026-06-11 23:54:25
96,96,WH-CENTRAL,119,2026-06-09 16:54:25
97,97,WH-EAST,28,2026-06-11 06:54:25
97,97,WH-WEST,31,2026-06-12 07:54:25
97,97,WH-CENTRAL,87,2026-06-10 13:54:25
98,98,WH-EAST,10,2026-06-12 12:54:25
98,98,WH-WEST,60,2026-06-09 23:54:25
98,98,WH-CENTRAL,72,2026-06-12 05:54:25
99,99,WH-EAST,0,2026-06-10 12:54:25
99,99,WH-WEST,28,2026-06-10 13:54:25
99,99,WH-CENTRAL,53,2026-06-11 16:54:25
100,100,WH-EAST,8,2026-06-10 16:54:25
100,100,WH-WEST,103,2026-06-11 04:54:25
100,100,WH-CENTRAL,0,2026-06-09 17:54:25
101,101,WH-EAST,38,2026-06-10 23:54:25
101,101,WH-WEST,0,2026-06-11 09:54:25
101,101,WH-CENTRAL,41,2026-06-10 10:54:25
102,102,WH-EAST,51,2026-06-11 12:54:25
102,102,WH-WEST,60,2026-06-12 13:54:25
102,102,WH-CENTRAL,0,2026-06-11 08:54:25
103,103,WH-EAST,11,2026-06-12 09:54:25
103,103,WH-WEST,10,2026-06-12 08:54:25
103,103,WH-CENTRAL,45,2026-06-11 17:54:25
104,104,WH-EAST,114,2026-06-12 12:54:25
104,104,WH-WEST,38,2026-06-11 15:54:25
104,104,WH-CENTRAL,80,2026-06-10 18:54:25
105,105,WH-EAST,60,2026-06-11 02:54:25
105,105,WH-WEST,39,2026-06-12 06:54:25
105,105,WH-CENTRAL,23,2026-06-12 05:54:25
106,106,WH-EAST,77,2026-06-10 01:54:25
106,106,WH-WEST,16,2026-06-12 04:54:25
106,106,WH-CENTRAL,46,2026-06-10 05:54:25
107,107,WH-EAST,43,2026-06-11 20:54:25
107,107,WH-WEST,6,2026-06-11 06:54:25
107,107,WH-CENTRAL,0,2026-06-11 00:54:25
108,108,WH-EAST,105,2026-06-11 12:54:25
108,108,WH-WEST,27,2026-06-12 09:54:25
108,108,WH-CENTRAL,0,2026-06-09 22:54:25
109,109,WH-EAST,64,2026-06-11 05:54:25
109,109,WH-WEST,91,2026-06-10 14:54:25
109,109,WH-CENTRAL,34,2026-06-10 09:54:25
110,110,WH-EAST,20,2026-06-12 00:54:25
110,110,WH-WEST,13,2026-06-10 05:54:25
110,110,WH-CENTRAL,77,2026-06-11 05:54:25
111,111,WH-EAST,72,2026-06-10 04:54:25
111,111,WH-WEST,39,2026-06-09 22:54:25
111,111,WH-CENTRAL,7,2026-06-10 01:54:25
112,112,WH-EAST,59,2026-06-11 12:54:25
112,112,WH-WEST,71,2026-06-10 04:54:25
112,112,WH-CENTRAL,99,2026-06-09 15:54:25
113,113,WH-EAST,76,2026-06-10 03:54:25
113,113,WH-WEST,116,2026-06-10 19:54:25
113,113,WH-CENTRAL,39,2026-06-10 04:54:25
114,114,WH-EAST,0,2026-06-10 12:54:25
114,114,WH-WEST,7,2026-06-10 10:54:25
114,114,WH-CENTRAL,31,2026-06-12 05:54:25
115,115,WH-EAST,99,2026-06-12 10:54:25
115,115,WH-WEST,85,2026-06-09 23:54:25
115,115,WH-CENTRAL,31,2026-06-09 17:54:25
116,116,WH-EAST,78,2026-06-10 23:54:25
116,116,WH-WEST,115,2026-06-10 10:54:25
116,116,WH-CENTRAL,115,2026-06-09 17:54:25
117,117,WH-EAST,55,2026-06-12 14:54:25
117,117,WH-WEST,73,2026-06-12 09:54:25
117,117,WH-CENTRAL,18,2026-06-11 19:54:25
118,118,WH-EAST,100,2026-06-11 09:54:25
118,118,WH-WEST,55,2026-06-10 19:54:25
118,118,WH-CENTRAL,0,2026-06-10 17:54:25
119,119,WH-EAST,33,2026-06-12 11:54:25
119,119,WH-WEST,99,2026-06-10 11:54:25
119,119,WH-CENTRAL,25,2026-06-09 23:54:25
120,120,WH-EAST,5,2026-06-12 12:54:25
120,120,WH-WEST,13,2026-06-11 08:54:25
120,120,WH-CENTRAL,61,2026-06-12 11:54:25
121,121,WH-EAST,113,2026-06-10 05:54:25
121,121,WH-WEST,54,2026-06-12 09:54:25
121,121,WH-CENTRAL,23,2026-06-12 04:54:25
122,122,WH-EAST,56,2026-06-12 08:54:25
122,122,WH-WEST,51,2026-06-11 15:54:25
122,122,WH-CENTRAL,5,2026-06-11 17:54:25
123,123,WH-EAST,8,2026-06-10 12:54:25
123,123,WH-WEST,95,2026-06-10 04:54:25
123,123,WH-CENTRAL,85,2026-06-11 14:54:25
124,124,WH-EAST,14,2026-06-11 04:54:25
124,124,WH-WEST,34,2026-06-11 22:54:25
124,124,WH-CENTRAL,84,2026-06-09 16:54:25
125,125,WH-EAST,26,2026-06-11 21:54:25
125,125,WH-WEST,90,2026-06-11 06:54:25
125,125,WH-CENTRAL,97,2026-06-10 07:54:25
126,126,WH-EAST,112,2026-06-10 14:54:25
126,126,WH-WEST,101,2026-06-10 08:54:25
126,126,WH-CENTRAL,10,2026-06-11 11:54:25
127,127,WH-EAST,109,2026-06-10 18:54:25
127,127,WH-WEST,113,2026-06-10 14:54:25
127,127,WH-CENTRAL,0,2026-06-10 03:54:25
128,128,WH-EAST,0,2026-06-10 18:54:25
128,128,WH-WEST,0,2026-06-09 17:54:25
128,128,WH-CENTRAL,89,2026-06-10 21:54:25
129,129,WH-EAST,93,2026-06-10 04:54:25
129,129,WH-WEST,101,2026-06-10 10:54:25
129,129,WH-CENTRAL,0,2026-06-11 07:54:25
130,130,WH-EAST,11,2026-06-09 17:54:25
130,130,WH-WEST,60,2026-06-10 19:54:25
130,130,WH-CENTRAL,91,2026-06-09 23:54:25
131,131,WH-EAST,117,2026-06-10 15:54:25
131,131,WH-WEST,100,2026-06-12 06:54:25
131,131,WH-CENTRAL,103,2026-06-10 06:54:25
132,132,WH-EAST,77,2026-06-10 03:54:25
132,132,WH-WEST,59,2026-06-12 12:54:25
132,132,WH-CENTRAL,52,2026-06-11 02:54:25
133,133,WH-EAST,86,2026-06-09 19:54:25
133,133,WH-WEST,82,2026-06-12 09:54:25
133,133,WH-CENTRAL,101,2026-06-10 01:54:25
134,134,WH-EAST,77,2026-06-09 17:54:25
134,134,WH-WEST,98,2026-06-12 13:54:25
134,134,WH-CENTRAL,65,2026-06-10 07:54:25
135,135,WH-EAST,36,2026-06-09 19:54:25
135,135,WH-WEST,60,2026-06-10 13:54:25
135,135,WH-CENTRAL,41,2026-06-11 14:54:25
136,136,WH-EAST,107,2026-06-12 01:54:25
136,136,WH-WEST,48,2026-06-12 06:54:25
136,136,WH-CENTRAL,109,2026-06-10 09:54:25
137,137,WH-EAST,30,2026-06-09 23:54:25
137,137,WH-WEST,62,2026-06-10 21:54:25
137,137,WH-CENTRAL,0,2026-06-10 14:54:25
138,138,WH-EAST,111,2026-06-10 22:54:25
138,138,WH-WEST,94,2026-06-09 23:54:25
138,138,WH-CENTRAL,57,2026-06-09 22:54:25
139,139,WH-EAST,115,2026-06-11 07:54:25
139,139,WH-WEST,18,2026-06-10 22:54:25
139,139,WH-CENTRAL,74,2026-06-09 19:54:25
140,140,WH-EAST,89,2026-06-11 06:54:25
140,140,WH-WEST,98,2026-06-11 23:54:25
140,140,WH-CENTRAL,50,2026-06-10 18:54:25
141,141,WH-EAST,25,2026-06-09 18:54:25
141,141,WH-WEST,18,2026-06-09 18:54:25
141,141,WH-CENTRAL,48,2026-06-10 21:54:25
142,142,WH-EAST,102,2026-06-11 12:54:25
142,142,WH-WEST,32,2026-06-10 16:54:25
142,142,WH-CENTRAL,46,2026-06-12 00:54:25
143,143,WH-EAST,98,2026-06-12 10:54:25
143,143,WH-WEST,54,2026-06-09 18:54:25
143,143,WH-CENTRAL,88,2026-06-12 00:54:25
144,144,WH-EAST,102,2026-06-11 14:54:25
144,144,WH-WEST,7,2026-06-09 19:54:25
144,144,WH-CENTRAL,105,2026-06-12 00:54:25
145,145,WH-EAST,22,2026-06-11 20:54:25
145,145,WH-WEST,120,2026-06-09 15:54:25
145,145,WH-CENTRAL,89,2026-06-09 19:54:25
146,146,WH-EAST,49,2026-06-09 22:54:25
146,146,WH-WEST,78,2026-06-09 17:54:25
146,146,WH-CENTRAL,102,2026-06-10 20:54:25
147,147,WH-EAST,0,2026-06-11 20:54:25
147,147,WH-WEST,109,2026-06-12 09:54:25
147,147,WH-CENTRAL,62,2026-06-10 22:54:25
148,148,WH-EAST,120,2026-06-12 03:54:25
148,148,WH-WEST,90,2026-06-11 21:54:25
148,148,WH-CENTRAL,77,2026-06-11 21:54:25
149,149,WH-EAST,83,2026-06-11 06:54:25
149,149,WH-WEST,22,2026-06-11 12:54:25
149,149,WH-CENTRAL,108,2026-06-10 02:54:25
150,150,WH-EAST,22,2026-06-12 01:54:25
150,150,WH-WEST,64,2026-06-12 05:54:25
150,150,WH-CENTRAL,32,2026-06-10 10:54:25
151,151,WH-EAST,89,2026-06-10 22:54:25
151,151,WH-WEST,0,2026-06-12 08:54:25
151,151,WH-CENTRAL,0,2026-06-10 22:54:25
152,152,WH-EAST,42,2026-06-11 15:54:25
152,152,WH-WEST,53,2026-06-09 21:54:25
152,152,WH-CENTRAL,24,2026-06-11 20:54:25
153,153,WH-EAST,92,2026-06-12 03:54:25
153,153,WH-WEST,45,2026-06-09 16:54:25
153,153,WH-CENTRAL,62,2026-06-11 14:54:25
154,154,WH-EAST,51,2026-06-11 05:54:25
154,154,WH-WEST,118,2026-06-10 16:54:25
154,154,WH-CENTRAL,22,2026-06-11 15:54:25
155,155,WH-EAST,63,2026-06-11 19:54:25
155,155,WH-WEST,55,2026-06-11 04:54:25
155,155,WH-CENTRAL,46,2026-06-10 03:54:25
156,156,WH-EAST,74,2026-06-11 00:54:25
156,156,WH-WEST,0,2026-06-11 11:54:25
156,156,WH-CENTRAL,69,2026-06-10 11:54:25
157,157,WH-EAST,55,2026-06-12 10:54:25
157,157,WH-WEST,35,2026-06-12 05:54:25
157,157,WH-CENTRAL,83,2026-06-10 19:54:25
158,158,WH-EAST,66,2026-06-11 04:54:25
158,158,WH-WEST,49,2026-06-10 06:54:25
158,158,WH-CENTRAL,0,2026-06-10 17:54:25
159,159,WH-EAST,61,2026-06-11 18:54:25
159,159,WH-WEST,60,2026-06-10 05:54:25
159,159,WH-CENTRAL,86,2026-06-10 21:54:25
160,160,WH-EAST,16,2026-06-09 16:54:25
160,160,WH-WEST,78,2026-06-09 23:54:25
160,160,WH-CENTRAL,68,2026-06-10 20:54:25
161,161,WH-EAST,22,2026-06-11 10:54:25
161,161,WH-WEST,97,2026-06-10 01:54:25
161,161,WH-CENTRAL,11,2026-06-11 01:54:25
162,162,WH-EAST,13,2026-06-11 06:54:25
162,162,WH-WEST,51,2026-06-10 21:54:25
162,162,WH-CENTRAL,84,2026-06-09 18:54:25
163,163,WH-EAST,75,2026-06-11 20:54:25
163,163,WH-WEST,93,2026-06-10 06:54:25
163,163,WH-CENTRAL,11,2026-06-12 06:54:25
164,164,WH-EAST,76,2026-06-12 03:54:25
164,164,WH-WEST,115,2026-06-10 14:54:25
164,164,WH-CENTRAL,67,2026-06-12 07:54:25
165,165,WH-EAST,72,2026-06-11 01:54:25
165,165,WH-WEST,29,2026-06-11 10:54:25
165,165,WH-CENTRAL,36,2026-06-11 15:54:25
166,166,WH-EAST,72,2026-06-10 17:54:25
166,166,WH-WEST,45,2026-06-11 12:54:25
166,166,WH-CENTRAL,101,2026-06-10 17:54:25
167,167,WH-EAST,115,2026-06-10 14:54:25
167,167,WH-WEST,62,2026-06-12 05:54:25
167,167,WH-CENTRAL,42,2026-06-11 00:54:25
168,168,WH-EAST,35,2026-06-11 01:54:25
168,168,WH-WEST,48,2026-06-10 02:54:25
168,168,WH-CENTRAL,60,2026-06-12 08:54:25
169,169,WH-EAST,39,2026-06-11 07:54:25
169,169,WH-WEST,16,2026-06-12 00:54:25
169,169,WH-CENTRAL,110,2026-06-09 17:54:25
170,170,WH-EAST,120,2026-06-09 18:54:25
170,170,WH-WEST,0,2026-06-10 11:54:25
170,170,WH-CENTRAL,24,2026-06-10 05:54:25
171,171,WH-EAST,117,2026-06-11 01:54:25
171,171,WH-WEST,16,2026-06-09 18:54:25
171,171,WH-CENTRAL,86,2026-06-12 13:54:25
172,172,WH-EAST,116,2026-06-10 13:54:25
172,172,WH-WEST,40,2026-06-09 23:54:25
172,172,WH-CENTRAL,82,2026-06-12 02:54:25
