id,crm_customer_id,subject,status,priority,opened_at,closed_at
31,69,Defective Hardware Return,closed,normal,2024-09-28 11:26:37,2024-10-03 08:19:29
32,72,Delayed Delivery Investigation,closed,normal,2025-10-20 13:21:33,2025-10-21 12:01:28
33,77,Subscription Tier Upgrade Error,open,normal,2024-09-03 04:36:57,
34,77,Delayed Delivery Investigation,open,normal,2024-08-13 02:43:18,
35,78,Defective Hardware Return,closed,normal,2026-03-03 09:26:08,2026-03-04 16:12:58
36,83,Subscription Tier Upgrade Error,open,normal,2024-09-27 02:49:04,
37,84,Delayed Delivery Investigation,open,normal,2025-03-29 13:46:55,
38,84,Delayed Delivery Investigation,closed,normal,2025-03-23 03:05:31,2025-03-24 16:21:41
39,84,Delayed Delivery Investigation,closed,high,2025-03-13 11:58:19,2025-03-17 09:50:13
40,84,Account Access Reset Request,closed,high,2025-03-07 11:24:52,2025-03-12 03:08:41
41,84,Delayed Delivery Investigation,pending,critical,2025-03-17 11:04:53,
42,84,Defective Hardware Return,closed,normal,2025-03-18 19:43:11,2025-03-21 02:20:32
43,84,Subscription Tier Upgrade Error,pending,high,2025-03-04 08:49:46,
44,84,Delayed Delivery Investigation,closed,low,2025-03-15 15:18:18,2025-03-20 03:45:09
45,84,Account Access Reset Request,pending,normal,2025-03-07 02:55:17,
46,84,Subscription Tier Upgrade Error,closed,low,2025-03-26 00:11:03,2025-03-29 10:22:08
47,84,Account Access Reset Request,closed,normal,2025-03-19 00:55:42,2025-03-20 10:19:36
48,84,Account Access Reset Request,pending,low,2025-03-26 23:00:05,
49,84,Defective Hardware Return,closed,normal,2025-02-27 09:01:19,2025-03-04 03:22:32
50,84,Subscription Tier Upgrade Error,closed,critical,2025-03-02 14:55:39,2025-03-04 16:07:13
51,88,Delayed Delivery Investigation,closed,normal,2025-03-02 09:23:28,2025-03-05 09:08:12
52,88,Payment Gateway Rejected,pending,normal,2025-03-03 16:51:43,
53,92,Account Access Reset Request,closed,normal,2026-02-18 20:10:19,2026-02-23 00:55:21
54,95,Defective Hardware Return,closed,normal,2024-11-25 01:50:29,2024-11-26 20:27:29
55,101,Subscription Tier Upgrade Error,closed,normal,2024-08-14 06:49:31,2024-08-18 15:13:52
56,102,Defective Hardware Return,pending,normal,2024-11-03 02:10:07,
57,104,Subscription Tier Upgrade Error,pending,normal,2024-11-30 11:19:16,
58,105,Account Access Reset Request,closed,normal,2025-03-29 16:35:23,2025-04-01 12:56:42
59,107,Delayed Delivery Investigation,pending,normal,2026-02-16 03:10:31,
60,108,Account Access Reset Request,open,normal,2024-08-16 20:24:19,
61,108,Subscription Tier Upgrade Error,pending,normal,2024-08-12 18:01:51,
62,111,Delayed Delivery Investigation,pending,normal,2024-09-02 02:35:42,
63,112,Subscription Tier Upgrade Error,closed,normal,2024-11-29 13:06:33,2024-11-30 15:36:44
64,112,Subscription Tier Upgrade Error,pending,normal,2024-11-16 18:41:21,
65,112,Account Access Reset Request,closed,normal,2024-11-06 14:45:15,2024-11-09 08:27:48
66,112,Subscription Tier Upgrade Error,open,critical,2024-11-30 21:46:20,
67,112,Payment Gateway Rejected,closed,high,2024-12-02 09:04:01,2024-12-06 05:20:20
68,112,Account Access Reset Request,pending,normal,2024-12-01 16:07:32,
69,112,Subscription Tier Upgrade Error,closed,normal,2024-11-13 08:49:43,2024-11-14 10:10:50
70,112,Account Access Reset Request,closed,normal,2024-11-28 16:52:01,2024-11-29 21:47:19
71,112,Delayed Delivery Investigation,closed,normal,2024-11-04 02:33:56,2024-11-04 15:04:09
72,112,Defective Hardware Return,closed,critical,2024-11-17 10:40:23,2024-11-19 07:06:58
73,112,Subscription Tier Upgrade Error,open,normal,2024-11-21 08:58:02,
74,120,Delayed Delivery Investigation,closed,high,2025-02-27 03:44:02,2025-02-28 03:40:16
75,120,Subscription Tier Upgrade Error,closed,high,2025-03-17 00:08:36,2025-03-20 04:34:01
76,120,Defective Hardware Return,closed,low,2025-02-19 21:25:55,2025-02-22 21:45:19
77,120,Payment Gateway Rejected,closed,low,2025-03-14 09:08:37,2025-03-17 09:28:44
78,120,Defective Hardware Return,open,normal,2025-03-18 15:35:17,
79,120,Delayed Delivery Investigation,closed,high,2025-03-18 20:38:48,2025-03-21 06:16:26
80,120,Subscription Tier Upgrade Error,closed,critical,2025-03-15 02:22:42,2025-03-15 19:57:23
81,120,Account Access Reset Request,closed,normal,2025-02-16 21:22:18,2025-02-21 11:55:36
82,120,Payment Gateway Rejected,closed,low,2025-03-11 02:27:05,2025-03-14 09:32:39
83,120,Defective Hardware Return,closed,normal,2025-03-14 11:45:06,2025-03-17 04:30:09
84,120,Subscription Tier Upgrade Error,closed,normal,2025-03-04 20:58:37,2025-03-07 15:05:11
85,127,Defective Hardware Return,pending,normal,2025-01-07 07:36:15,
86,128,Account Access Reset Request,pending,normal,2026-04-28 08:49:50,
87,130,Defective Hardware Return,closed,normal,2026-04-06 04:07:57,2026-04-09 21:44:55
88,131,Payment Gateway Rejected,open,normal,2026-04-08 19:25:56,
89,134,Delayed Delivery Investigation,closed,normal,2025-06-17 14:49:22,2025-06-19 17:53:26
90,135,Subscription Tier Upgrade Error,open,normal,2025-01-10 09:50:49,
91,138,Delayed Delivery Investigation,closed,normal,2026-01-10 03:36:58,2026-01-13 00:47:06
92,138,Payment Gateway Rejected,open,normal,2026-02-06 21:25:55,
93,141,Payment Gateway Rejected,closed,normal,2024-10-02 12:30:16,2024-10-03 21:54:37
94,141,Payment Gateway Rejected,closed,normal,2024-10-20 17:45:08,2024-10-22 08:29:31
95,149,Subscription Tier Upgrade Error,closed,normal,2025-03-29 04:50:35,2025-04-01 16:35:03
96,152,Subscription Tier Upgrade Error,closed,normal,2025-01-06 13:24:47,2025-01-08 20:31:58
97,154,Defective Hardware Return,pending,normal,2025-04-20 02:45:46,
98,155,Subscription Tier Upgrade Error,closed,normal,2024-10-15 12:39:29,2024-10-19 03:39:52
99,157,Payment Gateway Rejected,open,normal,2025-10-29 05:36:53,
100,160,Subscription Tier Upgrade Error,closed,normal,2026-01-04 08:40:37,2026-01-09 03:43:34
101,164,Account Access Reset Request,closed,normal,2025-09-01 20:25:30,2025-09-05 22:48:25
102,168,Delayed Delivery Investigation,open,normal,2026-04-03 19:30:58,
103,168,Payment Gateway Rejected,closed,normal,2026-03-22 03:53:03,2026-03-25 21:54:43
104,169,Subscription Tier Upgrade Error,closed,normal,2026-05-22 05:04:54,2026-05-24 14:25:17
105,171,Subscription Tier Upgrade Error,closed,normal,2024-11-28 21:35:32,2024-12-01 19:03:55
106,178,Subscription Tier Upgrade Error,closed,normal,2025-06-26 15:10:13,2025-06-27 10:33:05
107,180,Subscription Tier Upgrade Error,open,normal,2025-10-08 08:30:26,
108,180,Defective Hardware Return,open,normal,2025-11-02 15:54:25,
109,186,Subscription Tier Upgrade Error,closed,normal,2024-10-20 01:53:43,2024-10-24 17:04:30
110,187,Payment Gateway Rejected,closed,normal,2025-11-15 00:52:16,2025-11-15 17:05:07
111,189,Subscription Tier Upgrade Error,pending,critical,2025-07-25 14:25:10,
112,189,Account Access Reset Request,closed,critical,2025-07-15 14:05:34,2025-07-16 23:14:57
113,189,Subscription Tier Upgrade Error,closed,low,2025-08-01 16:48:41,2025-08-05 09:01:38
114,189,Delayed Delivery Investigation,closed,normal,2025-07-28 19:23:48,2025-08-01 20:29:50
115,189,Account Access Reset Request,pending,normal,2025-07-28 10:46:49,
116,189,Delayed Delivery Investigation,closed,high,2025-06-29 05:27:01,2025-07-01 06:28:25
117,189,Account Access Reset Request,closed,normal,2025-07-16 06:27:59,2025-07-16 19:15:17
118,192,Subscription Tier Upgrade Error,closed,normal,2026-03-02 11:22:48,2026-03-05 20:04:58
119,193,Defective Hardware Return,open,normal,2025-06-08 13:34:49,
120,198,Defective Hardware Return,open,normal,2026-04-05 05:12:44,
121,198,Defective Hardware Return,closed,normal,2026-04-30 13:05:51,2026-05-03 00:22:21
122,209,Defective Hardware Return,pending,normal,2024-08-06 20:00:46,
123,215,Delayed Delivery Investigation,closed,normal,2025-01-18 16:16:30,2025-01-22 20:15:13
124,218,Defective Hardware Return,closed,normal,2024-07-08 03:15:47,2024-07-09 19:59:18
125,224,Delayed Delivery Investigation,open,normal,2024-10-22 03:01:48,
126,226,Delayed Delivery Investigation,closed,normal,2025-09-11 14:09:54,2025-09-12 22:23:54
127,228,Account Access Reset Request,closed,normal,2024-11-26 11:02:08,2024-11-29 19:13:54
128,235,Defective Hardware Return,pending,normal,2025-10-09 11:10:59,
129,239,Delayed Delivery Investigation,open,normal,2024-12-16 02:23:43,
130,241,Payment Gateway Rejected,closed,high,2025-03-01 08:55:21,2025-03-04 06:35:09
131,241,Defective Hardware Return,pending,critical,2025-02-28 12:39:41,
132,241,Payment Gateway Rejected,pending,high,2025-03-01 23:09:41,
133,241,Account Access Reset Request,closed,low,2025-02-15 16:15:51,2025-02-16 07:58:42
134,241,Account Access Reset Request,closed,low,2025-03-12 06:08:07,2025-03-15 17:53:33
135,241,Delayed Delivery Investigation,closed,low,2025-02-24 21:17:06,2025-02-26 19:49:31
136,242,Account Access Reset Request,pending,normal,2024-11-22 09:56:40,
137,242,Account Access Reset Request,closed,normal,2024-11-11 11:18:14,2024-11-15 16:54:26
138,246,Defective Hardware Return,closed,normal,2024-12-01 10:45:39,2024-12-04 18:51:58
139,247,Subscription Tier Upgrade Error,closed,normal,2026-04-01 00:12:03,2026-04-04 06:46:03
140,250,Account Access Reset Request,open,critical,2024-07-04 00:18:53,
141,250,Defective Hardware Return,open,critical,2024-07-30 05:22:42,
142,250,Delayed Delivery Investigation,closed,normal,2024-07-10 13:07:03,2024-07-11 23:31:18
143,250,Account Access Reset Request,closed,critical,2024-07-27 19:48:58,2024-07-30 18:44:49
144,250,Subscription Tier Upgrade Error,pending,low,2024-07-25 02:43:08,
145,250,Defective Hardware Return,closed,low,2024-07-21 07:31:46,2024-07-24 03:17:35
146,250,Subscription Tier Upgrade Error,closed,normal,2024-07-24 19:26:44,2024-07-28 02:56:30
147,251,Delayed Delivery Investigation,closed,normal,2026-03-19 07:56:12,2026-03-23 09:05:22
148,251,Delayed Delivery Investigation,closed,normal,2026-03-24 14:35:43,2026-03-25 22:03:46
149,252,Delayed Delivery Investigation,open,normal,2025-10-02 17:35:17,
150,254,Subscription Tier Upgrade Error,closed,normal,2025-06-21 01:56:42,2025-06-24 13:51:01
151,257,Payment Gateway Rejected,closed,normal,2025-11-02 00:11:54,2025-11-05 16:58:54
152,266,Delayed Delivery Investigation,open,normal,2024-08-09 07:41:48,
153,269,Delayed Delivery Investigation,closed,normal,2025-05-09 15:28:23,2025-05-13 06:10:14
154,272,Account Access Reset Request,closed,normal,2025-11-09 14:42:18,2025-11-14 12:50:24
155,273,Payment Gateway Rejected,closed,normal,2026-04-26 22:34:33,2026-04-29 02:03:16
156,282,Account Access Reset Request,pending,normal,2025-12-27 23:18:33,
157,286,Delayed Delivery Investigation,closed,normal,2024-09-11 09:14:04,2024-09-16 06:52:50
158,289,Subscription Tier Upgrade Error,closed,normal,2025-04-28 08:14:55,2025-05-01 19:18:11
159,289,Account Access Reset Request,pending,normal,2025-04-27 22:39:33,
160,292,Delayed Delivery Investigation,closed,normal,2024-10-27 09:18:03,2024-10-28 18:36:42
161,293,Delayed Delivery Investigation,closed,normal,2024-11-19 05:34:00,2024-11-21 17:22:42
162,294,Delayed Delivery Investigation,pending,normal,2024-11-26 05:14:28,
163,296,Defective Hardware Return,closed,normal,2024-10-05 09:03:36,2024-10-06 01:56:35
164,299,Delayed Delivery Investigation,closed,normal,2025-10-07 11:07:19,2025-10-11 02:46:35
165,303,Account Access Reset Request,closed,normal,2025-05-10 06:08:19,2025-05-14 06:25:50
166,303,Delayed Delivery Investigation,open,normal,2025-05-05 13:38:59,
167,310,Subscription Tier Upgrade Error,pending,normal,2026-03-27 08:15:52,
168,311,Payment Gateway Rejected,open,normal,2025-04-29 19:43:01,
169,315,Subscription Tier Upgrade Error,closed,normal,2024-09-15 08:01:55,2024-09-17 03:32:10
170,316,Delayed Delivery Investigation,closed,normal,2024-07-18 09:53:31,2024-07-22 02:40:59
171,316,Subscription Tier Upgrade Error,pending,normal,2024-08-13 14:32:10,
172,321,Account Access Reset Request,closed,normal,2024-07-25 03:51:58,2024-07-30 03:15:27
173,324,Subscription Tier Upgrade Error,closed,normal,2025-02-14 11:54:05,2025-02-18 06:25:00
174,325,Account Access Reset Request,closed,normal,2026-04-02 04:43:41,2026-04-07 01:26:23
175,327,Subscription Tier Upgrade Error,closed,normal,2026-01-12 13:22:31,2026-01-16 05:36:44
176,330,Defective Hardware Return,closed,normal,2025-03-09 22:23:19,2025-03-14 19:09:35
177,333,Account Access Reset Request,closed,normal,2025-07-05 08:50:00,2025-07-06 20:37:29
178,338,Subscription Tier Upgrade Error,closed,normal,2026-03-31 06:31:55,2026-04-02 19:51:25
179,343,Defective Hardware Return,open,normal,2025-05-28 21:40:06,
180,345,Account Access Reset Request,closed,normal,2025-03-17 18:06:46,2025-03-22 10:33:37
181,345,Delayed Delivery Investigation,closed,critical,2025-03-18 17:13:19,2025-03-20 10:42:07
182,345,Subscription Tier Upgrade Error,open,normal,2025-03-02 06:02:48,
183,345,Payment Gateway Rejected,pending,high,2025-03-17 21:56:29,
184,345,Defective Hardware Return,closed,low,2025-03-15 01:02:43,2025-03-17 01:28:19
185,345,Subscription Tier Upgrade Error,open,high,2025-03-04 12:17:50,
186,345,Account Access Reset Request,closed,normal,2025-02-19 04:59:27,2025-02-21 15:58:34
187,348,Account Access Reset Request,pending,normal,2024-07-21 16:54:02,
188,349,Defective Hardware Return,open,normal,2024-11-23 23:31:07,
189,351,Delayed Delivery Investigation,closed,normal,2025-11-12 06:45:07,2025-11-13 04:20:36
190,351,Defective Hardware Return,closed,normal,2025-11-17 15:03:31,2025-11-21 05:58:03
191,354,Account Access Reset Request,open,normal,2024-07-23 17:53:42,
192,359,Defective Hardware Return,closed,normal,2026-03-17 09:31:15,2026-03-22 06:08:46
193,362,Account Access Reset Request,closed,normal,2024-10-08 10:55:32,2024-10-12 16:08:35
194,366,Delayed Delivery Investigation,closed,normal,2024-07-24 17:19:57,2024-07-27 02:32:30
195,368,Payment Gateway Rejected,closed,normal,2025-08-31 04:21:02,2025-09-03 15:05:16
196,369,Subscription Tier Upgrade Error,open,normal,2026-02-22 10:31:25,
197,371,Defective Hardware Return,closed,normal,2025-08-03 00:40:15,2025-08-05 19:37:16
198,373,Delayed Delivery Investigation,closed,normal,2026-02-11 03:56:37,2026-02-13 08:00:17
199,383,Payment Gateway Rejected,closed,normal,2025-10-21 18:29:29,2025-10-26 16:38:47
200,385,Delayed Delivery Investigation,closed,normal,2025-10-05 08:42:51,2025-10-07 19:44:44
201,386,Payment Gateway Rejected,open,normal,2024-12-14 17:42:12,
202,398,Account Access Reset Request,open,normal,2026-05-18 10:16:58,
203,400,Subscription Tier Upgrade Error,pending,normal,2026-03-28 16:30:38,
204,400,Subscription Tier Upgrade Error,closed,normal,2026-03-18 18:45:16,2026-03-19 17:12:52
205,403,Subscription Tier Upgrade Error,open,normal,2026-04-26 00:24:00,
206,404,Defective Hardware Return,closed,normal,2026-01-28 07:48:58,2026-01-28 21:19:25
207,404,Defective Hardware Return,closed,normal,2026-01-24 12:07:00,2026-01-28 22:35:13
208,409,Delayed Delivery Investigation,pending,normal,2024-07-14 20:24:38,
209,410,Subscription Tier Upgrade Error,open,normal,2025-10-25 12:48:49,
210,421,Defective Hardware Return,closed,normal,2024-10-06 08:05:10,2024-10-10 16:22:53
211,423,Payment Gateway Rejected,closed,normal,2025-02-25 12:43:35,2025-02-28 03:42:50
212,424,Account Access Reset Request,closed,normal,2025-10-28 07:06:34,2025-10-31 18:32:02
213,427,Delayed Delivery Investigation,closed,normal,2025-09-14 12:40:42,2025-09-17 13:26:30
214,427,Defective Hardware Return,closed,normal,2025-08-21 04:20:43,2025-08-23 02:19:41
215,431,Defective Hardware Return,closed,normal,2024-11-23 20:29:56,2024-11-25 17:52:40
216,433,Delayed Delivery Investigation,open,normal,2026-05-20 04:41:34,
217,433,Account Access Reset Request,closed,normal,2026-05-08 16:05:53,2026-05-10 14:15:15
218,435,Account Access Reset Request,open,normal,2024-12-12 12:16:07,
219,438,Delayed Delivery Investigation,closed,normal,2024-07-20 05:46:32,2024-07-24 18:25:39
220,443,Account Access Reset Request,pending,normal,2025-03-16 02:59:27,
221,445,Delayed Delivery Investigation,closed,normal,2024-10-23 03:41:57,2024-10-25 13:58:01
222,457,Delayed Delivery Investigation,closed,normal,2026-02-10 04:06:51,2026-02-11 18:30:22
223,458,Account Access Reset Request,closed,normal,2024-10-30 19:37:22,2024-11-02 09:33:55
224,458,Payment Gateway Rejected,open,normal,2024-11-17 07:12:55,
225,459,Delayed Delivery Investigation,pending,normal,2024-08-25 17:49:46,
226,461,Subscription Tier Upgrade Error,open,normal,2025-05-08 05:42:02,
227,469,Account Access Reset Request,closed,normal,2025-08-19 13:28:19,2025-08-20 04:40:03
228,476,Subscription Tier Upgrade Error,closed,normal,2024-10-12 19:06:20,2024-10-17 00:38:32
229,478,Payment Gateway Rejected,open,normal,2026-03-26 02:57:50,
230,480,Subscription Tier Upgrade Error,closed,normal,2024-08-18 10:11:37,2024-08-20 02:40:19
231,482,Delayed Delivery Investigation,closed,normal,2025-01-03 16:36:09,2025-01-05 17:55:44
232,484,Payment Gateway Rejected,open,normal,2025-01-04 14:05:29,
233,486,Payment Gateway Rejected,closed,normal,2024-08-31 00:46:56,2024-08-31 23:50:16
234,488,Payment Gateway Rejected,open,normal,2025-02-22 05:49:28,
235,490,Delayed Delivery Investigation,open,normal,2026-06-12 16:17:10,
236,498,Defective Hardware Return,open,normal,2026-05-06 11:10:49,
237,500,Subscription Tier Upgrade Error,closed,normal,2024-08-27 13:03:02,2024-08-31 12:27:21
238,501,Payment Gateway Rejected,pending,normal,2025-10-02 19:00:57,
239,504,Delayed Delivery Investigation,pending,normal,2025-10-08 06:26:01,
240,505,Delayed Delivery Investigation,open,high,2025-11-22 07:06:46,
241,505,Payment Gateway Rejected,open,normal,2025-11-22 03:48:29,
242,505,Account Access Reset Request,pending,low,2025-11-12 03:28:58,
243,505,Account Access Reset Request,closed,normal,2025-12-04 22:13:07,2025-12-09 16:05:19
244,505,Delayed Delivery Investigation,closed,low,2025-12-06 22:03:19,2025-12-08 21:42:05
245,505,Defective Hardware Return,pending,normal,2025-11-06 07:36:53,
246,505,Subscription Tier Upgrade Error,closed,critical,2025-11-05 09:38:46,2025-11-08 00:18:43
247,505,Payment Gateway Rejected,closed,low,2025-11-05 15:48:43,2025-11-06 17:15:55
248,505,Account Access Reset Request,pending,critical,2025-12-05 18:54:47,
249,505,Delayed Delivery Investigation,open,high,2025-11-08 21:26:08,
250,505,Account Access Reset Request,open,critical,2025-12-04 13:17:34,
251,505,Account Access Reset Request,pending,critical,2025-11-17 01:36:15,
252,505,Subscription Tier Upgrade Error,pending,critical,2025-11-06 23:52:12,
253,505,Payment Gateway Rejected,closed,critical,2025-11-30 07:58:05,2025-11-30 20:35:08
254,514,Subscription Tier Upgrade Error,closed,normal,2025-09-02 10:31:00,2025-09-06 04:46:21
255,515,Defective Hardware Return,open,critical,2024-10-17 09:26:20,
256,515,Account Access Reset Request,closed,critical,2024-10-18 04:26:46,2024-10-20 00:49:13
257,515,Payment Gateway Rejected,closed,critical,2024-10-22 10:59:29,2024-10-26 07:24:34
258,515,Account Access Reset Request,closed,normal,2024-10-08 13:13:43,2024-10-10 22:14:55
259,515,Account Access Reset Request,closed,critical,2024-10-19 08:04:26,2024-10-21 22:15:59
260,515,Subscription Tier Upgrade Error,closed,low,2024-11-05 19:36:45,2024-11-09 19:44:47
261,515,Account Access Reset Request,closed,critical,2024-10-05 22:38:21,2024-10-10 11:00:57
262,515,Payment Gateway Rejected,closed,critical,2024-11-03 08:22:02,2024-11-06 20:23:32
263,515,Payment Gateway Rejected,pending,normal,2024-10-19 17:33:16,
264,515,Defective Hardware Return,closed,high,2024-10-26 10:59:44,2024-10-28 04:20:11
265,515,Account Access Reset Request,closed,low,2024-10-31 04:13:58,2024-11-01 08:12:08
266,515,Account Access Reset Request,closed,critical,2024-10-15 04:54:20,2024-10-19 22:52:01
267,515,Payment Gateway Rejected,closed,critical,2024-11-07 08:14:40,2024-11-11 04:27:45
268,516,Delayed Delivery Investigation,closed,normal,2025-05-31 06:46:55,2025-06-03 01:33:07
269,519,Defective Hardware Return,closed,normal,2025-01-19 12:52:19,2025-01-21 03:19:49
270,520,Delayed Delivery Investigation,open,normal,2025-06-24 18:04:17,
271,523,Payment Gateway Rejected,open,normal,2025-10-24 10:29:47,
272,529,Delayed Delivery Investigation,open,normal,2025-01-02 22:31:22,
273,531,Defective Hardware Return,closed,normal,2025-02-21 04:44:04,2025-02-22 01:22:10
274,538,Account Access Reset Request,closed,normal,2025-06-14 11:26:00,2025-06-15 07:05:20
275,539,Payment Gateway Rejected,open,normal,2025-01-03 16:36:47,
276,542,Subscription Tier Upgrade Error,closed,normal,2025-10-03 04:10:32,2025-10-05 18:41:11
277,546,Defective Hardware Return,closed,normal,2025-02-03 18:09:40,2025-02-04 16:18:58
278,548,Defective Hardware Return,closed,normal,2025-11-07 16:43:26,2025-11-10 01:50:12
279,556,Subscription Tier Upgrade Error,closed,normal,2026-05-09 03:19:33,2026-05-14 02:34:24
280,557,Payment Gateway Rejected,closed,normal,2025-10-31 05:33:20,2025-11-03 18:35:40
281,557,Subscription Tier Upgrade Error,pending,normal,2025-10-13 16:51:37,
282,560,Account Access Reset Request,closed,normal,2025-02-15 10:57:05,2025-02-17 17:10:03
283,560,Delayed Delivery Investigation,open,low,2025-02-08 13:55:21,
284,560,Delayed Delivery Investigation,closed,high,2025-02-27 10:49:44,2025-02-28 01:23:00
285,560,Payment Gateway Rejected,pending,low,2025-02-01 19:25:55,
286,560,Delayed Delivery Investigation,closed,critical,2025-01-26 18:40:41,2025-01-28 08:39:24
287,560,Account Access Reset Request,closed,high,2025-02-09 12:50:15,2025-02-10 17:16:59
288,560,Account Access Reset Request,closed,high,2025-02-05 05:04:29,2025-02-09 08:30:25
289,560,Payment Gateway Rejected,open,critical,2025-01-31 03:43:55,
290,560,Subscription Tier Upgrade Error,closed,normal,2025-02-20 08:33:50,2025-02-21 08:11:32
291,560,Defective Hardware Return,pending,high,2025-01-29 22:09:23,
292,562,Payment Gateway Rejected,closed,normal,2024-11-05 06:35:05,2024-11-08 01:46:15
293,566,Account Access Reset Request,closed,normal,2025-04-18 08:41:14,2025-04-22 18:57:22
294,566,Defective Hardware Return,pending,normal,2025-04-20 04:11:47,
295,568,Account Access Reset Request,closed,normal,2026-02-08 22:21:49,2026-02-13 16:08:18
296,573,Delayed Delivery Investigation,pending,normal,2024-10-27 12:36:58,
297,575,Defective Hardware Return,closed,normal,2024-11-20 08:30:20,2024-11-20 21:29:01
298,577,Subscription Tier Upgrade Error,closed,normal,2026-03-25 19:59:29,2026-03-29 09:16:56
299,581,Subscription Tier Upgrade Error,closed,normal,2025-10-08 03:56:13,2025-10-12 01:02:10
300,582,Subscription Tier Upgrade Error,closed,normal,2025-01-28 16:42:07,2025-02-01 11:39:03
301,583,Payment Gateway Rejected,open,normal,2025-01-24 20:28:44,
302,584,Defective Hardware Return,closed,normal,2025-01-16 03:11:44,2025-01-20 23:01:03
303,587,Defective Hardware Return,closed,normal,2026-06-08 10:03:22,2026-06-09 17:12:40
304,591,Delayed Delivery Investigation,closed,normal,2024-11-09 13:26:27,2024-11-12 08:01:22
305,592,Delayed Delivery Investigation,open,normal,2026-02-28 12:32:26,
306,595,Subscription Tier Upgrade Error,pending,normal,2025-11-08 06:43:06,
307,597,Defective Hardware Return,pending,normal,2025-01-02 07:01:15,
308,597,Defective Hardware Return,pending,high,2025-01-15 06:33:30,
309,597,Delayed Delivery Investigation,closed,normal,2025-01-12 12:36:17,2025-01-14 22:35:01
310,597,Payment Gateway Rejected,open,normal,2025-01-16 15:38:03,
311,597,Subscription Tier Upgrade Error,open,critical,2025-01-03 08:07:29,
312,597,Payment Gateway Rejected,closed,normal,2025-01-05 15:13:40,2025-01-08 07:03:57
313,597,Account Access Reset Request,pending,critical,2025-01-08 01:42:02,
314,597,Account Access Reset Request,closed,high,2025-01-04 20:41:07,2025-01-07 01:54:01
315,597,Account Access Reset Request,open,critical,2025-01-06 20:46:37,
316,597,Delayed Delivery Investigation,closed,normal,2025-01-09 14:14:42,2025-01-11 19:21:18
317,597,Delayed Delivery Investigation,closed,low,2025-01-24 19:18:17,2025-01-26 20:15:13
318,597,Subscription Tier Upgrade Error,pending,normal,2025-01-13 13:47:00,
319,597,Account Access Reset Request,closed,normal,2025-01-25 22:39:03,2025-01-28 07:01:54
320,597,Payment Gateway Rejected,closed,high,2025-01-04 16:36:24,2025-01-07 14:04:45
321,606,Account Access Reset Request,closed,normal,2025-07-17 07:53:49,2025-07-20 11:49:58
322,613,Payment Gateway Rejected,open,normal,2025-07-20 10:41:08,
