id,external_item_id,title,item_type,metadata_json
12,item_44a2d389_12,Premium Monitor (Model 12),fitness,"{""sku_reference"": ""SKU-409-12"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.21}"
13,item_52ea2cc6_13,Premium Kit (Model 13),electronics,"{""sku_reference"": ""SKU-698-13"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.33}"
14,item_0591c79d_14,Ultra Device (Model 14),books,"{""sku_reference"": ""SKU-990-14"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.44}"
15,item_789ffe99_15,Eco Console (Model 15),fitness,"{""sku_reference"": ""SKU-178-15"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.23}"
16,item_79794eee_16,Ultra Tracker (Model 16),electronics,"{""sku_reference"": ""SKU-785-16"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.16}"
17,item_372dbd14_17,Smart Apparel (Model 17),electronics,"{""sku_reference"": ""SKU-784-17"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.14}"
18,item_2b9b36fe_18,Eco Kit (Model 18),electronics,"{""sku_reference"": ""SKU-643-18"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.57}"
19,item_dc1039dd_19,Vintage Gear (Model 19),books,"{""sku_reference"": ""SKU-920-19"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.38}"
20,item_7e94adb0_20,Vintage Console (Model 20),entertainment,"{""sku_reference"": ""SKU-639-20"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.27}"
21,item_74df3956_21,Ultra Gear (Model 21),entertainment,"{""sku_reference"": ""SKU-395-21"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.3}"
22,item_566c8499_22,Eco Tracker (Model 22),fitness,"{""sku_reference"": ""SKU-167-22"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.34}"
23,item_6e757967_23,Smart Monitor (Model 23),books,"{""sku_reference"": ""SKU-273-23"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.41}"
24,item_611de6bb_24,Wireless Kit (Model 24),apparel,"{""sku_reference"": ""SKU-941-24"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.15}"
25,item_99ec4fc4_25,Wireless Device (Model 25),home_goods,"{""sku_reference"": ""SKU-691-25"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.29}"
26,item_e853e443_26,Ergonomic Kit (Model 26),electronics,"{""sku_reference"": ""SKU-326-26"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.56}"
27,item_875c81c7_27,Smart Kit (Model 27),fitness,"{""sku_reference"": ""SKU-540-27"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.49}"
28,item_494a2631_28,Vintage Hub (Model 28),home_goods,"{""sku_reference"": ""SKU-615-28"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.18}"
29,item_880a1965_29,Eco Monitor (Model 29),books,"{""sku_reference"": ""SKU-343-29"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.39}"
30,item_ea1265dd_30,Eco Pack (Model 30),electronics,"{""sku_reference"": ""SKU-402-30"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.27}"
31,item_4ca38208_31,Smart Gear (Model 31),home_goods,"{""sku_reference"": ""SKU-356-31"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.2}"
32,item_8fc4fd7c_32,Ergonomic Gear (Model 32),entertainment,"{""sku_reference"": ""SKU-216-32"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.41}"
33,item_11c52153_33,Vintage Apparel (Model 33),apparel,"{""sku_reference"": ""SKU-518-33"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.14}"
34,item_6d84966e_34,Wireless Console (Model 34),electronics,"{""sku_reference"": ""SKU-610-34"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.62}"
35,item_d9c127c0_35,Ultra Gear (Model 35),fitness,"{""sku_reference"": ""SKU-828-35"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.42}"
36,item_21de3890_36,Ergonomic Tracker (Model 36),apparel,"{""sku_reference"": ""SKU-342-36"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.3}"
37,item_6b4fe970_37,Ergonomic Tracker (Model 37),entertainment,"{""sku_reference"": ""SKU-782-37"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.34}"
38,item_0c93fe50_38,Wireless Console (Model 38),books,"{""sku_reference"": ""SKU-570-38"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.21}"
39,item_8beca2e4_39,Smart Pack (Model 39),apparel,"{""sku_reference"": ""SKU-132-39"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.15}"
40,item_08112d34_40,Ultra Apparel (Model 40),home_goods,"{""sku_reference"": ""SKU-531-40"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.12}"
41,item_f1703cc1_41,Ergonomic Monitor (Model 41),home_goods,"{""sku_reference"": ""SKU-326-41"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.29}"
42,item_60a20f92_42,Premium Apparel (Model 42),fitness,"{""sku_reference"": ""SKU-534-42"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.55}"
43,item_f262900a_43,Premium Apparel (Model 43),home_goods,"{""sku_reference"": ""SKU-417-43"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.39}"
44,item_d3f04376_44,Eco Monitor (Model 44),fitness,"{""sku_reference"": ""SKU-196-44"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.39}"
45,item_f20091cc_45,Vintage Apparel (Model 45),books,"{""sku_reference"": ""SKU-924-45"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.16}"
46,item_3479d5cd_46,Ergonomic Pack (Model 46),apparel,"{""sku_reference"": ""SKU-620-46"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.5}"
47,item_60a8486b_47,Smart Monitor (Model 47),electronics,"{""sku_reference"": ""SKU-234-47"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.24}"
48,item_5fb77c69_48,Vintage Tracker (Model 48),home_goods,"{""sku_reference"": ""SKU-115-48"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.55}"
49,item_68de49f3_49,Wireless Kit (Model 49),home_goods,"{""sku_reference"": ""SKU-393-49"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.59}"
50,item_0770d1b7_50,Smart Device (Model 50),apparel,"{""sku_reference"": ""SKU-338-50"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.49}"
51,item_3355cfa8_51,Wireless Monitor (Model 51),books,"{""sku_reference"": ""SKU-527-51"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.25}"
52,item_c941d429_52,Wireless Pack (Model 52),fitness,"{""sku_reference"": ""SKU-907-52"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.15}"
53,item_7818a5b1_53,Classic Gear (Model 53),home_goods,"{""sku_reference"": ""SKU-369-53"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.48}"
54,item_1204e127_54,Ultra Monitor (Model 54),entertainment,"{""sku_reference"": ""SKU-893-54"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.28}"
55,item_c6b324fd_55,Premium Pack (Model 55),fitness,"{""sku_reference"": ""SKU-787-55"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.15}"
56,item_59e77ce9_56,Premium Apparel (Model 56),home_goods,"{""sku_reference"": ""SKU-648-56"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.14}"
57,item_f3f1b50b_57,Classic Console (Model 57),fitness,"{""sku_reference"": ""SKU-139-57"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.29}"
58,item_831316ab_58,Wireless Gear (Model 58),fitness,"{""sku_reference"": ""SKU-178-58"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.6}"
59,item_0c24c401_59,Premium Console (Model 59),books,"{""sku_reference"": ""SKU-452-59"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.22}"
60,item_a56b6366_60,Ergonomic Hub (Model 60),electronics,"{""sku_reference"": ""SKU-824-60"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.38}"
61,item_9143de57_61,Premium Console (Model 61),fitness,"{""sku_reference"": ""SKU-321-61"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.16}"
62,item_3a5473a7_62,Classic Tracker (Model 62),fitness,"{""sku_reference"": ""SKU-801-62"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.48}"
63,item_fcb4cd0d_63,Ergonomic Monitor (Model 63),apparel,"{""sku_reference"": ""SKU-196-63"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.31}"
64,item_4b15b48e_64,Vintage Monitor (Model 64),apparel,"{""sku_reference"": ""SKU-674-64"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.25}"
65,item_6fbeb050_65,Ultra Console (Model 65),books,"{""sku_reference"": ""SKU-400-65"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.34}"
66,item_e306d958_66,Ultra Kit (Model 66),apparel,"{""sku_reference"": ""SKU-773-66"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.41}"
67,item_3312c72a_67,Premium Gear (Model 67),entertainment,"{""sku_reference"": ""SKU-683-67"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.28}"
68,item_d3d5a377_68,Smart Pack (Model 68),books,"{""sku_reference"": ""SKU-574-68"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.46}"
69,item_f1564320_69,Wireless Console (Model 69),electronics,"{""sku_reference"": ""SKU-149-69"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.28}"
70,item_4d91fe4c_70,Premium Gear (Model 70),apparel,"{""sku_reference"": ""SKU-720-70"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.41}"
71,item_57858264_71,Vintage Console (Model 71),fitness,"{""sku_reference"": ""SKU-488-71"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.14}"
72,item_d265a392_72,Wireless Console (Model 72),entertainment,"{""sku_reference"": ""SKU-563-72"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.48}"
73,item_c3b072f0_73,Classic Gear (Model 73),books,"{""sku_reference"": ""SKU-357-73"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.39}"
74,item_5f02e072_74,Ergonomic Apparel (Model 74),books,"{""sku_reference"": ""SKU-962-74"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.37}"
75,item_62354ad4_75,Ultra Monitor (Model 75),apparel,"{""sku_reference"": ""SKU-152-75"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.59}"
76,item_b63ff6b6_76,Ergonomic Console (Model 76),fitness,"{""sku_reference"": ""SKU-867-76"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.1}"
77,item_eeded761_77,Classic Monitor (Model 77),books,"{""sku_reference"": ""SKU-175-77"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.63}"
78,item_b5836497_78,Classic Gear (Model 78),electronics,"{""sku_reference"": ""SKU-963-78"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.38}"
79,item_9b7aea26_79,Classic Apparel (Model 79),fitness,"{""sku_reference"": ""SKU-561-79"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.3}"
80,item_8440466c_80,Smart Hub (Model 80),books,"{""sku_reference"": ""SKU-797-80"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.57}"
81,item_bb318f0d_81,Smart Kit (Model 81),home_goods,"{""sku_reference"": ""SKU-951-81"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.18}"
82,item_80692ab5_82,Smart Tracker (Model 82),electronics,"{""sku_reference"": ""SKU-859-82"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.34}"
83,item_69db4f64_83,Smart Pack (Model 83),fitness,"{""sku_reference"": ""SKU-256-83"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.59}"
84,item_11103efd_84,Wireless Apparel (Model 84),entertainment,"{""sku_reference"": ""SKU-324-84"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.31}"
85,item_e70cdcef_85,Eco Monitor (Model 85),entertainment,"{""sku_reference"": ""SKU-167-85"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.12}"
86,item_9497c2fc_86,Ergonomic Hub (Model 86),electronics,"{""sku_reference"": ""SKU-606-86"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.56}"
87,item_5a3fb82e_87,Smart Monitor (Model 87),apparel,"{""sku_reference"": ""SKU-489-87"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.22}"
88,item_1561eb2f_88,Classic Gear (Model 88),electronics,"{""sku_reference"": ""SKU-855-88"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.3}"
89,item_db4707b3_89,Classic Kit (Model 89),apparel,"{""sku_reference"": ""SKU-113-89"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.26}"
90,item_7bbda3a5_90,Vintage Apparel (Model 90),fitness,"{""sku_reference"": ""SKU-255-90"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.58}"
91,item_582ec9a3_91,Ultra Kit (Model 91),books,"{""sku_reference"": ""SKU-785-91"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.2}"
92,item_f6f69cc1_92,Vintage Pack (Model 92),books,"{""sku_reference"": ""SKU-895-92"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.48}"
93,item_c0fb4e72_93,Ultra Apparel (Model 93),apparel,"{""sku_reference"": ""SKU-383-93"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.43}"
94,item_4344146b_94,Vintage Hub (Model 94),fitness,"{""sku_reference"": ""SKU-998-94"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.17}"
95,item_8c27c097_95,Smart Device (Model 95),apparel,"{""sku_reference"": ""SKU-235-95"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.45}"
96,item_87cf5d6c_96,Eco Console (Model 96),apparel,"{""sku_reference"": ""SKU-828-96"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.33}"
97,item_23693eeb_97,Eco Hub (Model 97),fitness,"{""sku_reference"": ""SKU-582-97"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.47}"
98,item_82945094_98,Smart Apparel (Model 98),home_goods,"{""sku_reference"": ""SKU-389-98"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.16}"
99,item_cb35c168_99,Ultra Device (Model 99),electronics,"{""sku_reference"": ""SKU-632-99"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.38}"
100,item_b144edc7_100,Vintage Monitor (Model 100),books,"{""sku_reference"": ""SKU-291-100"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.12}"
101,item_2251c197_101,Vintage Pack (Model 101),electronics,"{""sku_reference"": ""SKU-244-101"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.43}"
102,item_b3d419e3_102,Vintage Tracker (Model 102),books,"{""sku_reference"": ""SKU-763-102"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.48}"
103,item_cc730f1a_103,Wireless Console (Model 103),fitness,"{""sku_reference"": ""SKU-152-103"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.62}"
104,item_1bfeba39_104,Premium Kit (Model 104),home_goods,"{""sku_reference"": ""SKU-401-104"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.54}"
105,item_e835714e_105,Ultra Tracker (Model 105),apparel,"{""sku_reference"": ""SKU-413-105"", ""inventory_status"": ""backorder"", ""margin_rating"": 0.2}"
106,item_247438f3_106,Classic Tracker (Model 106),home_goods,"{""sku_reference"": ""SKU-668-106"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.57}"
107,item_e5bda7f2_107,Classic Console (Model 107),books,"{""sku_reference"": ""SKU-265-107"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.11}"
108,item_b6b2ddef_108,Classic Device (Model 108),electronics,"{""sku_reference"": ""SKU-359-108"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.2}"
109,item_468f3114_109,Wireless Monitor (Model 109),home_goods,"{""sku_reference"": ""SKU-865-109"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.28}"
110,item_8c4d29be_110,Classic Tracker (Model 110),entertainment,"{""sku_reference"": ""SKU-277-110"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.59}"
111,item_9b9c54f1_111,Ergonomic Tracker (Model 111),books,"{""sku_reference"": ""SKU-805-111"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.12}"
112,item_3617db3c_112,Eco Hub (Model 112),electronics,"{""sku_reference"": ""SKU-133-112"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.52}"
113,item_ee150706_113,Ergonomic Hub (Model 113),electronics,"{""sku_reference"": ""SKU-981-113"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.63}"
114,item_efc4975c_114,Vintage Pack (Model 114),home_goods,"{""sku_reference"": ""SKU-159-114"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.56}"
115,item_1ca4ac97_115,Ultra Hub (Model 115),electronics,"{""sku_reference"": ""SKU-795-115"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.19}"
116,item_0a0dc5b3_116,Premium Pack (Model 116),fitness,"{""sku_reference"": ""SKU-505-116"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.3}"
117,item_ba33bb14_117,Ultra Gear (Model 117),books,"{""sku_reference"": ""SKU-581-117"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.56}"
118,item_e0af8c0e_118,Smart Monitor (Model 118),books,"{""sku_reference"": ""SKU-158-118"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.44}"
119,item_8a1c0ded_119,Classic Console (Model 119),fitness,"{""sku_reference"": ""SKU-961-119"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.53}"
120,item_a77b58af_120,Premium Apparel (Model 120),electronics,"{""sku_reference"": ""SKU-721-120"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.24}"
121,item_07f59f12_121,Wireless Gear (Model 121),home_goods,"{""sku_reference"": ""SKU-967-121"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.6}"
122,item_ed95ff43_122,Wireless Kit (Model 122),entertainment,"{""sku_reference"": ""SKU-500-122"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.27}"
123,item_af4d3411_123,Smart Pack (Model 123),home_goods,"{""sku_reference"": ""SKU-564-123"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.57}"
124,item_0978ac40_124,Ergonomic Gear (Model 124),apparel,"{""sku_reference"": ""SKU-978-124"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.23}"
125,item_9d3aa57b_125,Smart Kit (Model 125),electronics,"{""sku_reference"": ""SKU-414-125"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.52}"
126,item_891efa18_126,Eco Gear (Model 126),fitness,"{""sku_reference"": ""SKU-910-126"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.4}"
127,item_d864ff98_127,Vintage Tracker (Model 127),electronics,"{""sku_reference"": ""SKU-552-127"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.39}"
128,item_b6dec3c5_128,Ergonomic Device (Model 128),home_goods,"{""sku_reference"": ""SKU-768-128"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.28}"
129,item_db46a27e_129,Ultra Pack (Model 129),home_goods,"{""sku_reference"": ""SKU-389-129"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.42}"
130,item_6903f08a_130,Wireless Monitor (Model 130),apparel,"{""sku_reference"": ""SKU-352-130"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.26}"
131,item_3fea89d1_131,Classic Pack (Model 131),books,"{""sku_reference"": ""SKU-551-131"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.61}"
132,item_c31941b1_132,Premium Tracker (Model 132),books,"{""sku_reference"": ""SKU-825-132"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.4}"
133,item_0cd0e831_133,Classic Tracker (Model 133),home_goods,"{""sku_reference"": ""SKU-829-133"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.52}"
134,item_5104c071_134,Ergonomic Hub (Model 134),electronics,"{""sku_reference"": ""SKU-265-134"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.28}"
135,item_eff4783e_135,Ergonomic Tracker (Model 135),electronics,"{""sku_reference"": ""SKU-312-135"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.64}"
136,item_7f3ea8c1_136,Vintage Hub (Model 136),apparel,"{""sku_reference"": ""SKU-566-136"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.63}"
137,item_92ff389c_137,Smart Tracker (Model 137),entertainment,"{""sku_reference"": ""SKU-557-137"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.43}"
138,item_2f0e8481_138,Wireless Hub (Model 138),books,"{""sku_reference"": ""SKU-560-138"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.16}"
139,item_89bb5924_139,Vintage Apparel (Model 139),fitness,"{""sku_reference"": ""SKU-913-139"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.59}"
140,item_13fea6cb_140,Vintage Monitor (Model 140),electronics,"{""sku_reference"": ""SKU-492-140"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.64}"
141,item_0018bfe0_141,Ergonomic Device (Model 141),home_goods,"{""sku_reference"": ""SKU-336-141"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.34}"
142,item_4048a370_142,Premium Pack (Model 142),entertainment,"{""sku_reference"": ""SKU-249-142"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.2}"
143,item_44b0f2cd_143,Vintage Kit (Model 143),books,"{""sku_reference"": ""SKU-930-143"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.59}"
144,item_3bf29ee6_144,Vintage Device (Model 144),fitness,"{""sku_reference"": ""SKU-578-144"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.13}"
145,item_6157fc44_145,Eco Tracker (Model 145),apparel,"{""sku_reference"": ""SKU-959-145"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.25}"
146,item_196a1879_146,Classic Console (Model 146),entertainment,"{""sku_reference"": ""SKU-813-146"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.5}"
147,item_8bde629a_147,Eco Tracker (Model 147),entertainment,"{""sku_reference"": ""SKU-501-147"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.38}"
148,item_0f699634_148,Ultra Tracker (Model 148),electronics,"{""sku_reference"": ""SKU-138-148"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.43}"
149,item_08caac02_149,Ergonomic Tracker (Model 149),entertainment,"{""sku_reference"": ""SKU-760-149"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.12}"
150,item_e2b59bce_150,Ultra Device (Model 150),electronics,"{""sku_reference"": ""SKU-705-150"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.27}"
151,item_5284cf36_151,Ergonomic Monitor (Model 151),electronics,"{""sku_reference"": ""SKU-781-151"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.22}"
152,item_dc5dd4cd_152,Eco Monitor (Model 152),fitness,"{""sku_reference"": ""SKU-904-152"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.5}"
153,item_1c0ac820_153,Classic Kit (Model 153),books,"{""sku_reference"": ""SKU-135-153"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.37}"
154,item_d513a711_154,Premium Pack (Model 154),electronics,"{""sku_reference"": ""SKU-708-154"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.25}"
155,item_8c1abef5_155,Smart Hub (Model 155),books,"{""sku_reference"": ""SKU-635-155"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.19}"
156,item_0183f0ef_156,Eco Gear (Model 156),fitness,"{""sku_reference"": ""SKU-406-156"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.43}"
157,item_76669afa_157,Ergonomic Hub (Model 157),electronics,"{""sku_reference"": ""SKU-541-157"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.46}"
158,item_002cbcb9_158,Vintage Device (Model 158),apparel,"{""sku_reference"": ""SKU-783-158"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.53}"
159,item_08a0c128_159,Smart Kit (Model 159),electronics,"{""sku_reference"": ""SKU-939-159"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.2}"
160,item_0bfc43fb_160,Smart Monitor (Model 160),electronics,"{""sku_reference"": ""SKU-142-160"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.2}"
161,item_819cf22b_161,Smart Hub (Model 161),electronics,"{""sku_reference"": ""SKU-768-161"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.4}"
162,item_40134b1c_162,Vintage Console (Model 162),home_goods,"{""sku_reference"": ""SKU-921-162"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.32}"
163,item_ae5dc455_163,Premium Device (Model 163),electronics,"{""sku_reference"": ""SKU-593-163"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.19}"
164,item_6236a0fd_164,Ergonomic Hub (Model 164),home_goods,"{""sku_reference"": ""SKU-549-164"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.57}"
165,item_3e683e57_165,Classic Device (Model 165),apparel,"{""sku_reference"": ""SKU-517-165"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.28}"
166,item_d60bb764_166,Premium Kit (Model 166),apparel,"{""sku_reference"": ""SKU-332-166"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.6}"
167,item_6c194a4a_167,Eco Gear (Model 167),electronics,"{""sku_reference"": ""SKU-368-167"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.27}"
