id,profile_id,item_id,rank,reason,generated_at
53,11,1336,3,Trending item in your preferred category,2026-03-11 04:16:09
54,11,1305,4,Trending item in your preferred category,2026-03-10 17:00:10
55,11,160,5,Trending item in your preferred category,2026-03-11 04:17:23
56,12,1095,1,Frequently purchased together with items in your cart,2026-03-19 09:05:36
57,12,662,2,Based on your recent viewing history,2026-03-26 04:51:09
58,12,518,3,New arrival matching your brand affinities,2026-03-21 23:29:44
59,12,728,4,Frequently purchased together with items in your cart,2026-03-25 05:16:16
60,12,1114,5,Based on your recent viewing history,2026-03-21 05:04:00
61,13,1432,1,Highly rated by users with similar profiles,2026-03-21 20:07:03
62,13,9,2,Based on your recent viewing history,2026-03-22 15:10:47
63,13,1022,3,Trending item in your preferred category,2026-03-20 09:21:31
64,13,904,4,Highly rated by users with similar profiles,2026-03-21 01:25:55
65,13,100,5,Highly rated by users with similar profiles,2026-03-23 02:29:50
66,14,446,1,Trending item in your preferred category,2026-02-27 10:34:30
67,14,1094,2,Trending item in your preferred category,2026-02-25 18:14:55
68,14,1262,3,Highly rated by users with similar profiles,2026-02-24 21:04:17
69,14,631,4,Frequently purchased together with items in your cart,2026-02-26 23:13:18
70,14,476,5,Frequently purchased together with items in your cart,2026-02-22 10:09:19
71,15,127,1,Highly rated by users with similar profiles,2026-05-07 00:04:08
72,15,1485,2,New arrival matching your brand affinities,2026-05-10 14:21:13
73,15,1161,3,New arrival matching your brand affinities,2026-05-09 22:16:34
74,15,1020,4,Trending item in your preferred category,2026-05-05 07:04:53
75,15,902,5,Based on your recent viewing history,2026-05-12 07:40:01
76,16,857,1,Highly rated by users with similar profiles,2026-02-20 05:24:16
77,16,117,2,Trending item in your preferred category,2026-02-22 20:24:59
78,16,1391,3,Highly rated by users with similar profiles,2026-02-25 11:56:11
79,16,363,4,Trending item in your preferred category,2026-02-22 12:26:22
80,16,1083,5,Trending item in your preferred category,2026-02-17 21:00:16
81,17,224,1,New arrival matching your brand affinities,2026-03-23 20:38:32
82,17,1446,2,Based on your recent viewing history,2026-03-19 00:16:09
83,17,309,3,Frequently purchased together with items in your cart,2026-03-23 18:16:43
84,17,1069,4,Highly rated by users with similar profiles,2026-03-18 14:16:53
85,17,489,5,Based on your recent viewing history,2026-03-25 01:05:36
86,18,1245,1,Frequently purchased together with items in your cart,2026-05-01 07:26:10
87,18,736,2,Trending item in your preferred category,2026-05-07 18:43:27
88,18,139,3,New arrival matching your brand affinities,2026-05-08 00:00:35
89,18,245,4,New arrival matching your brand affinities,2026-05-01 07:53:01
90,18,335,5,New arrival matching your brand affinities,2026-05-04 00:26:26
91,19,1195,1,New arrival matching your brand affinities,2026-04-11 19:03:18
92,19,1055,2,New arrival matching your brand affinities,2026-04-11 05:53:43
93,19,1216,3,Highly rated by users with similar profiles,2026-04-08 09:41:47
94,19,404,4,Based on your recent viewing history,2026-04-06 15:32:56
95,19,832,5,Frequently purchased together with items in your cart,2026-04-13 11:51:08
96,20,963,1,Frequently purchased together with items in your cart,2026-02-24 19:38:44
97,20,680,2,Highly rated by users with similar profiles,2026-02-23 19:51:05
98,20,920,3,New arrival matching your brand affinities,2026-02-19 17:33:03
99,20,137,4,Highly rated by users with similar profiles,2026-02-24 06:42:03
100,20,1423,5,Trending item in your preferred category,2026-02-21 17:24:19
101,21,760,1,Highly rated by users with similar profiles,2026-02-26 12:04:48
102,21,967,2,Highly rated by users with similar profiles,2026-02-25 03:07:55
103,21,652,3,Frequently purchased together with items in your cart,2026-02-28 11:57:27
104,21,1495,4,Frequently purchased together with items in your cart,2026-02-24 16:10:22
105,21,190,5,Based on your recent viewing history,2026-03-05 00:49:12
106,22,794,1,Trending item in your preferred category,2026-05-31 09:26:01
107,22,1217,2,Frequently purchased together with items in your cart,2026-06-05 05:35:48
108,22,1470,3,Based on your recent viewing history,2026-06-03 15:42:21
109,22,1175,4,Based on your recent viewing history,2026-06-02 13:43:17
110,22,193,5,Based on your recent viewing history,2026-06-06 23:44:35
111,23,1439,1,Highly rated by users with similar profiles,2026-03-15 02:47:45
112,23,611,2,Trending item in your preferred category,2026-03-12 06:57:38
113,23,697,3,Based on your recent viewing history,2026-03-13 20:57:54
114,23,52,4,Highly rated by users with similar profiles,2026-03-15 13:25:04
115,23,152,5,Trending item in your preferred category,2026-03-10 08:43:41
116,24,1333,1,Highly rated by users with similar profiles,2026-02-18 09:06:54
117,24,686,2,Highly rated by users with similar profiles,2026-02-15 11:44:45
118,24,1336,3,Trending item in your preferred category,2026-02-16 00:24:32
119,24,706,4,New arrival matching your brand affinities,2026-02-17 16:24:39
120,24,926,5,Frequently purchased together with items in your cart,2026-02-22 17:00:57
121,25,1096,1,Highly rated by users with similar profiles,2026-05-04 17:38:35
122,25,1295,2,Frequently purchased together with items in your cart,2026-05-09 09:34:03
123,25,645,3,Based on your recent viewing history,2026-05-06 19:36:29
124,25,472,4,New arrival matching your brand affinities,2026-05-08 01:53:44
125,25,1060,5,New arrival matching your brand affinities,2026-05-05 15:25:32
126,26,480,1,New arrival matching your brand affinities,2026-05-13 01:19:40
127,26,1243,2,New arrival matching your brand affinities,2026-05-09 00:53:53
128,26,1295,3,Based on your recent viewing history,2026-05-10 05:03:43
129,26,961,4,New arrival matching your brand affinities,2026-05-09 23:45:49
130,26,206,5,Frequently purchased together with items in your cart,2026-05-15 06:37:00
131,27,1015,1,New arrival matching your brand affinities,2026-03-01 06:11:26
132,27,137,2,New arrival matching your brand affinities,2026-02-27 18:30:00
133,27,1433,3,New arrival matching your brand affinities,2026-02-26 08:27:53
134,27,514,4,New arrival matching your brand affinities,2026-02-26 21:09:04
135,27,375,5,Based on your recent viewing history,2026-03-01 08:42:46
136,28,965,1,Trending item in your preferred category,2026-04-25 15:38:25
137,28,56,2,Highly rated by users with similar profiles,2026-04-21 18:52:08
138,28,536,3,Trending item in your preferred category,2026-04-25 05:55:51
139,28,1283,4,Frequently purchased together with items in your cart,2026-04-25 21:04:13
140,28,923,5,Highly rated by users with similar profiles,2026-04-18 16:37:13
141,29,90,1,New arrival matching your brand affinities,2026-04-24 23:59:47
142,29,518,2,Frequently purchased together with items in your cart,2026-04-27 08:01:49
143,29,510,3,Trending item in your preferred category,2026-04-26 11:14:37
144,29,966,4,Based on your recent viewing history,2026-05-01 21:19:59
145,29,415,5,Based on your recent viewing history,2026-04-27 17:56:32
146,30,874,1,Highly rated by users with similar profiles,2026-04-03 11:07:07
147,30,203,2,Frequently purchased together with items in your cart,2026-04-07 04:59:34
148,30,1143,3,Trending item in your preferred category,2026-04-10 07:52:48
149,30,241,4,Trending item in your preferred category,2026-04-08 01:18:31
150,30,174,5,Highly rated by users with similar profiles,2026-04-08 07:19:47
151,31,755,1,Highly rated by users with similar profiles,2026-04-09 02:11:12
152,31,1016,2,New arrival matching your brand affinities,2026-04-08 03:41:54
153,31,1006,3,Trending item in your preferred category,2026-04-09 10:40:20
154,31,1351,4,Based on your recent viewing history,2026-04-14 01:20:42
155,31,284,5,New arrival matching your brand affinities,2026-04-08 00:39:46
156,32,872,1,Highly rated by users with similar profiles,2026-03-29 17:58:23
157,32,897,2,New arrival matching your brand affinities,2026-03-25 12:36:56
158,32,303,3,New arrival matching your brand affinities,2026-03-27 10:06:58
159,32,59,4,Frequently purchased together with items in your cart,2026-03-30 16:59:11
160,32,521,5,Frequently purchased together with items in your cart,2026-03-30 03:44:43
161,33,399,1,Frequently purchased together with items in your cart,2026-05-14 10:06:57
162,33,425,2,New arrival matching your brand affinities,2026-05-12 22:07:41
163,33,1088,3,Highly rated by users with similar profiles,2026-05-19 11:29:32
164,33,1458,4,Highly rated by users with similar profiles,2026-05-14 23:20:23
165,33,85,5,Highly rated by users with similar profiles,2026-05-20 00:38:24
166,34,1470,1,Frequently purchased together with items in your cart,2026-05-06 19:40:05
167,34,418,2,Frequently purchased together with items in your cart,2026-05-05 22:22:36
168,34,894,3,Frequently purchased together with items in your cart,2026-05-01 11:37:29
169,34,619,4,Highly rated by users with similar profiles,2026-05-03 19:11:26
170,34,667,5,Frequently purchased together with items in your cart,2026-05-03 14:19:40
171,35,949,1,Frequently purchased together with items in your cart,2026-04-06 09:22:49
172,35,758,2,Frequently purchased together with items in your cart,2026-04-03 00:13:35
173,35,177,3,New arrival matching your brand affinities,2026-04-06 10:43:03
174,35,358,4,Frequently purchased together with items in your cart,2026-04-05 16:20:33
175,35,883,5,Highly rated by users with similar profiles,2026-04-05 06:25:49
176,36,490,1,Based on your recent viewing history,2026-02-23 02:36:29
177,36,306,2,New arrival matching your brand affinities,2026-02-22 19:42:18
178,36,800,3,Highly rated by users with similar profiles,2026-02-17 16:22:54
179,36,224,4,Highly rated by users with similar profiles,2026-02-16 07:07:50
180,36,575,5,Frequently purchased together with items in your cart,2026-02-16 20:16:42
181,37,498,1,Frequently purchased together with items in your cart,2026-02-22 16:36:09
182,37,1302,2,Based on your recent viewing history,2026-02-21 09:21:25
183,37,95,3,New arrival matching your brand affinities,2026-02-28 16:16:45
184,37,916,4,New arrival matching your brand affinities,2026-02-20 12:03:14
185,37,60,5,Frequently purchased together with items in your cart,2026-02-19 11:09:46
186,38,1079,1,Highly rated by users with similar profiles,2026-03-02 20:07:49
187,38,406,2,Trending item in your preferred category,2026-02-26 14:32:20
188,38,504,3,New arrival matching your brand affinities,2026-02-23 14:14:59
189,38,519,4,Trending item in your preferred category,2026-02-26 06:11:06
190,38,935,5,Trending item in your preferred category,2026-02-23 15:16:00
191,39,1331,1,Based on your recent viewing history,2026-05-23 15:41:10
192,39,1120,2,Based on your recent viewing history,2026-05-22 01:11:46
193,39,544,3,New arrival matching your brand affinities,2026-05-19 00:57:05
194,39,626,4,New arrival matching your brand affinities,2026-05-24 06:41:40
195,39,20,5,Frequently purchased together with items in your cart,2026-05-20 07:09:31
196,40,1366,1,New arrival matching your brand affinities,2026-03-12 14:38:04
197,40,222,2,New arrival matching your brand affinities,2026-03-12 20:20:27
198,40,790,3,Frequently purchased together with items in your cart,2026-03-11 02:19:49
199,40,178,4,Highly rated by users with similar profiles,2026-03-11 01:55:12
200,40,1070,5,Frequently purchased together with items in your cart,2026-03-12 13:04:07
201,41,1449,1,Highly rated by users with similar profiles,2026-05-22 09:37:54
202,41,27,2,Trending item in your preferred category,2026-05-22 02:28:37
203,41,906,3,New arrival matching your brand affinities,2026-05-21 06:23:54
204,41,239,4,Trending item in your preferred category,2026-05-19 20:57:07
205,41,1253,5,Trending item in your preferred category,2026-05-26 10:29:35
206,42,1043,1,Highly rated by users with similar profiles,2026-05-06 09:36:13
207,42,1496,2,New arrival matching your brand affinities,2026-05-07 13:24:43
208,42,1437,3,Frequently purchased together with items in your cart,2026-05-06 12:18:56
209,42,1287,4,Based on your recent viewing history,2026-05-09 01:14:37
210,42,155,5,Highly rated by users with similar profiles,2026-05-07 16:22:24
211,43,1021,1,Based on your recent viewing history,2026-02-24 11:06:03
212,43,709,2,Highly rated by users with similar profiles,2026-02-23 11:36:53
213,43,25,3,Based on your recent viewing history,2026-02-21 16:34:45
214,43,1142,4,Highly rated by users with similar profiles,2026-02-17 14:10:05
215,43,121,5,Based on your recent viewing history,2026-02-25 00:29:53
216,44,1166,1,Highly rated by users with similar profiles,2026-04-30 08:36:03
217,44,1118,2,Based on your recent viewing history,2026-04-26 21:39:14
218,44,1045,3,Highly rated by users with similar profiles,2026-05-02 09:21:25
219,44,316,4,Trending item in your preferred category,2026-04-30 11:30:06
220,44,327,5,Based on your recent viewing history,2026-04-28 14:24:06
221,45,1042,1,Frequently purchased together with items in your cart,2026-04-10 14:23:51
222,45,1242,2,Based on your recent viewing history,2026-04-03 05:29:26
223,45,177,3,Based on your recent viewing history,2026-04-13 03:32:32
224,45,695,4,Based on your recent viewing history,2026-04-08 20:19:12
225,45,1253,5,Based on your recent viewing history,2026-04-06 01:17:52
226,46,969,1,Frequently purchased together with items in your cart,2026-02-23 00:01:39
227,46,1337,2,Frequently purchased together with items in your cart,2026-03-02 19:10:49
228,46,1236,3,New arrival matching your brand affinities,2026-03-01 15:24:11
229,46,129,4,New arrival matching your brand affinities,2026-02-23 05:03:17
230,46,1181,5,Based on your recent viewing history,2026-02-27 05:45:50
231,47,246,1,Highly rated by users with similar profiles,2026-03-26 08:25:58
232,47,1187,2,Trending item in your preferred category,2026-03-26 07:00:40
233,47,1424,3,Highly rated by users with similar profiles,2026-04-01 02:08:17
234,47,236,4,New arrival matching your brand affinities,2026-03-27 20:51:40
235,47,678,5,Frequently purchased together with items in your cart,2026-03-30 11:33:38
236,48,364,1,New arrival matching your brand affinities,2026-03-29 15:00:24
237,48,437,2,Trending item in your preferred category,2026-03-25 00:35:43
238,48,1161,3,Based on your recent viewing history,2026-03-30 02:01:32
239,48,971,4,Based on your recent viewing history,2026-04-02 20:36:59
240,48,1003,5,Based on your recent viewing history,2026-03-28 22:07:07
241,49,311,1,New arrival matching your brand affinities,2026-05-02 09:25:26
242,49,932,2,New arrival matching your brand affinities,2026-05-03 19:09:53
243,49,74,3,Trending item in your preferred category,2026-05-05 03:47:57
244,49,783,4,Highly rated by users with similar profiles,2026-05-01 04:43:51
245,49,504,5,Highly rated by users with similar profiles,2026-04-28 05:27:14
246,50,808,1,Based on your recent viewing history,2026-03-24 17:14:58
247,50,436,2,Frequently purchased together with items in your cart,2026-03-22 06:15:38
248,50,1249,3,New arrival matching your brand affinities,2026-03-30 14:20:55
249,50,934,4,Trending item in your preferred category,2026-03-31 19:50:45
250,50,307,5,Trending item in your preferred category,2026-03-30 02:22:24
251,51,1351,1,Trending item in your preferred category,2026-03-23 02:35:11
252,51,1027,2,New arrival matching your brand affinities,2026-03-24 17:28:02
253,51,446,3,New arrival matching your brand affinities,2026-03-20 23:05:14
254,51,702,4,Frequently purchased together with items in your cart,2026-03-20 20:18:33
255,51,330,5,Trending item in your preferred category,2026-03-23 01:24:34
256,52,442,1,Frequently purchased together with items in your cart,2026-03-28 05:26:47
257,52,454,2,Based on your recent viewing history,2026-03-26 05:02:22
258,52,484,3,Highly rated by users with similar profiles,2026-03-21 19:17:16
259,52,66,4,New arrival matching your brand affinities,2026-03-20 19:49:43
260,52,430,5,Based on your recent viewing history,2026-03-21 11:36:33
261,53,418,1,Highly rated by users with similar profiles,2026-03-27 18:35:21
262,53,75,2,Trending item in your preferred category,2026-03-26 01:25:21
263,53,1433,3,New arrival matching your brand affinities,2026-03-26 22:00:16
264,53,1382,4,Trending item in your preferred category,2026-04-03 04:52:57
265,53,1008,5,New arrival matching your brand affinities,2026-03-25 17:53:34
266,54,804,1,Highly rated by users with similar profiles,2026-04-14 16:51:46
267,54,1376,2,Frequently purchased together with items in your cart,2026-04-15 03:02:12
268,54,583,3,New arrival matching your brand affinities,2026-04-16 06:38:06
269,54,403,4,Based on your recent viewing history,2026-04-17 16:22:26
270,54,1129,5,Based on your recent viewing history,2026-04-18 12:50:31
271,55,460,1,Highly rated by users with similar profiles,2026-05-25 14:48:11
272,55,1267,2,Frequently purchased together with items in your cart,2026-05-20 05:16:48
273,55,433,3,Based on your recent viewing history,2026-05-22 19:27:13
274,55,222,4,Trending item in your preferred category,2026-05-23 18:39:22
275,55,1155,5,New arrival matching your brand affinities,2026-05-17 22:45:52
276,56,1112,1,Highly rated by users with similar profiles,2026-02-26 11:24:00
277,56,552,2,Highly rated by users with similar profiles,2026-03-01 23:40:31
278,56,1155,3,Trending item in your preferred category,2026-02-23 02:59:06
279,56,58,4,Based on your recent viewing history,2026-03-01 14:42:07
280,56,619,5,Frequently purchased together with items in your cart,2026-02-21 16:13:08
281,57,876,1,New arrival matching your brand affinities,2026-03-08 09:48:14
282,57,681,2,New arrival matching your brand affinities,2026-02-28 01:33:02
283,57,1094,3,New arrival matching your brand affinities,2026-03-03 00:22:06
284,57,1326,4,Based on your recent viewing history,2026-03-08 02:19:52
285,57,615,5,Highly rated by users with similar profiles,2026-02-28 09:51:56
286,58,647,1,Based on your recent viewing history,2026-04-13 00:58:07
287,58,121,2,Frequently purchased together with items in your cart,2026-04-12 15:10:57
288,58,629,3,New arrival matching your brand affinities,2026-04-12 13:54:16
289,58,1382,4,New arrival matching your brand affinities,2026-04-05 13:47:41
290,58,765,5,Trending item in your preferred category,2026-04-10 18:32:13
291,59,248,1,Highly rated by users with similar profiles,2026-05-24 06:47:47
292,59,7,2,Highly rated by users with similar profiles,2026-05-26 11:19:46
293,59,847,3,Highly rated by users with similar profiles,2026-05-24 20:05:09
294,59,1459,4,Highly rated by users with similar profiles,2026-05-22 10:13:31
295,59,1043,5,New arrival matching your brand affinities,2026-05-18 13:11:36
296,60,975,1,New arrival matching your brand affinities,2026-03-26 00:35:01
297,60,947,2,Frequently purchased together with items in your cart,2026-03-29 01:47:50
298,60,1417,3,Trending item in your preferred category,2026-03-30 22:29:15
299,60,1185,4,Based on your recent viewing history,2026-03-23 11:13:58
300,60,851,5,Based on your recent viewing history,2026-03-31 10:09:07
301,61,895,1,Highly rated by users with similar profiles,2026-03-11 18:45:04
302,61,1439,2,New arrival matching your brand affinities,2026-03-13 06:31:29
303,61,1142,3,Highly rated by users with similar profiles,2026-03-09 18:48:49
304,61,279,4,New arrival matching your brand affinities,2026-03-07 05:44:01
305,61,529,5,Based on your recent viewing history,2026-03-05 12:31:24
306,62,209,1,Trending item in your preferred category,2026-05-03 10:05:28
307,62,517,2,Trending item in your preferred category,2026-04-25 21:45:19
308,62,444,3,Frequently purchased together with items in your cart,2026-05-01 12:24:25
309,62,259,4,Based on your recent viewing history,2026-05-04 04:36:00
310,62,718,5,Based on your recent viewing history,2026-04-28 05:59:43
311,63,1017,1,Trending item in your preferred category,2026-04-02 21:34:16
312,63,1348,2,Frequently purchased together with items in your cart,2026-03-31 16:10:44
313,63,642,3,Based on your recent viewing history,2026-03-27 16:58:49
314,63,845,4,New arrival matching your brand affinities,2026-03-26 04:17:43
315,63,826,5,New arrival matching your brand affinities,2026-04-01 23:34:41
316,64,445,1,Based on your recent viewing history,2026-03-03 18:11:58
317,64,1362,2,Frequently purchased together with items in your cart,2026-03-02 01:08:19
318,64,889,3,New arrival matching your brand affinities,2026-02-23 19:15:06
319,64,1387,4,New arrival matching your brand affinities,2026-03-01 15:51:48
320,64,492,5,Highly rated by users with similar profiles,2026-02-22 09:03:34
321,65,942,1,Trending item in your preferred category,2026-04-13 11:46:27
322,65,145,2,New arrival matching your brand affinities,2026-04-20 04:30:08
323,65,1363,3,New arrival matching your brand affinities,2026-04-17 17:40:58
324,65,619,4,New arrival matching your brand affinities,2026-04-11 06:08:31
325,65,1256,5,New arrival matching your brand affinities,2026-04-15 14:14:52
326,66,714,1,Trending item in your preferred category,2026-04-18 06:45:54
327,66,986,2,Highly rated by users with similar profiles,2026-04-13 21:36:25
328,66,657,3,Trending item in your preferred category,2026-04-17 07:23:56
329,66,1250,4,Highly rated by users with similar profiles,2026-04-20 02:06:38
330,66,291,5,Based on your recent viewing history,2026-04-18 13:46:56
331,67,252,1,Highly rated by users with similar profiles,2026-04-15 01:41:08
332,67,605,2,Highly rated by users with similar profiles,2026-04-20 01:45:22
333,67,976,3,Frequently purchased together with items in your cart,2026-04-15 09:44:18
334,67,1434,4,Trending item in your preferred category,2026-04-19 19:52:57
335,67,708,5,Based on your recent viewing history,2026-04-11 21:59:59
336,68,30,1,Frequently purchased together with items in your cart,2026-03-09 04:39:13
337,68,224,2,New arrival matching your brand affinities,2026-03-11 03:53:13
338,68,186,3,Trending item in your preferred category,2026-03-05 23:22:05
339,68,292,4,Frequently purchased together with items in your cart,2026-03-05 09:50:40
340,68,1276,5,Frequently purchased together with items in your cart,2026-03-07 22:47:49
341,69,959,1,New arrival matching your brand affinities,2026-05-15 08:23:44
342,69,1204,2,Trending item in your preferred category,2026-05-18 22:57:50
343,69,1409,3,Based on your recent viewing history,2026-05-15 03:32:39
344,69,1113,4,Based on your recent viewing history,2026-05-17 03:12:42
345,69,141,5,New arrival matching your brand affinities,2026-05-19 20:14:25
346,70,778,1,Trending item in your preferred category,2026-04-26 11:11:09
347,70,1207,2,Frequently purchased together with items in your cart,2026-04-23 19:00:10
348,70,1385,3,Based on your recent viewing history,2026-04-29 09:24:34
349,70,1256,4,Highly rated by users with similar profiles,2026-04-28 06:27:39
350,70,405,5,New arrival matching your brand affinities,2026-04-26 22:30:47
351,71,237,1,Based on your recent viewing history,2026-03-08 05:30:37
352,71,1465,2,Trending item in your preferred category,2026-03-08 20:28:52
353,71,1466,3,Highly rated by users with similar profiles,2026-03-11 21:17:15
354,71,1421,4,Based on your recent viewing history,2026-03-17 17:43:22
355,71,1173,5,Based on your recent viewing history,2026-03-15 23:18:14
356,72,894,1,Trending item in your preferred category,2026-04-04 17:13:21
357,72,965,2,Trending item in your preferred category,2026-04-09 15:51:23
358,72,36,3,Trending item in your preferred category,2026-04-09 20:11:49
359,72,1321,4,New arrival matching your brand affinities,2026-04-02 21:27:24
360,72,439,5,Trending item in your preferred category,2026-04-06 08:46:11
361,73,28,1,Frequently purchased together with items in your cart,2026-04-18 08:23:55
362,73,138,2,Frequently purchased together with items in your cart,2026-04-19 22:45:46
363,73,1045,3,Highly rated by users with similar profiles,2026-04-21 08:29:54
364,73,486,4,Trending item in your preferred category,2026-04-24 14:39:25
365,73,1374,5,Trending item in your preferred category,2026-04-26 02:45:41
366,74,390,1,New arrival matching your brand affinities,2026-04-20 21:05:11
367,74,319,2,Based on your recent viewing history,2026-04-15 10:19:59
368,74,446,3,New arrival matching your brand affinities,2026-04-14 22:40:15
369,74,396,4,Frequently purchased together with items in your cart,2026-04-13 16:55:42
370,74,93,5,New arrival matching your brand affinities,2026-04-13 21:57:53
371,75,65,1,New arrival matching your brand affinities,2026-03-10 10:01:54
372,75,914,2,Based on your recent viewing history,2026-03-07 14:22:48
373,75,161,3,Trending item in your preferred category,2026-03-08 23:58:29
374,75,367,4,Based on your recent viewing history,2026-03-11 08:06:28
375,75,780,5,Highly rated by users with similar profiles,2026-03-05 02:39:49
376,76,1194,1,Frequently purchased together with items in your cart,2026-03-21 02:41:48
377,76,160,2,Based on your recent viewing history,2026-03-18 12:04:54
378,76,967,3,Frequently purchased together with items in your cart,2026-03-25 16:04:50
379,76,1368,4,Frequently purchased together with items in your cart,2026-03-21 13:05:27
380,76,420,5,Based on your recent viewing history,2026-03-20 08:24:19
381,77,262,1,Highly rated by users with similar profiles,2026-05-27 16:42:39
382,77,795,2,Frequently purchased together with items in your cart,2026-05-27 23:38:59
383,77,818,3,Trending item in your preferred category,2026-05-24 01:33:23
384,77,1200,4,Frequently purchased together with items in your cart,2026-05-28 21:59:08
385,77,718,5,New arrival matching your brand affinities,2026-05-30 00:23:44
386,78,46,1,Trending item in your preferred category,2026-03-25 04:31:47
387,78,537,2,New arrival matching your brand affinities,2026-03-27 02:00:26
388,78,1192,3,Highly rated by users with similar profiles,2026-03-26 17:03:16
389,78,562,4,Highly rated by users with similar profiles,2026-03-24 06:00:41
390,78,667,5,Based on your recent viewing history,2026-03-20 18:43:48
391,79,992,1,New arrival matching your brand affinities,2026-04-19 13:09:33
392,79,244,2,Highly rated by users with similar profiles,2026-04-20 15:21:39
393,79,1425,3,New arrival matching your brand affinities,2026-04-18 03:40:28
394,79,1263,4,Trending item in your preferred category,2026-04-19 13:28:06
395,79,172,5,Trending item in your preferred category,2026-04-23 01:17:27
396,80,168,1,Trending item in your preferred category,2026-02-17 20:04:31
397,80,979,2,Frequently purchased together with items in your cart,2026-02-15 01:38:36
398,80,30,3,Trending item in your preferred category,2026-02-21 15:55:55
399,80,1252,4,Frequently purchased together with items in your cart,2026-02-19 00:27:17
400,80,1222,5,Trending item in your preferred category,2026-02-16 14:18:39
401,81,967,1,New arrival matching your brand affinities,2026-02-17 12:10:07
402,81,298,2,Frequently purchased together with items in your cart,2026-02-20 09:51:24
403,81,405,3,Highly rated by users with similar profiles,2026-02-15 04:50:40
404,81,103,4,Based on your recent viewing history,2026-02-15 19:59:30
405,81,390,5,Highly rated by users with similar profiles,2026-02-21 09:29:38
406,82,330,1,Trending item in your preferred category,2026-05-16 13:31:17
407,82,1455,2,New arrival matching your brand affinities,2026-05-17 12:59:33
408,82,862,3,New arrival matching your brand affinities,2026-05-12 22:17:46
